Hs,Ht,Gst,Gprime_st,D,loc_id,gene
0,0,NA,NA,0,loc00001,group_6759
0,0,NA,NA,0,loc00002,fixN_3
0,0,NA,NA,0,loc00003,ccoP
0,0,NA,NA,0,loc00004,group_6758
0,0,NA,NA,0,loc00005,group_6749
0,0,NA,NA,0,loc00006,group_6739
0,0,NA,NA,0,loc00007,group_6738
0,0,NA,NA,0,loc00008,group_6708
0,0,NA,NA,0,loc00009,group_6695
0,0,NA,NA,0,loc00010,group_6690
0,0,NA,NA,0,loc00011,group_6689
0,0,NA,NA,0,loc00012,group_6660
0,0,NA,NA,0,loc00013,group_6651
0,0,NA,NA,0,loc00014,group_6649
0,0,NA,NA,0,loc00015,group_6648
0,0,NA,NA,0,loc00016,group_6646
0,0,NA,NA,0,loc00017,group_6621
0,0,NA,NA,0,loc00018,group_6616
0,0,NA,NA,0,loc00019,group_6612
0,0,NA,NA,0,loc00020,group_6595
0,0,NA,NA,0,loc00021,group_6594
0,0,NA,NA,0,loc00022,group_6592
0,0,NA,NA,0,loc00023,group_6579
0,0,NA,NA,0,loc00024,group_6577
0,0,NA,NA,0,loc00025,group_6574
0,0,NA,NA,0,loc00026,group_6573
0,0,NA,NA,0,loc00027,hdfR_3~~~hdfR_2
0,0,NA,NA,0,loc00028,group_6561
0,0,NA,NA,0,loc00029,group_6560
0,0,NA,NA,0,loc00030,group_6557
0,0,NA,NA,0,loc00031,narL
0,0,NA,NA,0,loc00032,lasI_1
0,0,NA,NA,0,loc00033,group_6535
0,0,NA,NA,0,loc00034,group_6533
0,0,NA,NA,0,loc00035,ycaC_2~~~ycaC_1
0,0,NA,NA,0,loc00036,group_6532
0,0,NA,NA,0,loc00037,group_6531
0,0,NA,NA,0,loc00038,group_6530
0,0,NA,NA,0,loc00039,group_6529
0,0,NA,NA,0,loc00040,betS_2~~~betS_1~~~betS_3~~~betS
0,0,NA,NA,0,loc00041,group_6526
0,0,NA,NA,0,loc00042,rhaS_3~~~rhaS_2
0,0,NA,NA,0,loc00043,group_6521
0,0,NA,NA,0,loc00044,group_6520
0,0,NA,NA,0,loc00045,yfdE
0,0,NA,NA,0,loc00046,group_6513
0,0,NA,NA,0,loc00047,group_6512
0,0,NA,NA,0,loc00048,group_6498
0,0,NA,NA,0,loc00049,bmaC_2~~~bmaC
0,0,NA,NA,0,loc00050,group_6496
0,0,NA,NA,0,loc00051,thiC
0,0,NA,NA,0,loc00052,ybaA~~~ybaA_2
0,0,NA,NA,0,loc00053,group_6493
0,0,NA,NA,0,loc00054,group_6492
0,0,NA,NA,0,loc00055,group_6489
0,0,NA,NA,0,loc00056,group_6488
0,0,NA,NA,0,loc00057,group_6482
0,0,NA,NA,0,loc00058,ybhN_2~~~ybhN_1
0,0,NA,NA,0,loc00059,group_6469
0,0,NA,NA,0,loc00060,fixK_4~~~fixK_3~~~fixK_2
0,0,NA,NA,0,loc00061,cya_1~~~cya_3
0,0,NA,NA,0,loc00062,group_6468
0,0,NA,NA,0,loc00063,group_6467
0,0,NA,NA,0,loc00064,exsH
0,0,NA,NA,0,loc00065,group_6463
0,0,NA,NA,0,loc00066,pgdA_1~~~pgdA_2
0,0,NA,NA,0,loc00067,group_6461
0,0,NA,NA,0,loc00068,mhqO_1~~~mhqE~~~mhqO_2
0,0,NA,NA,0,loc00069,group_6459
0,0,NA,NA,0,loc00070,ade2
0,0,NA,NA,0,loc00071,group_6456
0,0,NA,NA,0,loc00072,group_6455
0,0,NA,NA,0,loc00073,rip3~~~rip3_2
0,0,NA,NA,0,loc00074,paaJ~~~pcaF
0,0,NA,NA,0,loc00075,ydiK_2~~~ydiK_1
0,0,NA,NA,0,loc00076,todT_3~~~todT_2~~~tmoT_3~~~todT_1
0,0,NA,NA,0,loc00077,nanK_2~~~nagC_2
0,0,NA,NA,0,loc00078,group_6452
0,0,NA,NA,0,loc00079,kpsM_1~~~kpsM_2
0,0,NA,NA,0,loc00080,group_6450
0,0,NA,NA,0,loc00081,group_6449
0,0,NA,NA,0,loc00082,group_6447
0,0,NA,NA,0,loc00083,dppB_6~~~dppB_1
0,0,NA,NA,0,loc00084,todT_2~~~todT_1~~~tmoT_1
0,0,NA,NA,0,loc00085,group_6444
0,0,NA,NA,0,loc00086,cpo_4~~~cpo_1
0,0,NA,NA,0,loc00087,cycB_1~~~cycB_3
0,0,NA,NA,0,loc00088,group_6436
0,0,NA,NA,0,loc00089,group_6433
0,0,NA,NA,0,loc00090,mmsB_2~~~mmsB_1~~~mmsB
0,0,NA,NA,0,loc00091,iorA_1~~~iorA_2
0,0,NA,NA,0,loc00092,group_6423
0,0,NA,NA,0,loc00093,group_6422
0,0,NA,NA,0,loc00094,group_6419
0,0,NA,NA,0,loc00095,egtB
0,0,NA,NA,0,loc00096,group_6418
0,0,NA,NA,0,loc00097,group_6415
0,0,NA,NA,0,loc00098,group_6414
0,0,NA,NA,0,loc00099,yedJ
0,0,NA,NA,0,loc00100,group_6412
0,0,NA,NA,0,loc00101,group_6411
0,0,NA,NA,0,loc00102,cya_3~~~cya_1
0,0,NA,NA,0,loc00103,group_6410
0,0,NA,NA,0,loc00104,hxuA
0,0,NA,NA,0,loc00105,group_6405
0,0,NA,NA,0,loc00106,pepT_1~~~pepT_3
0,0,NA,NA,0,loc00107,group_6401
0,0,NA,NA,0,loc00108,pqqE_1~~~pqqE_2~~~pqqE
0,0,NA,NA,0,loc00109,group_6398
0,0,NA,NA,0,loc00110,group_6395
0,0,NA,NA,0,loc00111,group_6390
0,0,NA,NA,0,loc00112,group_6389
0,0,NA,NA,0,loc00113,group_6388
0,0,NA,NA,0,loc00114,group_6386
0,0,NA,NA,0,loc00115,rluB
0,0,NA,NA,0,loc00116,group_6383
0,0,NA,NA,0,loc00117,group_6382
0,0,NA,NA,0,loc00118,group_6381
0,0,NA,NA,0,loc00119,group_6380
0,0,NA,NA,0,loc00120,group_6379
0,0,NA,NA,0,loc00121,trpF_1
0,0,NA,NA,0,loc00122,group_6378
0,0,NA,NA,0,loc00123,group_6374
0,0,NA,NA,0,loc00124,group_6373
0,0,NA,NA,0,loc00125,glgX_1
0,0,NA,NA,0,loc00126,group_6372
0,0,NA,NA,0,loc00127,dmlR_4~~~dmlR_1
0,0,NA,NA,0,loc00128,vibB
0,0,NA,NA,0,loc00129,group_6371
0,0,NA,NA,0,loc00130,group_6370
0,0,NA,NA,0,loc00131,group_6369
0,0,NA,NA,0,loc00132,asnB_2~~~asnB~~~asnB_1
0,0,NA,NA,0,loc00133,group_6367
