Hs,Ht,Gst,Gprime_st,D,loc_id,gene
0,0,NA,NA,0,loc00001,group_6452
0,0,NA,NA,0,loc00002,glnQ_3~~~artM_1~~~tcyB_2~~~yecS_6~~~btuD_15~~~yecS_5
0,0,NA,NA,0,loc00003,rhaR_7~~~rhaS_8~~~ycaC_3
0,0,NA,NA,0,loc00004,phnN~~~phnM
0,0,NA,NA,0,loc00005,oatA_2~~~arnC_1~~~epsH
0,0,NA,NA,0,loc00006,menE_1~~~fadA_1
0,0,NA,NA,0,loc00007,vapC_2~~~vapB_1
0,0,NA,NA,0,loc00008,mtgA_1~~~mtgA_4~~~yfhM
0,0,NA,NA,0,loc00009,mamZ~~~msrP_3~~~msrP_2
0,0,NA,NA,0,loc00010,nadD~~~proA
0,0,NA,NA,0,loc00011,yehX~~~btuD_20~~~yehY
0,0,NA,NA,0,loc00012,wbiB~~~fcl_2~~~rfbE
0,0,NA,NA,0,loc00013,btuD_11~~~btuD_1~~~btuD_4
0,0,NA,NA,0,loc00014,group_6445
0,0,NA,NA,0,loc00015,ros_4~~~ros_2~~~ros_3
0,0,NA,NA,0,loc00016,ros_4~~~ros_5
0,0,NA,NA,0,loc00017,group_6348
0,0,NA,NA,0,loc00018,group_6343
0,0,NA,NA,0,loc00019,group_6337
0,0,NA,NA,0,loc00020,group_6307
0,0,NA,NA,0,loc00021,cheB_3~~~cheB_5~~~cheB_1
0,0,NA,NA,0,loc00022,group_6306
0,0,NA,NA,0,loc00023,comR_2~~~comR_4
0,0,NA,NA,0,loc00024,group_6295
0,0,NA,NA,0,loc00025,lutR_8
0,0,NA,NA,0,loc00026,group_6292
0,0,NA,NA,0,loc00027,group_6286
0,0,NA,NA,0,loc00028,group_6284
0,0,NA,NA,0,loc00029,cheB_4~~~cheB_2
0,0,NA,NA,0,loc00030,group_6271
0,0,NA,NA,0,loc00031,cckA_2
0,0,NA,NA,0,loc00032,group_6260
0,0,NA,NA,0,loc00033,kpsM_2~~~kpsM_1
0,0,NA,NA,0,loc00034,arg
0,0,NA,NA,0,loc00035,group_6247
0,0,NA,NA,0,loc00036,group_6239
0,0,NA,NA,0,loc00037,bepA_7
0,0,NA,NA,0,loc00038,group_6234
0,0,NA,NA,0,loc00039,group_6231
0,0,NA,NA,0,loc00040,group_6227
0,0,NA,NA,0,loc00041,vdh
0,0,NA,NA,0,loc00042,group_6216
0,0,NA,NA,0,loc00043,group_6212
0,0,NA,NA,0,loc00044,group_6209
0,0,NA,NA,0,loc00045,fixK_2~~~fixK_1~~~fixK_4~~~fixK_3
0,0,NA,NA,0,loc00046,group_6201
0,0,NA,NA,0,loc00047,group_6200
0,0,NA,NA,0,loc00048,dapA_7~~~dapA_2~~~dapA_1
0,0,NA,NA,0,loc00049,pucM_1
0,0,NA,NA,0,loc00050,btuD_16~~~bioM_2~~~ybiT~~~expZ~~~yheS_3~~~yheS_2
0,0,NA,NA,0,loc00051,group_6171
0,0,NA,NA,0,loc00052,group_6169
0,0,NA,NA,0,loc00053,group_6166
0,0,NA,NA,0,loc00054,group_6165
0,0,NA,NA,0,loc00055,group_6156
0,0,NA,NA,0,loc00056,group_6153
0,0,NA,NA,0,loc00057,group_6151
0,0,NA,NA,0,loc00058,group_6148
0,0,NA,NA,0,loc00059,fixN_1~~~fixN_3
0,0,NA,NA,0,loc00060,group_6145
0,0,NA,NA,0,loc00061,group_6144
0,0,NA,NA,0,loc00062,group_6132
0,0,NA,NA,0,loc00063,group_6131
0,0,NA,NA,0,loc00064,group_6127
0,0,NA,NA,0,loc00065,sasA_1~~~sasA_4
0,0,NA,NA,0,loc00066,group_6122
0,0,NA,NA,0,loc00067,copA_1~~~copA_2~~~kdpB_2~~~kdpB_1
0,0,NA,NA,0,loc00068,fnr~~~anr
0,0,NA,NA,0,loc00069,group_6113
0,0,NA,NA,0,loc00070,group_6110
0,0,NA,NA,0,loc00071,ohrB_2~~~ohrB_3
0,0,NA,NA,0,loc00072,group_6108
0,0,NA,NA,0,loc00073,group_6095
0,0,NA,NA,0,loc00074,group_6088
0,0,NA,NA,0,loc00075,fixP_1~~~petJ~~~ccoP_2
0,0,NA,NA,0,loc00076,glnQ_4~~~btuD_1~~~glnQ_6~~~glnQ_5
0,0,NA,NA,0,loc00077,group_6084
0,0,NA,NA,0,loc00078,group_6083
0,0,NA,NA,0,loc00079,group_6082
0,0,NA,NA,0,loc00080,yjgH
0,0,NA,NA,0,loc00081,group_6074
0,0,NA,NA,0,loc00082,selD
0,0,NA,NA,0,loc00083,group_6072
0,0,NA,NA,0,loc00084,group_6069
0,0,NA,NA,0,loc00085,fixK_3~~~fixK_4
0,0,NA,NA,0,loc00086,group_6064
0,0,NA,NA,0,loc00087,group_6062
0,0,NA,NA,0,loc00088,cbpA_2
0,0,NA,NA,0,loc00089,group_6060
0,0,NA,NA,0,loc00090,group_6059
0,0,NA,NA,0,loc00091,group_6057
0,0,NA,NA,0,loc00092,btuD_18~~~btuD_3~~~gsiA_6~~~gsiA_13
0,0,NA,NA,0,loc00093,nikA_2~~~nikA_1
0,0,NA,NA,0,loc00094,kipR
0,0,NA,NA,0,loc00095,group_6055
0,0,NA,NA,0,loc00096,rspR_2~~~rspR_4
0,0,NA,NA,0,loc00097,glnH_1~~~glnH_3
0,0,NA,NA,0,loc00098,ugpC_9~~~ugpC_2
0,0,NA,NA,0,loc00099,selA
0,0,NA,NA,0,loc00100,kdpB_3~~~kdpB_2~~~kdpB_1
0,0,NA,NA,0,loc00101,msbA_3~~~msbA_1
0,0,NA,NA,0,loc00102,group_6039
0,0,NA,NA,0,loc00103,group_6037
0,0,NA,NA,0,loc00104,group_6033
0,0,NA,NA,0,loc00105,group_6031
0,0,NA,NA,0,loc00106,des
0,0,NA,NA,0,loc00107,groL5_1~~~groL5_2
0,0,NA,NA,0,loc00108,group_6019
0,0,NA,NA,0,loc00109,group_6017
0,0,NA,NA,0,loc00110,group_6016
0,0,NA,NA,0,loc00111,panB_1~~~panB_3~~~panB_2
0,0,NA,NA,0,loc00112,group_6009
0,0,NA,NA,0,loc00113,group_6007
0,0,NA,NA,0,loc00114,bdcA_2~~~bdcA
0,0,NA,NA,0,loc00115,copA_1~~~copA_2~~~ctpV
0,0,NA,NA,0,loc00116,fliY_3~~~fliY_4
0,0,NA,NA,0,loc00117,yphB
0,0,NA,NA,0,loc00118,virB6
0,0,NA,NA,0,loc00119,fabG_15~~~fabG_1
0,0,NA,NA,0,loc00120,pgrR_15~~~hdfR_4~~~pgrR_16~~~pgrR_14
0,0,NA,NA,0,loc00121,group_5987
0,0,NA,NA,0,loc00122,group_5986
0,0,NA,NA,0,loc00123,arnC_2
0,0,NA,NA,0,loc00124,group_5984
0,0,NA,NA,0,loc00125,fixP_3~~~fixP_2
0,0,NA,NA,0,loc00126,galE_1~~~galE_4
0,0,NA,NA,0,loc00127,group_5983
0,0,NA,NA,0,loc00128,vapC_1~~~vapC_6
