Hs,Ht,Gst,Gprime_st,D,loc_id,gene,tops
0,0.5,1,1,1,loc06757,grsB_1,1
0,0.5,1,1,1,loc06757,grsB_2,1
0,0.5,1,1,1,loc06757,grsB_3,1
0,0.5,1,1,1,loc06757,grsB,1
0,0.5,1,1,1,loc06757,lgrD_3,1
0,0.5,1,1,1,loc06769,insK_2,1
0,0.5,1,1,1,loc06794,lgrD_2,1
0,0.5,1,1,1,loc06819,lysA_1,1
0,0.5,1,1,1,loc06819,lysA_2,1
0,0.5,1,1,1,loc06824,vgrG1_1,1
0,0.5,1,1,1,loc06830,spo0C,1
0,0.5,1,1,1,loc06830,noc_4,1
0,0.5,1,1,1,loc06838,dltA,1
0,0.5,1,1,1,loc06838,tycC_3,1
0,0.5,1,1,1,loc06838,lgrD_1,1
0,0.5,1,1,1,loc06843,vgrG1_2,1
0,0.5,1,1,1,loc06843,vgrG1,1
0,0.5,1,1,1,loc06844,soj,1
0,0.5,1,1,1,loc06845,cah_2,1
0,0.5,1,1,1,loc06882,xerC_17,1
0,0.5,1,1,1,loc06882,xerC_5,1
0,0.5,1,1,1,loc06887,vdh,1
0,0.5,1,1,1,loc06892,gabR,1
0,0.5,1,1,1,loc06893,aam,1
0,0.5,1,1,1,loc06902,mdtG,1
0,0.5,1,1,1,loc06926,purU_2,1
0,0.5,1,1,1,loc07026,cspA_8,1
0,0.5,1,1,1,loc07040,ybiI,1
0,0.5,1,1,1,loc07086,virB3_2,1
0,0.5,1,1,1,loc07123,dnaE2_1,1
0,0.5,1,1,1,loc07136,vapC_1,1
0,0.5,1,1,1,loc07143,fitB_2,1
0,0.5,1,1,1,loc07153,ros_4,1
0,0.5,1,1,1,loc07161,lrpC_1,1
0,0.5,1,1,1,loc07163,lig_1,1
0,0.5,1,1,1,loc07179,mltF_1,1
0,0.5,1,1,1,loc07180,mltF_3,1
0,0.5,1,1,1,loc07197,sutR_2,1
0,0.5,1,1,1,loc07219,suhB_3,1
0,0.5,1,1,1,loc07224,virB8_3,1
0,0.5,1,1,1,loc07225,virB8_2,1
0,0.5,1,1,1,loc07226,folD_2,1
0,0.5,1,1,1,loc07230,occP_3,1
0,0.5,1,1,1,loc07232,malT_1,1
0,0.5,1,1,1,loc07236,virB9_3,1
0,0.5,1,1,1,loc07240,virB9_2,1
0,0.5,1,1,1,loc07244,avrRpt2,1
0,0.5,1,1,1,loc07247,ku_3,1
0,0.5,1,1,1,loc07253,noc_8,1
0,0.5,1,1,1,loc07261,nopP,1
0,0.5,1,1,1,loc07263,potA_9,1
0,0.5,1,1,1,loc07264,ku_2,1
0,0.5,1,1,1,loc07268,syrM1_3,1
0,0.5,1,1,1,loc07270,ytfF_2,1
0,0.5,1,1,1,loc07275,corA_1,1
0,0.5,1,1,1,loc07277,dinG_2,1
0,0.5,1,1,1,loc07287,noc_6,1
0,0.5,1,1,1,loc07289,cysK_1,1
0,0.5,1,1,1,loc07290,glmS_1,1
0,0.5,1,1,1,loc07292,noc_3,1
0,0.5,1,1,1,loc07294,virB6,1
0,0.5,1,1,1,loc07309,mltF_4,1
0,0.5,1,1,1,loc07311,mltF_2,1
0,0.5,1,1,1,loc07338,gapN,1
0,0.5,1,1,1,loc07339,ltrA,1
0,0.5,1,1,1,loc07365,noc_5,1
0,0.5,1,1,1,loc07367,fcuA,1
0,0.5,1,1,1,loc07372,virB4_4,1
0,0.5,1,1,1,loc07373,virB4_3,1
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06424,gcvA_3,0
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06424,gcvA_11,0
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06424,gcvA_6,0
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06477,scpB_1,0
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06677,phnW_2,0
0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,loc06685,ptsJ,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05825,acpP_6,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05825,acpP_3,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05825,acpP_2,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05844,groS1_2,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05844,groS1_5,0
