gene,non_unique_gene_name,annotation,from
fixN_3,fixN_3,Cytochrome c oxidase subunit 1  bacteroid,fixN
ccoP,ccoP,Cbb3-type cytochrome c oxidase subunit CcoP,ccoP
narL,narL,Nitrate/nitrite response regulator protein NarL,narL
lasI_1,lasI_1,Acyl-homoserine-lactone synthase,lasI
yfdE,yfdE,Acetyl-CoA:oxalate CoA-transferase,yfdE
thiC,thiC,Phosphomethylpyrimidine synthase,thiC
exsH,exsH,Endo-13-14-beta-glycanase ExsH,exsH
ade2,ade2,Adenine deaminase 2,ade2
egtB,;egtB,hypothetical protein;Hercynine oxygenase;Formylglycine-generating enzyme,egtB
yedJ,;yedJ,hypothetical protein;putative protein YedJ,yedJ
hxuA,;hxuA,hypothetical protein;Heme/hemopexin-binding protein,hxuA
rluB,rluB,Ribosomal large subunit pseudouridine synthase B,rluB
trpF_1,;trpF_1,hypothetical protein;N-(5'-phosphoribosyl)anthranilate isomerase,trpF
glgX_1,glgX_1,Glycogen operon protein GlgX,glgX
vibB,vibB,Vibriobactin-specific isochorismatase,vibB
pcaI,pcaI,3-oxoadipate CoA-transferase subunit A,pcaI
ydhP,ydhP,Inner membrane transport protein YdhP,ydhP
yphB,yphB,putative protein YphB,yphB
benM,benM,HTH-type transcriptional regulator BenM,benM
ybjL,;ybjL,hypothetical protein;Putative transport protein YbjL,ybjL
rbsC_8,;rbsC_8,hypothetical protein;Ribose import permease protein RbsC,rbsC
arnC_2,;arnC_2,hypothetical protein;Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,arnC
doxA_1,doxA_1,Naphthalene 12-dioxygenase system ferredoxin component,doxA
thlA,thlA,Acetyl-CoA acetyltransferase,thlA
ampC,ampC,Beta-lactamase,ampC
srpC,;srpC,hypothetical protein;putative chromate transport protein,srpC
comM,;comM,hypothetical protein;Competence protein ComM,comM
lerK,lerK,L-erythrulose kinase,lerK
dapA_4,dapA_4,4-hydroxy-tetrahydrodipicolinate synthase,dapA
cheR1,cheR1;,Chemotaxis protein methyltransferase 1;hypothetical protein,cheR1
rnhB,rnhB;,Ribonuclease HII;hypothetical protein,rnhB
paaG_1,paaG_1,12-epoxyphenylacetyl-CoA isomerase,paaG
tdh_3,;tdh_3,putative zinc-binding alcohol dehydrogenase;hypothetical protein;L-threonine 3-dehydrogenase,tdh
rbsB_4,rbsB_4;,Ribose import binding protein RbsB;hypothetical protein,rbsB
slyX,slyX,Protein SlyX,slyX
rssA,;rssA,hypothetical protein;Swarming motility regulation sensor protein RssA,rssA
treS,treS;,Trehalose synthase/amylase TreS;hypothetical protein,treS
paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D,paaD
rfbE,rfbE,CDP-paratose 2-epimerase,rfbE
uppS,;uppS,hypothetical protein;Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific),uppS
yhfA,yhfA,Protein YhfA,yhfA
bicA,bicA;,Bicarbonate transporter BicA;hypothetical protein,bicA
otnI,otnI,2-oxo-tetronate isomerase,otnI
kpsT,kpsT,Polysialic acid transport ATP-binding protein KpsT,kpsT
dhaL2,dhaL-2,PEP-dependent dihydroxyacetone kinase 2 ADP-binding subunit DhaL,dhaL2
yflN,yflN,putative metallo-hydrolase YflN,yflN
ydbD,ydbD;,putative manganese catalase;hypothetical protein,ydbD
putA,putA;,Bifunctional protein PutA;hypothetical protein,putA
yheS_2,yheS_2;,putative ABC transporter ATP-binding protein YheS;putative ABC transporter ATP-binding protein;hypothetical protein,yheS
sufT,;sufT,hypothetical protein;Fe-S protein maturation auxiliary factor SufT,sufT
gshAB,gshAB;,Glutathione biosynthesis bifunctional protein GshAB;hypothetical protein,gshAB
metH_2,;metH_2,hypothetical protein;Methionine synthase,metH
yddA,yddA;,Inner membrane ABC transporter ATP-binding protein YddA;hypothetical protein,yddA
lutR_10,;lutR_10,hypothetical protein;HTH-type transcriptional regulator LutR,lutR
ccmF,;ccmF,hypothetical protein;Cytochrome c-type biogenesis protein CcmF,ccmF
bepG,bepG,Efflux pump membrane transporter BepG,bepG
cbiG,;cbiG,hypothetical protein;Cobalt-precorrin-5A hydrolase,cbiG
glnA_1,;glnA_1,hypothetical protein;Glutamine synthetase,glnA
speB,;speB,hypothetical protein;Agmatinase,speB
pat_2,;pat_2,hypothetical protein;Peptidyl-lysine N-acetyltransferase Pat,pat
thrC,;thrC,hypothetical protein;Threonine synthase,thrC
moaB,moaB,Molybdenum cofactor biosynthesis protein B,moaB
queE,queE,7-carboxy-7-deazaguanine synthase,queE
cya_2,;cya_2,hypothetical protein;Bifunctional hemolysin/adenylate cyclase,cya
apr,;apr,hypothetical protein;Subtilisin DY,apr
glnH_5,glnH_5;,Glutamine-binding periplasmic protein;hypothetical protein,glnH
uup,;uup,hypothetical protein;ABC transporter ATP-binding protein uup,uup
hutH_1,;hutH_1,hypothetical protein;Histidine ammonia-lyase,hutH
aspC_3,;aspC_3,Aspartate aminotransferase,aspC
cynT,;cynT,hypothetical protein;Carbonic anhydrase 1,cynT
dnaC,dnaC;,Replicative DNA helicase;hypothetical protein,dnaC
garR_1,garR_1,2-hydroxy-3-oxopropionate reductase,garR
secA,secA;,Protein translocase subunit SecA;hypothetical protein,secA
fliC,fliC,Flagellin,fliC
cra,;cra,hypothetical protein;Catabolite repressor/activator,cra
aaeA_1,;aaeA_1,hypothetical protein;p-hydroxybenzoic acid efflux pump subunit AaeA,aaeA
wcaJ,wcaJ;,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase;hypothetical protein,wcaJ
ylmB,ylmB;,N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase;hypothetical protein,ylmB
znuA,;znuA,hypothetical protein;High-affinity zinc uptake system protein ZnuA,znuA
gbuC,gbuC;,Glycine betaine/carnitine transport binding protein GbuC;hypothetical protein,gbuC
trpS,trpS,Tryptophan--tRNA ligase,trpS
nadB,;nadB,hypothetical protein;L-aspartate oxidase,nadB
flhA_2,;flhA_2,hypothetical protein;S-(hydroxymethyl)glutathione dehydrogenase,flhA
flhA_1,;flhA_1,hypothetical protein;S-(hydroxymethyl)glutathione dehydrogenase,flhA
hypBA1_2,hypBA1_2;,Non-reducing end beta-L-arabinofuranosidase;hypothetical protein,hypBA1
prs_2,;prs_2,hypothetical protein;Ribose-phosphate pyrophosphokinase,prs
algE5_2,;algE5_2,hypothetical protein;Mannuronan C5-epimerase AlgE5,algE5
mliC,mliC;,Membrane-bound lysozyme inhibitor of C-type lysozyme;hypothetical protein,mliC
exoI,exoI;,Beta-hexosaminidase;hypothetical protein,exoI
rhtB_3,;rhtB_3,hypothetical protein;Homoserine/homoserine lactone efflux protein,rhtB
