genome_id,gene,value
g4,group_6759,1
g4,fixN_3,1
g4,ccoP,1
g4,group_6758,1
g4,group_6749,1
g4,group_6739,1
g4,group_6738,1
g4,group_6708,1
g4,group_6695,1
g4,group_6690,1
g4,group_6689,1
g4,group_6660,1
g4,group_6651,1
g4,group_6649,1
g4,group_6648,1
g4,group_6646,1
g4,group_6621,1
g4,group_6616,1
g4,group_6612,1
g4,group_6595,1
g4,group_6594,1
g4,group_6592,1
g4,group_6579,1
g4,group_6577,1
g4,group_6574,1
g4,group_6573,1
g4,hdfR_3~~~hdfR_2,1
g4,group_6561,1
g4,group_6560,1
g4,group_6557,1
g4,narL,1
g4,lasI_1,1
g4,group_6535,1
g4,group_6533,1
g4,ycaC_2~~~ycaC_1,1
g4,group_6532,1
g4,group_6531,1
g4,group_6530,1
g4,group_6529,1
g4,betS_2~~~betS_1~~~betS_3~~~betS,1
g4,group_6526,1
g4,rhaS_3~~~rhaS_2,1
g4,group_6521,1
g4,group_6520,1
g4,yfdE,1
g4,group_6513,1
g4,group_6512,1
g4,group_6498,1
g4,bmaC_2~~~bmaC,1
g4,group_6496,1
g4,thiC,1
g4,ybaA~~~ybaA_2,1
g4,group_6493,1
g4,group_6492,1
g4,group_6489,1
g4,group_6488,1
g4,group_6482,1
g4,ybhN_2~~~ybhN_1,1
g4,group_6469,1
g4,fixK_4~~~fixK_3~~~fixK_2,1
g4,cya_1~~~cya_3,1
g4,group_6468,1
g4,group_6467,1
g4,exsH,1
g4,group_6463,1
g4,pgdA_1~~~pgdA_2,1
g4,group_6461,1
g4,mhqO_1~~~mhqE~~~mhqO_2,1
g4,group_6459,1
g4,ade2,1
g4,group_6456,1
g4,group_6455,1
g4,rip3~~~rip3_2,1
g4,paaJ~~~pcaF,1
g4,ydiK_2~~~ydiK_1,1
g4,todT_3~~~todT_2~~~tmoT_3~~~todT_1,1
g4,nanK_2~~~nagC_2,1
g4,group_6452,1
g4,kpsM_1~~~kpsM_2,1
g4,group_6450,1
g4,group_6449,1
g4,group_6447,1
g4,dppB_6~~~dppB_1,1
g4,todT_2~~~todT_1~~~tmoT_1,1
g4,group_6444,1
g4,cpo_4~~~cpo_1,1
g4,cycB_1~~~cycB_3,1
g4,group_6436,1
g4,group_6433,1
g4,mmsB_2~~~mmsB_1~~~mmsB,1
g4,iorA_1~~~iorA_2,1
g4,group_6423,1
g4,group_6422,1
g4,group_6419,1
g4,egtB,1
g4,group_6418,1
g4,group_6415,1
g4,group_6414,1
g4,yedJ,1
g4,group_6412,1
g4,group_6411,1
g4,cya_3~~~cya_1,1
g4,group_6410,1
g4,hxuA,1
g4,group_6405,1
g4,pepT_1~~~pepT_3,1
g4,group_6401,1
g4,pqqE_1~~~pqqE_2~~~pqqE,1
g4,group_6398,1
g4,group_6395,1
g4,group_6390,1
g4,group_6389,1
g4,group_6388,1
g4,group_6386,1
g4,rluB,1
g4,group_6383,1
g4,group_6382,1
g4,group_6381,1
g4,group_6380,1
g4,group_6379,1
g4,trpF_1,1
g4,group_6378,1
g4,group_6374,1
g4,group_6373,1
g4,glgX_1,1
g4,group_6372,1
g4,dmlR_4~~~dmlR_1,1
g4,vibB,1
g4,group_6371,1
g4,group_6370,1
g4,group_6369,1
g4,asnB_2~~~asnB~~~asnB_1,1
g4,group_6367,1
g4,pcaI,1
g4,ydhP,1
g4,yphB,1
g4,benM,1
g4,group_6366,1
g4,ybjL,1
g4,rbsC_8,1
g4,arnC_2,1
g4,group_6363,1
g4,frzE~~~rcsC_10,1
g4,doxA_1,1
g4,thlA,1
g4,mshA_5~~~mshA_10,1
g4,group_6362,1
g4,group_6361,1
g4,group_6359,1
g4,group_6358,1
g4,ampC,1
g4,yhdN_2~~~yhdN_1~~~yajO_3,1
g4,group_6357,1
g4,group_6356,1
g4,fadJ_1~~~fadB~~~fadJ_2,1
g4,group_6355,1
g4,srpC,1
g4,group_6354,1
g4,group_6353,1
g4,group_6352,1
g4,comM,1
g4,group_6351,1
g4,group_6350,1
g4,lerK,1
g4,group_6348,1
g4,dapA_4,1
g4,cheR1,1
g4,group_6347,1
g4,group_6338,1
g4,group_6333,1
g4,group_6323,1
g4,group_6322,1
g4,group_6308,1
g4,group_6295,1
g4,group_6291,1
g4,group_6287,1
g4,ros_4~~~ros_3,1
g4,group_6283,1
g4,traC_1~~~traC,1
g4,group_6282,1
g4,group_6281,1
g4,ros_3~~~ros_2,1
g4,group_6274,1
g4,group_6272,1
g4,group_6271,1
g4,group_6266,1
g4,group_6264,1
g4,hcaB_6~~~hcaB_2~~~hcaB_1~~~hcaB_4,1
g4,group_6262,1
g4,dadA_3~~~dadA_1,1
g4,group_6257,1
g4,group_6255,1
g4,group_6254,1
g4,group_6252,1
g4,group_6251,1
g4,group_6249,1
g4,group_6247,1
g4,group_6236,1
g4,group_6235,1
g4,group_6233,1
g4,group_6231,1
g4,andAa_1~~~camA~~~andAa_2,1
g4,group_6224,1
g4,group_6223,1
g4,group_6222,1
g4,pcm_3~~~pcm_1,1
g4,group_6217,1
g4,group_6215,1
g4,IMPDH_2~~~hrp1,1
g4,group_6214,1
g4,group_6211,1
g4,group_6209,1
g4,group_6206,1
g4,group_6200,1
g4,group_6199,1
g4,group_6198,1
g4,group_6195,1
g4,bfmBAB~~~dxs_1,1
g4,rnhB,1
g4,paaG_1,1
g4,group_6191,1
g4,group_6190,1
g4,group_6188,1
g4,siaM_4~~~siaM_3,1
g4,treY~~~pcaB,1
g4,group_6186,1
g4,group_6185,1
g4,group_6184,1
g4,group_6183,1
g4,suhB_2~~~suhB_1,1
g4,group_6173,1
g4,group_6172,1
g4,group_6171,1
g4,dddP_2~~~dddP_1~~~dddP,1
g4,napB~~~napA_1~~~napA,1
g4,group_6168,1
g4,tdh_3,1
g4,group_6167,1
g4,group_6166,1
g4,group_6165,1
g4,group_6162,1
g4,group_6161,1
g4,rbsB_4,1
g4,group_6159,1
g4,slyX,1
g4,hilA_1~~~hilA_2,1
g4,rcsC_11~~~rcsC_4,1
g4,ridA~~~rutC_3~~~rutC_1~~~rutC_2,1
g4,group_6157,1
g4,betB_4~~~gbsA,1
g4,betA_4~~~betA_5,1
g4,group_6156,1
g4,group_6155,1
g4,group_6154,1
g4,btuD_10~~~potA_2,1
g4,uvrA_1~~~uvrA_2~~~uvrA,1
g4,cbpA_1~~~cbpA_2~~~dnaJ_3~~~dnaJ_1,1
g4,group_6151,1
g4,group_6150,1
g4,group_6149,1
g4,btuD_17~~~sugC_1,1
g4,group_6147,1
g4,ugpC_3~~~ugpC_13~~~btuD_3,1
g4,group_6146,1
g4,group_6145,1
g4,abo_2~~~abo_1,1
g4,group_6144,1
g4,group_6139,1
g4,group_6138,1
g4,COQ5_5~~~COQ5_2,1
g4,group_6134,1
g4,rssA,1
g4,cheB_5~~~cheB1,1
g4,group_6133,1
g4,treS,1
g4,group_6132,1
g4,group_6131,1
g4,group_6130,1
g4,ssuB_2~~~ssuB_1,1
g4,group_6129,1
g4,group_6128,1
g4,group_6127,1
g4,group_6126,1
g4,group_6125,1
g4,btuC_1~~~yfhA_1~~~yfhA_2,1
g4,sucB_2~~~sucB_1,1
g4,group_6124,1
g4,group_6123,1
g4,rihB_1~~~rihA_4~~~rihA_1~~~rihB_2,1
g4,group_6119,1
g4,group_6118,1
g4,group_6117,1
g4,fecE_1~~~fecE_2,1
g4,group_6116,1
g4,afr_1~~~iolG_16,1
g4,group_6115,1
g4,group_6114,1
g4,paaD,1
g4,rhaR_7~~~rhaS_1,1
g4,lutR_7~~~lutR_10~~~lutR_5,1
g4,rfbE,1
g4,yhdY_3~~~yhdY_2,1
g4,uppS,1
g4,cysQ_1~~~cysQ_2~~~cysQ_3~~~cysQ_4~~~suhB_4~~~suhB_2,1
g4,caiD_2~~~caiD_1,1
g4,group_6111,1
g4,group_6110,1
g4,group_6109,1
g4,group_6108,1
g4,pcaJ_2~~~pcaJ_1~~~pcaJ,1
g4,group_6107,1
g4,yhfA,1
g4,group_6106,1
g4,mshA_9~~~mshA_4,1
g4,group_6105,1
g4,group_6104,1
g4,group_6102,1
g4,bicA,1
g4,sasA_5~~~sasA_2,1
g4,noc_4~~~noc_5~~~noc_1,1
g4,group_6101,1
g4,group_6100,1
g4,otnI,1
g4,group_6099,1
g4,group_6097,1
g4,rcsC_10~~~rcsC_5,1
g4,group_6096,1
g4,kpsT,1
g4,group_6091,1
g4,group_6090,1
g4,group_6089,1
g4,rfbC_1~~~rfbC_2,1
g4,gno_3~~~gno_2,1
g4,group_6087,1
g4,gcvA_5~~~gcvA_2,1
g4,group_6086,1
g4,group_6085,1
g4,rbsA_1~~~btuD_6,1
