from,gene,non_unique_gene_name,annotation
ade2,ade2,ade2,Adenine deaminase 2
vibB,vibB,vibB,Vibriobactin-specific isochorismatase
pcaI,pcaI,pcaI,3-oxoadipate CoA-transferase subunit A
doxA,doxA_1,doxA_1,Naphthalene 12-dioxygenase system ferredoxin component
lerK,lerK,lerK,L-erythrulose kinase
slyX,slyX,slyX,Protein SlyX
otnI,otnI,otnI,2-oxo-tetronate isomerase
dhaL2,dhaL2,dhaL-2,PEP-dependent dihydroxyacetone kinase 2 ADP-binding subunit DhaL
nit1,nit1,nit1,Deaminated glutathione amidase
lysDH,lysDH,lysDH,Lysine 6-dehydrogenase
novN,novN,novN,Decarbamoylnovobiocin carbamoyltransferase
esiB,esiB,esiB,Secretory immunoglobulin A-binding protein EsiB
moxF,moxF,moxF,Methanol dehydrogenase [cytochrome c] subunit 1
atm1,atm1,atm1,ATM1-type heavy metal exporter
pksS,pksS,pksS,Polyketide biosynthesis cytochrome P450 PksS
arg,arg,arg,Arginase
dprE1,dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase
pksJ,pksJ,pksJ,Polyketide synthase PksJ
adh1,adh1_1,adh1_1,Long-chain-alcohol dehydrogenase 1
mcm,mcm,mcm,Methylmalonyl-CoA mutase
otnC,otnC,otnC,3-oxo-tetronate 4-phosphate decarboxylase
mhqD,mhqD,mhqD,Putative hydrolase MhqD
eis,eis,eis,N-acetyltransferase Eis
AAH1,AAH1,;AAH1,Adenine deaminase
uctC,uctC_1,uctC_1,Acetyl-CoA:oxalate CoA-transferase
virB5,virB5,virB5,Protein virB5
gpm2,gpm2,gpm2,Acid phosphatase
groL1,groL1_3,groL1_3,60 kDa chaperonin 1
fixT,fixT_2,fixT_2,Transcriptional regulator protein FixT
yciI,yciI,yciI,Protein YciI
ycnE,ycnE,ycnE,Putative monooxygenase YcnE
clpS2,clpS2,clpS2,ATP-dependent Clp protease adapter protein ClpS 2
ureB1,ureB1,ureB1,Urease subunit beta 1
groS5,groS5,groS5,10 kDa chaperonin 5
phhB,phhB,phhB,Putative pterin-4-alpha-carbinolamine dehydratase
groS1,groS1_1,groS1_1,10 kDa chaperonin 1
mauC,mauC,mauC,Amicyanin
fdxE,fdxE,fdxE,Ferredoxin-6
sdpR,sdpR,sdpR,Transcriptional repressor SdpR
yffB,yffB,yffB,Protein YffB
cseB,cseB,cseB,Transcriptional regulatory protein CseB
nqo7,nqo7,nqo7,NADH-quinone oxidoreductase subunit 7
epi,epi,epi,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
fitB,fitB_3,fitB_3,Toxin FitB
IMPDH,IMPDH_2,IMPDH_2,Inosine-5'-monophosphate dehydrogenase
yccU,yccU,yccU,putative protein YccU
yqeY,yqeY,yqeY,putative protein YqeY
ywnA,ywnA,ywnA,Putative HTH-type transcriptional regulator YwnA
cymR,cymR,cymR,HTH-type transcriptional regulator CymR
ribH1,ribH1,ribH1,67-dimethyl-8-ribityllumazine synthase 1
ureE1,ureE1,ureE1,Urease accessory protein UreE 1
ribH2,ribH2,ribH2,67-dimethyl-8-ribityllumazine synthase 2
hndA,hndA,hndA,NADP-reducing hydrogenase subunit HndA
mnhE1,mnhE1,mnhE1,Na(+)/H(+) antiporter subunit E1
hprK,hprK,hprK,HPr kinase/phosphorylase
PGdx,PGdx,PGdx,Hybrid peroxiredoxin hyPrx5
yciF,yciF,yciF,Protein YciF
def1,def1,def1,Peptide deformylase 1
yrrK,yrrK,yrrK,Putative pre-16S rRNA nuclease
nqo6,nqo6,nqo6,NADH-quinone oxidoreductase subunit 6
yciE,yciE,yciE,Protein YciE
nqo2,nqo2_1,nqo2_1,NADH-quinone oxidoreductase subunit 2
sigR,sigR_2,sigR_2,ECF RNA polymerase sigma factor SigR
crtK2,crtK2,crtK-2,Tryptophan-rich protein TspO
ndhJ,ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic
msrA2,msrA2,msrA2,Peptide methionine sulfoxide reductase MsrA 2
olsG,olsG,olsG,Ornithine lipid N-methyltransferase
nqo5,nqo5,nqo5,NADH-quinone oxidoreductase chain 5
azoR1,azoR1,azoR1,FMN-dependent NADH-azoreductase 1
ndhI,ndhI,ndhI,NAD(P)H-quinone oxidoreductase subunit I chloroplastic
mqnB,mqnB,mqnB,Futalosine hydrolase
nhhA,nhhA,nhhA,High-molecular weight cobalt-containing nitrile hydratase subunit alpha
degU,degU_4,degU_4,Transcriptional regulatory protein DegU
bioS,bioS,bioS,Biotin transport regulator
OSGEPL1,OSGEPL1,OSGEPL1,tRNA N6-adenosine threonylcarbamoyltransferase mitochondrial
hdlIVa,hdlIVa,hdl IVa,(S)-2-haloacid dehalogenase 4A
COQ5,COQ5_4,COQ5_4,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
ald2,ald2_2,ald2_2,5-(methylthio)ribulose-1-phosphate aldolase
lon2,lon2,lon2,Lon protease 2
devR,devR_2,devR_2,DNA-binding transcriptional activator DevR/DosR
msiK,msiK_3,msiK_3,Diacetylchitobiose uptake system ATP-binding protein MsiK
aqpZ2,aqpZ2,aqpZ2,Aquaporin Z 2
phaB,phaB,phaB,Acetoacetyl-CoA reductase
sdh,sdh,sdh,Serine 3-dehydrogenase
lnrL,lnrL_1,lnrL_1,Linearmycin resistance ATP-binding protein LnrL
gamR,gamR,gamR,HTH-type transcriptional repressor GamR
pqqCD,pqqCD,pqqCD,Bifunctional coenzyme PQQ synthesis protein C/D
tcyA,tcyA,tcyA,L-cystine-binding protein TcyA
NADK,NADK,NADK,NAD kinase
cobV,cobV,cobV,Adenosylcobinamide-GDP ribazoletransferase
COQ3,COQ3_2,COQ3_2,Ubiquinone biosynthesis O-methyltransferase mitochondrial
pldht,pldht,pldh-t,Pyridoxal 4-dehydrogenase
rpaR,rpaR_2,rpaR_2,HTH-type quorum sensing-dependent transcriptional regulator RpaR
aptA,aptA,aptA,Apulose-4-phosphate transketolase subunit A
yqfL,yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein
egtC,egtC,egtC,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
apnO,apnO,apnO,D-apionate oxidoisomerase
actIII,actIII,actIII,Putative ketoacyl reductase
aqdA1,aqdA1,aqdA1,putative N-octanoylanthranilate hydrolase AqdA1
cbf2,cbf2,cbf2,Putative peptidyl-prolyl cis-trans isomerase Cbf2
ousW,ousW_2,ousW_2,Glycine betaine/choline transport system permease protein OusW
