from,gene,non_unique_gene_name,annotation
fixN,fixN_3,fixN_3,Cytochrome c oxidase subunit 1  bacteroid
ccoP,ccoP,ccoP,Cbb3-type cytochrome c oxidase subunit CcoP
narL,narL,narL,Nitrate/nitrite response regulator protein NarL
lasI,lasI_1,lasI_1,Acyl-homoserine-lactone synthase
yfdE,yfdE,yfdE,Acetyl-CoA:oxalate CoA-transferase
thiC,thiC,thiC,Phosphomethylpyrimidine synthase
exsH,exsH,exsH,Endo-13-14-beta-glycanase ExsH
ade2,ade2,ade2,Adenine deaminase 2
egtB,egtB,;egtB,hypothetical protein;Hercynine oxygenase;Formylglycine-generating enzyme
yedJ,yedJ,;yedJ,hypothetical protein;putative protein YedJ
hxuA,hxuA,;hxuA,hypothetical protein;Heme/hemopexin-binding protein
rluB,rluB,rluB,Ribosomal large subunit pseudouridine synthase B
trpF,trpF_1,;trpF_1,hypothetical protein;N-(5'-phosphoribosyl)anthranilate isomerase
glgX,glgX_1,glgX_1,Glycogen operon protein GlgX
vibB,vibB,vibB,Vibriobactin-specific isochorismatase
pcaI,pcaI,pcaI,3-oxoadipate CoA-transferase subunit A
ydhP,ydhP,ydhP,Inner membrane transport protein YdhP
yphB,yphB,yphB,putative protein YphB
benM,benM,benM,HTH-type transcriptional regulator BenM
ybjL,ybjL,;ybjL,hypothetical protein;Putative transport protein YbjL
rbsC,rbsC_8,;rbsC_8,hypothetical protein;Ribose import permease protein RbsC
arnC,arnC_2,;arnC_2,hypothetical protein;Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
doxA,doxA_1,doxA_1,Naphthalene 12-dioxygenase system ferredoxin component
thlA,thlA,thlA,Acetyl-CoA acetyltransferase
ampC,ampC,ampC,Beta-lactamase
srpC,srpC,;srpC,hypothetical protein;putative chromate transport protein
comM,comM,;comM,hypothetical protein;Competence protein ComM
lerK,lerK,lerK,L-erythrulose kinase
dapA,dapA_4,dapA_4,4-hydroxy-tetrahydrodipicolinate synthase
cheR1,cheR1,cheR1;,Chemotaxis protein methyltransferase 1;hypothetical protein
rnhB,rnhB,rnhB;,Ribonuclease HII;hypothetical protein
paaG,paaG_1,paaG_1,12-epoxyphenylacetyl-CoA isomerase
tdh,tdh_3,;tdh_3,putative zinc-binding alcohol dehydrogenase;hypothetical protein;L-threonine 3-dehydrogenase
rbsB,rbsB_4,rbsB_4;,Ribose import binding protein RbsB;hypothetical protein
slyX,slyX,slyX,Protein SlyX
rssA,rssA,;rssA,hypothetical protein;Swarming motility regulation sensor protein RssA
treS,treS,treS;,Trehalose synthase/amylase TreS;hypothetical protein
paaD,paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D
rfbE,rfbE,rfbE,CDP-paratose 2-epimerase
uppS,uppS,;uppS,hypothetical protein;Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific)
yhfA,yhfA,yhfA,Protein YhfA
bicA,bicA,bicA;,Bicarbonate transporter BicA;hypothetical protein
otnI,otnI,otnI,2-oxo-tetronate isomerase
kpsT,kpsT,kpsT,Polysialic acid transport ATP-binding protein KpsT
dhaL2,dhaL2,dhaL-2,PEP-dependent dihydroxyacetone kinase 2 ADP-binding subunit DhaL
yflN,yflN,yflN,putative metallo-hydrolase YflN
ydbD,ydbD,ydbD;,putative manganese catalase;hypothetical protein
putA,putA,putA;,Bifunctional protein PutA;hypothetical protein
yheS,yheS_2,yheS_2;,putative ABC transporter ATP-binding protein YheS;putative ABC transporter ATP-binding protein;hypothetical protein
sufT,sufT,;sufT,hypothetical protein;Fe-S protein maturation auxiliary factor SufT
gshAB,gshAB,gshAB;,Glutathione biosynthesis bifunctional protein GshAB;hypothetical protein
metH,metH_2,;metH_2,hypothetical protein;Methionine synthase
yddA,yddA,yddA;,Inner membrane ABC transporter ATP-binding protein YddA;hypothetical protein
lutR,lutR_10,;lutR_10,hypothetical protein;HTH-type transcriptional regulator LutR
ccmF,ccmF,;ccmF,hypothetical protein;Cytochrome c-type biogenesis protein CcmF
bepG,bepG,bepG,Efflux pump membrane transporter BepG
cbiG,cbiG,;cbiG,hypothetical protein;Cobalt-precorrin-5A hydrolase
glnA,glnA_1,;glnA_1,hypothetical protein;Glutamine synthetase
speB,speB,;speB,hypothetical protein;Agmatinase
pat,pat_2,;pat_2,hypothetical protein;Peptidyl-lysine N-acetyltransferase Pat
thrC,thrC,;thrC,hypothetical protein;Threonine synthase
moaB,moaB,moaB,Molybdenum cofactor biosynthesis protein B
queE,queE,queE,7-carboxy-7-deazaguanine synthase
cya,cya_2,;cya_2,hypothetical protein;Bifunctional hemolysin/adenylate cyclase
apr,apr,;apr,hypothetical protein;Subtilisin DY
glnH,glnH_5,glnH_5;,Glutamine-binding periplasmic protein;hypothetical protein
uup,uup,;uup,hypothetical protein;ABC transporter ATP-binding protein uup
hutH,hutH_1,;hutH_1,hypothetical protein;Histidine ammonia-lyase
aspC,aspC_3,;aspC_3,Aspartate aminotransferase
cynT,cynT,;cynT,hypothetical protein;Carbonic anhydrase 1
dnaC,dnaC,dnaC;,Replicative DNA helicase;hypothetical protein
garR,garR_1,garR_1,2-hydroxy-3-oxopropionate reductase
secA,secA,secA;,Protein translocase subunit SecA;hypothetical protein
fliC,fliC,fliC,Flagellin
cra,cra,;cra,hypothetical protein;Catabolite repressor/activator
aaeA,aaeA_1,;aaeA_1,hypothetical protein;p-hydroxybenzoic acid efflux pump subunit AaeA
wcaJ,wcaJ,wcaJ;,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase;hypothetical protein
ylmB,ylmB,ylmB;,N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase;hypothetical protein
znuA,znuA,;znuA,hypothetical protein;High-affinity zinc uptake system protein ZnuA
gbuC,gbuC,gbuC;,Glycine betaine/carnitine transport binding protein GbuC;hypothetical protein
trpS,trpS,trpS,Tryptophan--tRNA ligase
nadB,nadB,;nadB,hypothetical protein;L-aspartate oxidase
flhA,flhA_2,;flhA_2,hypothetical protein;S-(hydroxymethyl)glutathione dehydrogenase
hypBA1,hypBA1_2,hypBA1_2;,Non-reducing end beta-L-arabinofuranosidase;hypothetical protein
prs,prs_2,;prs_2,hypothetical protein;Ribose-phosphate pyrophosphokinase
algE5,algE5_2,;algE5_2,hypothetical protein;Mannuronan C5-epimerase AlgE5
mliC,mliC,mliC;,Membrane-bound lysozyme inhibitor of C-type lysozyme;hypothetical protein
exoI,exoI,exoI;,Beta-hexosaminidase;hypothetical protein
rhtB,rhtB_3,;rhtB_3,hypothetical protein;Homoserine/homoserine lactone efflux protein
dasA,dasA,dasA;,Diacetylchitobiose binding protein DasA;hypothetical protein
glgC,glgC,glgC,Glucose-1-phosphate adenylyltransferase
cyaA,cyaA,;cyaA,hypothetical protein;Adenylate cyclase 1
lafU,lafU,;lafU,hypothetical protein;Chemotaxis protein LafU
yokD,yokD,;yokD,hypothetical protein;SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
nagR,nagR_1,;nagR_1,hypothetical protein;HTH-type transcriptional repressor NagR
bkdA1,bkdA1,bkdA1;,2-oxoisovalerate dehydrogenase subunit alpha;hypothetical protein
radA,radA,radA,DNA repair protein RadA
badA,badA,badA;,Autotransporter adhesin BadA;hypothetical protein
katA,katA,katA,Catalase
gabD,gabD_2,gabD_2;,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD;hypothetical protein
tlyC,tlyC,;tlyC,hypothetical protein;Hemolysin C
pccB,pccB_2,;pccB_2,hypothetical protein;Propionyl-CoA carboxylase beta chain;Methylmalonyl-CoA carboxyltransferase 12S subunit
infB,infB,;infB,hypothetical protein;Translation initiation factor IF-2
queC,queC,queC,7-cyano-7-deazaguanine synthase
rsmH,rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H
tmd,tmd,tmd;,Trimethylamine dehydrogenase;hypothetical protein
acoR,acoR,;acoR,hypothetical protein;Acetoin catabolism regulatory protein
lly,lly,;lly,hypothetical protein;4-hydroxyphenylpyruvate dioxygenase
agpA,agpA_1,;agpA_1,hypothetical protein;Periplasmic alpha-galactoside-binding protein
hcaB,hcaB_4,;hcaB_4,hypothetical protein;3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
phnG,phnG,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
dmlR,dmlR_10,;dmlR_10,hypothetical protein;HTH-type transcriptional regulator DmlR
yveL,yveL,yveL;,Putative tyrosine-protein kinase YveL;hypothetical protein
srmB,srmB,;srmB,hypothetical protein;ATP-dependent RNA helicase SrmB
murG,murG_1,murG_1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ileS,ileS,;ileS,hypothetical protein;Isoleucine--tRNA ligase
rimJ,rimJ,;rimJ,hypothetical protein;[Ribosomal protein S5]-alanine N-acetyltransferase
cph2,cph2,;cph2,hypothetical protein;Phytochrome-like protein cph2
yfhM,yfhM,yfhM;,Alpha-2-macroglobulin;hypothetical protein
rlmB,rlmB_1,;rlmB_1,hypothetical protein;Putative TrmH family tRNA/rRNA methyltransferase;23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
cueO,cueO_1,;cueO_1,hypothetical protein;Blue copper oxidase CueO
ynjB,ynjB,;ynjB,hypothetical protein;Protein YnjB
ilvG,ilvG,ilvG,Acetolactate synthase isozyme 2 large subunit
nudC,nudC,nudC;,NADH pyrophosphatase;hypothetical protein
tap,tap,;tap,hypothetical protein;Methyl-accepting chemotaxis protein IV
proS,proS,;proS,hypothetical protein;Proline--tRNA ligase
nifK,nifK_1,nifK_1,Nitrogenase molybdenum-iron protein beta chain
yvgN,yvgN,yvgN;,Glyoxal reductase;putative oxidoreductase/MSMEI_2347
pncB,pncB,pncB,Nicotinate phosphoribosyltransferase
dusA,dusA,dusA;,tRNA-dihydrouridine(20/20a) synthase;hypothetical protein
ynhG,ynhG,ynhG;,putative LD-transpeptidase YnhG;hypothetical protein
fdhD,fdhD,fdhD;,Sulfur carrier protein FdhD;hypothetical protein
ves,ves,;ves,hypothetical protein;Protein Ves
hemS,hemS,;hemS,hypothetical protein;Hemin transport protein HemS
atoC,atoC_1,;atoC_1,hypothetical protein;Limonene hydroxylase;Regulatory protein AtoC
thiO,thiO,thiO,Glycine oxidase
pgsA,pgsA,;pgsA,hypothetical protein;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
hemF,hemF,hemF,Oxygen-dependent coproporphyrinogen-III oxidase
napF,napF,napF,Ferredoxin-type protein NapF
cmoB,cmoB_2,cmoB_2,tRNA U34 carboxymethyltransferase
nuoJ,nuoJ_1,;nuoJ_1,hypothetical protein;NADH-quinone oxidoreductase subunit J
glmU,glmU_1,;glmU_1,hypothetical protein;Bifunctional protein GlmU
fpgS,fpgS,;fpgS,hypothetical protein;Folylpolyglutamate synthase
addA,addA,;addA,hypothetical protein;ATP-dependent helicase/nuclease subunit A
andAa,andAa_2,andAa_2,Anthranilate 12-dioxygenase system ferredoxin--NAD(+) reductase component
petC,petC,petC,Cytochrome b6-f complex iron-sulfur subunit
tesB,tesB,tesB;,Acyl-CoA thioesterase 2;hypothetical protein
soxB,soxB_2,soxB_2,Sarcosine oxidase subunit beta
uvrB,uvrB,;uvrB,hypothetical protein;UvrABC system protein B
dmg,dmg,dmg;,Dimethylglycine oxidase;hypothetical protein
hmuV,hmuV,hmuV,Hemin import ATP-binding protein HmuV
miaA,miaA,miaA,tRNA dimethylallyltransferase
murR,murR,;murR,hypothetical protein;HTH-type transcriptional regulator MurR
yjbI,yjbI,;yjbI,hypothetical protein;Group 2 truncated hemoglobin YjbI
isdG,isdG,;isdG,hypothetical protein;Heme oxygenase (staphylobilin-producing)
yfkN,yfkN_2,;yfkN_2,hypothetical protein;Trifunctional nucleotide phosphoesterase protein YfkN
fliF,fliF,;fliF,hypothetical protein;Flagellar M-ring protein
rplJ,rplJ,rplJ;,50S ribosomal protein L10;hypothetical protein
prpB,prpB,prpB;,2-methylisocitrate lyase;putative protein
rlmE,rlmE,rlmE,Ribosomal RNA large subunit methyltransferase E
mgtE,mgtE,mgtE;,Magnesium transporter MgtE
murJ,murJ,murJ,putative lipid II flippase MurJ
gcvT,gcvT_1,gcvT_1,Aminomethyltransferase
sppA,sppA,sppA;,Putative signal peptide peptidase SppA;hypothetical protein
aroH,aroH,aroH,Phospho-2-dehydro-3-deoxyheptonate aldolase
pntAA,pntAA,pntAA,NAD(P) transhydrogenase subunit alpha part 1
gloC,gloC,gloC,Hydroxyacylglutathione hydrolase GloC
purC,purC,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase
mrpC,mrpC,;mrpC,hypothetical protein;Na(+)/H(+) antiporter subunit C
ligE,ligE,ligE;,Beta-etherase;hypothetical protein
nit1,nit1,nit1,Deaminated glutathione amidase
yibF,yibF,;yibF,hypothetical protein;putative GST-like protein YibF
rlmJ,rlmJ,rlmJ,Ribosomal RNA large subunit methyltransferase J
msrP,msrP_2,;msrP_2,hypothetical protein;Protein-methionine-sulfoxide reductase catalytic subunit MsrP
trmFO,trmFO,trmFO,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
gntK,gntK,gntK,Thermoresistant gluconokinase
kdsD,kdsD_2,kdsD_2;,Arabinose 5-phosphate isomerase KdsD;hypothetical protein
lysDH,lysDH,lysDH,Lysine 6-dehydrogenase
bpt,bpt,bpt,Aspartate/glutamate leucyltransferase
yiaO,yiaO,;yiaO,hypothetical protein;23-diketo-L-gulonate-binding periplasmic protein YiaO
livH,livH_3,;livH_3,hypothetical protein;High-affinity branched-chain amino acid transport system permease protein LivH
sspA,sspA_1,;sspA_1,hypothetical protein;Stringent starvation protein A
ygeX,ygeX,;ygeX,hypothetical protein;Diaminopropionate ammonia-lyase
oxyR,oxyR_1,;oxyR_1,hypothetical protein;Hydrogen peroxide-inducible genes activator
mak,mak,mak,Fructokinase
novN,novN,novN,Decarbamoylnovobiocin carbamoyltransferase
ptsJ,ptsJ_1,ptsJ_1;,Vitamin B6 salvage pathway transcriptional repressor PtsJ;hypothetical protein
moeA,moeA,moeA,Molybdopterin molybdenumtransferase
ispDF,ispDF,ispDF,Bifunctional enzyme IspD/IspF
cinA,cinA,cinA,Putative competence-damage inducible protein
otsB,otsB,otsB,Trehalose-6-phosphate phosphatase
acxB,acxB,acxB;,Acetone carboxylase alpha subunit;hypothetical protein
ygfF,ygfF,;ygfF,hypothetical protein;putative oxidoreductase YgfF
zntR,zntR,zntR,HTH-type transcriptional regulator ZntR
uao,uao,;uao,hypothetical protein;Uric acid degradation bifunctional protein
ybaK,ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
tspO,tspO,;tspO,hypothetical protein;Tryptophan-rich sensory protein
nadC,nadC,nadC;,Nicotinate-nucleotide pyrophosphorylase [carboxylating];hypothetical protein;putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
esiB,esiB,esiB,Secretory immunoglobulin A-binding protein EsiB
moxF,moxF,moxF,Methanol dehydrogenase [cytochrome c] subunit 1
nemR,nemR,;nemR,hypothetical protein;HTH-type transcriptional repressor NemR
ybhL,ybhL,ybhL;,Inner membrane protein YbhL;hypothetical protein
fdxA,fdxA,fdxA,Ferredoxin-2
rplR,rplR,;rplR,hypothetical protein;50S ribosomal protein L18
xynB,xynB,;xynB,hypothetical protein;Beta-xylosidase
dnaQ,dnaQ,dnaQ,DNA polymerase III subunit epsilon
leuA,leuA,leuA,2-isopropylmalate synthase
pgk,pgk,pgk,Phosphoglycerate kinase
nth,nth,nth,Endonuclease III
ywlC,ywlC,ywlC;,Threonylcarbamoyl-AMP synthase;hypothetical protein
cntB,cntB,cntB;,Carnitine monooxygenase reductase subunit;hypothetical protein
dnaA,dnaA_1,;dnaA_1,hypothetical protein;Chromosomal replication initiator protein DnaA
mdtN,mdtN,mdtN,Multidrug resistance protein MdtN
alsT,alsT_3,alsT_3,Amino-acid carrier protein AlsT
pcaH,pcaH,pcaH;,Protocatechuate 34-dioxygenase beta chain;hypothetical protein
nusA,nusA,nusA,Transcription termination/antitermination protein NusA
hisI,hisI,hisI,Phosphoribosyl-AMP cyclohydrolase
ydcO,ydcO,ydcO,Inner membrane protein YdcO
ftsY,ftsY,ftsY;,Signal recognition particle receptor FtsY;hypothetical protein
eamB,eamB,;eamB,hypothetical protein;Cysteine/O-acetylserine efflux protein
ycjX,ycjX,;ycjX,hypothetical protein;putative protein YcjX
dnaJ,dnaJ_3,dnaJ_3;,Chaperone protein DnaJ;hypothetical protein
rdmC,rdmC,rdmC;,Aclacinomycin methylesterase RdmC;hypothetical protein
mutY,mutY,mutY,Adenine DNA glycosylase
