gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
group_1583-group_4159-group_5801,1,1,0,1,0,1,1,1,1,0
group_6249-group_3647-group_6250,1,1,0,1,1,1,1,1,1,0
group_6249-group_3647-group_6591,0,0,1,0,0,0,0,0,0,1
group_2742-group_2810-group_3776,0,0,0,0,1,1,1,1,1,0
group_2742-group_2810-group_6250,1,1,0,1,0,0,0,0,0,0
group_1886-group_447-group_5200,0,1,1,0,1,1,0,0,0,1
group_5061-group_447-group_5200,1,0,0,1,0,0,1,1,1,0
group_1537-pta_1-htpG_1~~~htpG_2~~~htpG,0,0,0,0,1,1,0,1,0,0
ackA_1-pta_1-htpG_1~~~htpG_2~~~htpG,1,1,1,1,0,0,1,0,1,1
pbuE-hutI-group_1298,1,1,0,1,0,0,0,0,1,1
pbuE-hutI-hutH_1,0,0,1,0,1,1,1,1,0,0
yabJ_1-group_2250-group_5672,1,1,1,1,1,1,1,1,1,0
pucM_1-group_309-group_3727,1,1,0,1,1,1,1,1,1,0
pucM_1-group_309-group_6019,0,0,1,0,0,0,0,0,0,1
adeP_1-group_3804-group_6019,1,1,0,1,1,0,1,0,1,0
group_3804-adeP_1-group_5179,1,1,0,1,1,0,1,0,1,0
group_5179-adeP_1-group_6098,0,0,0,0,0,0,0,1,0,1
group_2110-hipO_1-pyrE_2~~~pyrE_1,1,1,0,1,1,1,1,0,1,0
pyrE_2~~~pyrE_1-hipO_1-group_5234,0,0,1,0,0,0,0,0,0,1
potD_1-purR_2-group_1802,1,1,0,1,1,1,1,1,1,0
potD_1-purR_2-group_2096,0,0,1,0,0,0,0,0,0,1
group_1802-group_1423-group_5037,1,1,0,1,1,1,1,1,1,0
group_2096-group_1423-group_5037,0,0,1,0,0,0,0,0,0,1
arnB-group_1180-pglH,1,1,1,1,1,1,1,0,1,1
group_353-group_1186-group_4447,0,0,1,0,0,0,0,0,0,1
group_353-group_1186-mshA_7~~~mshA_8~~~mshA_9~~~mshA_6,1,1,0,1,1,1,1,1,1,0
group_5193-group_432-mshA_7~~~mshA_8~~~mshA_9~~~mshA_6,1,1,1,0,1,1,1,1,1,1
group_4404-group_320-group_5160,1,1,0,1,1,1,1,1,1,0
sfnC-group_320-group_5160,0,0,1,0,0,0,0,0,0,1
group_320-group_4404-sfnC,1,1,0,0,1,0,0,0,0,0
group_320-group_4404-group_4277,0,0,0,1,0,1,1,1,1,0
group_4404-sfnC-iscR,1,1,0,0,1,0,0,0,0,0
iscR-sfnC-group_320,0,0,1,0,0,0,0,0,0,1
iscR-sfnC-group_4277,0,0,0,1,0,1,1,1,1,0
group_3786-group_3257-group_5900,1,0,1,1,0,1,1,1,1,1
cspA_1-group_3257-group_5900,0,1,0,0,1,0,0,0,0,0
group_3257-group_3786-cspA_1,1,0,1,1,0,1,1,0,0,1
group_3257-group_3786-group_4623,0,0,0,0,0,0,0,1,1,0
