from,gene,non_unique_gene_name,annotation
lutR,lutR_8,;lutR_8,hypothetical protein;HTH-type transcriptional regulator LutR
cckA,cckA_2,cckA_2;,Sensor kinase CckA;hypothetical protein
arg,arg,arg,Arginase
bepA,bepA_7,;bepA_7,hypothetical protein;Beta-barrel assembly-enhancing protease
vdh,vdh,;vdh,hypothetical protein;Vitamin D(3) 25-hydroxylase
pucM,pucM_1,;pucM_1,hypothetical protein;5-hydroxyisourate hydrolase
yjgH,yjgH,yjgH,RutC family protein YjgH
selD,selD,selD,Selenide water dikinase
cbpA,cbpA_2,cbpA_2,Curved DNA-binding protein
kipR,kipR,kipR,HTH-type transcriptional regulator KipR
selA,selA,selA,L-seryl-tRNA(Sec) selenium transferase
des,des,des,Fatty acid desaturase
yphB,yphB,yphB;,putative protein YphB;hypothetical protein
virB6,virB6,virB6,Type IV secretion system protein VirB6
arnC,arnC_2,;arnC_2,hypothetical protein;Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
dtnK,dtnK,dtnK,D-threonate kinase
pglA,pglA,pglA,NN'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-13-N-acetylgalactosaminyltransferase
gudX,gudX,gudX,Glucarate dehydratase-related protein
ade,ade,ade,Adenine deaminase
yesO,yesO_1,yesO_1;,Putative ABC transporter substrate-binding protein YesO;hypothetical protein
mhqD,mhqD_1,;mhqD_1,hypothetical protein;Putative hydrolase MhqD
nifD,nifD_2,;nifD_2,hypothetical protein;Nitrogenase molybdenum-iron protein alpha chain
tag,tag,tag,DNA-3-methyladenine glycosylase 1
msrA3,msrA3,msrA3,Peptide methionine sulfoxide reductase MsrA 3
emrB,emrB_2,;emrB_2,hypothetical protein;Multidrug export protein EmrB
xdhA,xdhA_1,xdhA_1,Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
ftsY,ftsY,;ftsY,hypothetical protein;Signal recognition particle receptor FtsY
dctD,dctD_2,dctD_2,C4-dicarboxylate transport transcriptional regulatory protein DctD
kdpC,kdpC,kdpC,Potassium-transporting ATPase KdpC subunit
arcC2,arcC2,arcC2,Carbamate kinase 2
sbmA,sbmA,sbmA,Peptide antibiotic transporter SbmA
cyaA,cyaA,cyaA;,Adenylate cyclase 1;hypothetical protein
siaM,siaM_1,;siaM_1,hypothetical protein;Sialic acid TRAP transporter large permease protein SiaM
kdpA,kdpA,kdpA;,Potassium-transporting ATPase potassium-binding subunit;hypothetical protein
pbpF,pbpF,pbpF,Penicillin-binding protein 1F
prtC,prtC,;prtC,hypothetical protein;Serralysin C
xthA,xthA_2,xthA_2,Exodeoxyribonuclease III
dusA,dusA,dusA,tRNA-dihydrouridine(20/20a) synthase
nifA,nifA,nifA,Nif-specific regulatory protein
lsrK,lsrK,lsrK,Autoinducer-2 kinase
queE,queE,queE,7-carboxy-7-deazaguanine synthase
aqpZ,aqpZ,aqpZ,Aquaporin Z
yfcA,yfcA_2,yfcA_2;,putative membrane transporter protein YfcA;hypothetical protein
trmL,trmL,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase
bioS,bioS,bioS,Biotin transport regulator
yceI,yceI,yceI,Protein YceI
mdtL,mdtL,mdtL,Multidrug resistance protein MdtL
dld,dld_2,;dld_2,putative FAD-linked oxidoreductase;Quinone-dependent D-lactate dehydrogenase
fliC,fliC_2,;fliC_2,hypothetical protein;Flagellin
gppA,gppA_2,gppA_2,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase
sfsA,sfsA,sfsA,Sugar fermentation stimulation protein A
xypA,xypA,xypA,Xylitol-binding protein
argH,argH_1,argH_1,Argininosuccinate lyase
otnI,otnI,otnI,2-oxo-tetronate isomerase
ampC,ampC,ampC,Beta-lactamase
comM,comM,comM,Competence protein ComM
cobV,cobV,cobV,Adenosylcobinamide-GDP ribazoletransferase
yhfA,yhfA,yhfA,Protein YhfA
lsrD,lsrD_1,lsrD_1,Autoinducer 2 import system permease protein LsrD
cysQ,cysQ_2,cysQ_2,3'(2')5'-bisphosphate nucleotidase CysQ
comC,comC,comC;,(2R)-3-sulfolactate dehydrogenase (NADP(+));hypothetical protein;Delta(1)-pyrroline-2-carboxylate reductase 1
fdoG,fdoG_1,fdoG_1,Formate dehydrogenase-O major subunit
xlnD,xlnD,xlnD,3-hydroxybenzoate 6-hydroxylase 1
acyP,acyP,acyP,Acylphosphatase
pglF,pglF,;pglF,hypothetical protein;UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
rfbG,rfbG,rfbG,CDP-glucose 46-dehydratase
yihS,yihS,;yihS,Cellobiose 2-epimerase;Sulfoquinovose isomerase
gltI,gltI,gltI,Glutamate/aspartate import solute-binding protein
nosF,nosF,nosF,putative ABC transporter ATP-binding protein NosF
kdpD,kdpD,;kdpD,hypothetical protein;Sensor protein KdpD
bicA,bicA,bicA,Bicarbonate transporter BicA
rip3,rip3,;rip3,hypothetical protein;Putative zinc metalloprotease Rip3
nadC,nadC,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating]
gshAB,gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB
fumC,fumC,;fumC,hypothetical protein;Fumarate hydratase class II
ant1,ant1,ant1,Streptomycin 3''-adenylyltransferase
cycM,cycM,cycM,Cytochrome c-552
otnK,otnK,otnK,3-oxo-tetronate kinase
mhqO,mhqO,;mhqO,hypothetical protein;Putative ring-cleaving dioxygenase MhqO
pta,pta,;pta,hypothetical protein;Phosphate acetyltransferase
rbn,rbn,;rbn,hypothetical protein;Ribonuclease BN
fdxB,fdxB,fdxB;,Ferredoxin-3;hypothetical protein
btuD,btuD_10,;btuD_10,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD
ves,ves,;ves,hypothetical protein;Protein Ves
prsD,prsD_2,prsD_2;,Type I secretion system ATP-binding protein PrsD;hypothetical protein
yokD,yokD,;yokD,hypothetical protein;SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
hchA,hchA_2,hchA_2,Protein/nucleic acid deglycase HchA
dmlR,dmlR_5,;dmlR_5,hypothetical protein;HTH-type transcriptional regulator DmlR
fdoH,fdoH,fdoH,Formate dehydrogenase-O iron-sulfur subunit
ydcS,ydcS,;ydcS,hypothetical protein;Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
gcvA,gcvA_4,;gcvA_4,hypothetical protein;Glycine cleavage system transcriptional activator
puuD,puuD,puuD,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
hldD,hldD_3,;hldD_3,hypothetical protein;ADP-L-glycero-D-manno-heptose-6-epimerase
hflC,hflC,hflC;,Modulator of FtsH protease HflC;hypothetical protein
gbuC,gbuC,;gbuC,hypothetical protein;Glycine betaine/carnitine transport binding protein GbuC
ttgB,ttgB,ttgB;,putative efflux pump membrane transporter TtgB;hypothetical protein
pgk,pgk,pgk;,Phosphoglycerate kinase;hypothetical protein
mshA,mshA_14,;mshA_14,hypothetical protein;D-inositol-3-phosphate glycosyltransferase
cca,cca,;cca,hypothetical protein;CCA-adding enzyme
araN,araN,;araN,hypothetical protein;putative arabinose-binding protein
preA,preA,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
dadD,dadD,;dadD,8-oxoguanine deaminase;hypothetical protein;5'-deoxyadenosine deaminase
folD,folD_2,;folD_2,hypothetical protein;Bifunctional protein FolD protein
lfrA,lfrA_2,lfrA_2,Multidrug efflux pump LfrA
lyx,lyx,lyx;,L-xylulose/3-keto-L-gulonate kinase;hypothetical protein
pdxB,pdxB,;pdxB,Hydroxypyruvate reductase;Erythronate-4-phosphate dehydrogenase;hypothetical protein
dctM,dctM_8,;dctM_8,hypothetical protein;C4-dicarboxylate TRAP transporter large permease protein DctM
recJ,recJ,recJ;,Single-stranded-DNA-specific exonuclease RecJ;hypothetical protein
dnaX,dnaX_2,;dnaX_2,hypothetical protein;DNA polymerase III subunit tau
nfdA,nfdA_1,nfdA_1,N-substituted formamide deformylase
recG,recG,recG;,ATP-dependent DNA helicase RecG;hypothetical protein
katG,katG,katG,Catalase-peroxidase
glnE,glnE,glnE;,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme;hypothetical protein
rne,rne,;rne,hypothetical protein;Ribonuclease E
zntB,zntB,;zntB,hypothetical protein;Zinc transport protein ZntB
ctaB,ctaB,ctaB,Protoheme IX farnesyltransferase
fdhC,fdhC_2,;fdhC_2,hypothetical protein;Fructose dehydrogenase cytochrome subunit
