genome_id1,genome_id2,bray_curtis_similarity
g21,g21,1
g21,g22,0.8303664921465969
g21,g23,0.8295565028793658
g21,g24,0.8250408436061192
g21,g25,0.8356529464021321
g21,g26,0.834741366533274
g21,g27,0.8536512667660209
g21,g31,0.8729081863410222
g21,g32,0.8729273439855291
g21,g33,0.8417588991923421
g21,g34,0.8700097737012255
g21,g35,0.8754071044459593
g21,g36,0.8434418882581416
g21,g37,0.8547515787871871
g21,g39,0.9941220798794272
g21,g41,0.8732564276558847
g21,g43,0.8548153787590407
g21,g44,0.9941167596922613
g21,g45,0.873736611856992
g22,g21,0.8303664921465969
g22,g22,1
g22,g23,0.995165489029379
g22,g24,0.8462333825701625
g22,g25,0.8623177735237815
g22,g26,0.8629127358490566
g22,g27,0.8495627686379131
g22,g31,0.8562218890554723
g22,g32,0.8559436366361864
g22,g33,0.8627100996578908
g22,g34,0.8533831775700935
g22,g35,0.8611885215033517
g22,g36,0.865993165948596
g22,g37,0.8511765150941969
g22,g39,0.8321342925659472
g22,g41,0.855814650970983
g22,g43,0.8507835566659097
g22,g44,0.8321332133213322
g22,g45,0.8562856285628563
g23,g21,0.8295565028793658
g23,g22,0.995165489029379
g23,g23,1
g23,g24,0.8455800900967432
g23,g25,0.8615180740631672
g23,g26,0.8619647726435257
g23,g27,0.8484623934790663
g23,g31,0.8560077955175773
g23,g32,0.8557295960428689
g23,g33,0.8613073548003272
g23,g34,0.8528708133971292
g23,g35,0.8605211628257268
g23,g36,0.8651860655128871
g23,g37,0.8492964139809351
g23,g39,0.8317721993255901
g23,g41,0.855300644774329
g23,g43,0.8504163512490537
g23,g44,0.8319207980199506
g23,g45,0.8566714167854197
g24,g21,0.8250408436061192
g24,g22,0.8462333825701625
g24,g23,0.8455800900967432
g24,g24,1
g24,g25,0.8809767509869864
g24,g26,0.8810011709601874
g24,g27,0.8663723325974981
g24,g31,0.8425126525751712
g24,g32,0.8431314183658283
g24,g33,0.8808152414709791
g24,g34,0.8432929997772993
g24,g35,0.8461826067449338
g24,g36,0.8874465260362885
g24,g37,0.8956658904829866
g24,g39,0.8266369047619048
g24,g41,0.8424030372962108
g24,g43,0.8962044344231492
g24,g44,0.8263330354483169
g24,g45,0.8433124813821865
g25,g21,0.8356529464021321
g25,g22,0.8623177735237815
g25,g23,0.8615180740631672
g25,g24,0.8809767509869864
g25,g25,1
g25,g26,0.9954764336786809
g25,g27,0.9028755868544601
g25,g31,0.8772814957708859
g25,g32,0.8765578635014837
g25,g33,0.8919316843345112
g25,g34,0.8747132391030858
g25,g35,0.8764815505031681
g25,g36,0.9760294117647059
g25,g37,0.9027330587794833
g25,g39,0.8374128467586411
g25,g41,0.8759925788497217
g25,g43,0.9034239904098299
g25,g44,0.8374164810690423
g25,g45,0.8767631774313289
g26,g21,0.834741366533274
g26,g22,0.8629127358490566
g26,g23,0.8619647726435257
g26,g24,0.8810011709601874
g26,g25,0.9954764336786809
g26,g26,1
g26,g27,0.9024820091055955
g26,g31,0.8759655377302437
g26,g32,0.8768750928263775
g26,g33,0.8907885040530582
g26,g34,0.8745833024668495
g26,g35,0.8765017536004776
g26,g36,0.9761519210952451
g26,g37,0.9020313319841091
g26,g39,0.8357588357588357
g26,g41,0.875715028601144
g26,g43,0.9031725793144829
g26,g44,0.8359096313912009
g26,g45,0.8767835909631392
g27,g21,0.8536512667660209
g27,g22,0.8495627686379131
g27,g23,0.8484623934790663
g27,g24,0.8663723325974981
g27,g25,0.9028755868544601
g27,g26,0.9024820091055955
g27,g27,1
g27,g31,0.9226288274831964
g27,g32,0.9227897252090801
g27,g33,0.9044161232957914
g27,g34,0.915754189944134
g27,g35,0.9076311247842725
g27,g36,0.9103019538188277
g27,g37,0.8945503881812015
g27,g39,0.8559056293862923
g27,g41,0.9225367894225741
g27,g43,0.8950901274605928
g27,g44,0.8559258705724107
g27,g45,0.9227320280974444
g31,g21,0.8729081863410222
g31,g22,0.8562218890554723
g31,g23,0.8560077955175773
g31,g24,0.8425126525751712
g31,g25,0.8772814957708859
g31,g26,0.8759655377302437
g31,g27,0.9226288274831964
g31,g31,1
g31,g32,0.9957697537392355
g31,g33,0.8644880827462149
g31,g34,0.9681259889985683
g31,g35,0.9584756699309193
g31,g36,0.8838149423566402
g31,g37,0.874246930526958
g31,g39,0.8753776435045317
g31,g41,0.9962971359480087
g31,g43,0.8741701640595193
g31,g44,0.8749622013909888
g31,g45,0.9963713335349259
g32,g21,0.8729273439855291
g32,g22,0.8559436366361864
g32,g23,0.8557295960428689
g32,g24,0.8431314183658283
g32,g25,0.8765578635014837
g32,g26,0.8768750928263775
g32,g27,0.9227897252090801
g32,g31,0.9957697537392355
g32,g32,1
g32,g33,0.864658273381295
g32,g34,0.968432155503654
g32,g35,0.958785578747628
g32,g36,0.8839820359281437
g32,g37,0.8741136103698055
g32,g39,0.8747923274429844
g32,g41,0.9961465810351341
g32,g43,0.874189364461738
g32,g44,0.8751322751322751
g32,g45,0.9963718820861678
g33,g21,0.8417588991923421
g33,g22,0.8627100996578908
g33,g23,0.8613073548003272
g33,g24,0.8808152414709791
g33,g25,0.8919316843345112
g33,g26,0.8907885040530582
g33,g27,0.9044161232957914
g33,g31,0.8644880827462149
g33,g32,0.864658273381295
g33,g33,1
g33,g34,0.8616281677506168
g33,g35,0.8591008359063182
g33,g36,0.898544266191325
g33,g37,0.8997654890687646
g33,g39,0.8441480593436236
g33,g41,0.865132318764525
g33,g43,0.8990992354855802
g33,g44,0.8443077846107695
g33,g45,0.8650067496625169
g34,g21,0.8700097737012255
g34,g22,0.8533831775700935
g34,g23,0.8528708133971292
g34,g24,0.8432929997772993
g34,g25,0.8747132391030858
g34,g26,0.8745833024668495
g34,g27,0.915754189944134
g34,g31,0.9681259889985683
g34,g32,0.968432155503654
g34,g33,0.8616281677506168
g34,g34,1
g34,g35,0.950030284675954
g34,g36,0.882102590905697
g34,g37,0.8688773958016428
g34,g39,0.872165725047081
g34,g41,0.9687971058185108
g34,g43,0.8686453576864536
g34,g44,0.872200859534042
g34,g45,0.9682575586217296
g35,g21,0.8754071044459593
g35,g22,0.8611885215033517
g35,g23,0.8605211628257268
g35,g24,0.8461826067449338
g35,g25,0.8764815505031681
g35,g26,0.8765017536004776
g35,g27,0.9076311247842725
g35,g31,0.9584756699309193
g35,g32,0.958785578747628
g35,g33,0.8591008359063182
g35,g34,0.950030284675954
g35,g35,1
g35,g36,0.8807822489657766
g35,g37,0.88
g35,g39,0.8771344008499659
g35,g41,0.9586940015186028
g35,g43,0.8797730409446404
g35,g44,0.8773262438283327
g35,g45,0.9589061906570452
g36,g21,0.8434418882581416
g36,g22,0.865993165948596
g36,g23,0.8651860655128871
g36,g24,0.8874465260362885
g36,g25,0.9760294117647059
g36,g26,0.9761519210952451
g36,g27,0.9103019538188277
g36,g31,0.8838149423566402
g36,g32,0.8839820359281437
g36,g33,0.898544266191325
g36,g34,0.882102590905697
g36,g35,0.8807822489657766
g36,g36,1
g36,g37,0.9081979599546657
g36,g39,0.8446340368208352
g36,g41,0.8832646948708349
g36,g43,0.909352082860815
g36,g44,0.8450936329588015
g36,g45,0.8847940074906367
g37,g21,0.8547515787871871
g37,g22,0.8511765150941969
g37,g23,0.8492964139809351
g37,g24,0.8956658904829866
g37,g25,0.9027330587794833
g37,g26,0.9020313319841091
g37,g27,0.8945503881812015
g37,g31,0.874246930526958
g37,g32,0.8741136103698055
g37,g33,0.8997654890687646
g37,g34,0.8688773958016428
g37,g35,0.88
g37,g36,0.9081979599546657
g37,g37,1
g37,g39,0.8556834642067546
g37,g41,0.8745995423340961
g37,g43,0.9963025727930981
g37,g44,0.8561617703166731
g37,g45,0.8743227775658146
g39,g21,0.9941220798794272
g39,g22,0.8321342925659472
g39,g23,0.8317721993255901
g39,g24,0.8266369047619048
g39,g25,0.8374128467586411
g39,g26,0.8357588357588357
g39,g27,0.8559056293862923
g39,g31,0.8753776435045317
g39,g32,0.8747923274429844
g39,g33,0.8441480593436236
g39,g34,0.872165725047081
g39,g35,0.8771344008499659
g39,g36,0.8446340368208352
g39,g37,0.8556834642067546
g39,g39,1
g39,g41,0.8746694870438921
g39,g43,0.8559005263559387
g39,g44,0.9950120918984281
g39,g45,0.8757557436517533
g41,g21,0.8732564276558847
g41,g22,0.855814650970983
g41,g23,0.855300644774329
g41,g24,0.8424030372962108
g41,g25,0.8759925788497217
g41,g26,0.875715028601144
g41,g27,0.9225367894225741
g41,g31,0.9962971359480087
g41,g32,0.9961465810351341
g41,g33,0.865132318764525
g41,g34,0.9687971058185108
g41,g35,0.9586940015186028
g41,g36,0.8832646948708349
g41,g37,0.8745995423340961
g41,g39,0.8746694870438921
g41,g41,1
g41,g43,0.8740650282399633
g41,g44,0.8753119092627599
g41,g45,0.9958412098298677
g43,g21,0.8548153787590407
g43,g22,0.8507835566659097
g43,g23,0.8504163512490537
g43,g24,0.8962044344231492
g43,g25,0.9034239904098299
g43,g26,0.9031725793144829
g43,g27,0.8950901274605928
g43,g31,0.8741701640595193
g43,g32,0.874189364461738
g43,g33,0.8990992354855802
g43,g34,0.8686453576864536
g43,g35,0.8797730409446404
g43,g36,0.909352082860815
g43,g37,0.9963025727930981
g43,g39,0.8559005263559387
g43,g41,0.8740650282399633
g43,g43,1
g43,g44,0.8565320302359318
g43,g45,0.87500954417042065
g44,g21,0.9941167596922613
g44,g22,0.8321332133213322
g44,g23,0.8319207980199506
g44,g24,0.8263330354483169
g44,g25,0.8374164810690423
g44,g26,0.8359096313912009
g44,g27,0.8559258705724107
g44,g31,0.8749622013909888
g44,g32,0.8751322751322751
g44,g33,0.8443077846107695
g44,g34,0.872200859534042
g44,g35,0.8773262438283327
g44,g36,0.8450936329588015
g44,g37,0.8561617703166731
g44,g39,0.9950120918984281
g44,g41,0.8753119092627599
g44,g43,0.8565320302359318
g44,g44,1
g44,g45,0.875642965204236
g45,g21,0.873736611856992
g45,g22,0.8562856285628563
g45,g23,0.8566714167854197
g45,g24,0.8433124813821865
g45,g25,0.8767631774313289
g45,g26,0.8767835909631392
g45,g27,0.9227320280974444
g45,g31,0.9963713335349259
g45,g32,0.9963718820861678
g45,g33,0.8650067496625169
g45,g34,0.9682575586217296
g45,g35,0.9589061906570452
g45,g36,0.8847940074906367
