temperature,well,exp_id,r,t.r,lag,maxOD,startOD
30c,A01,H2M3R1,1.0942017798916743,12.583333333333334,11.983012112595599,0.3257518489232134,-0.033593750000000006
30c,B01,H2M3R2,1.089009401581912,17.416666666666668,16.872629073163896,0.24551996513839192,-0.034
30c,C01,H3M1R1,0.5101463582876185,21.333333333333332,19.662881207469756,0.13701621781430465,-0.032593750000000005
30c,D01,H3M3R2,0.7658970608910778,19.333333333333332,18.355325226817836,0.14310664073032403,-0.032593750000000005
30c,E01,H3M4R1,0.5091211450212253,18.916666666666668,17.660177621866787,0.0923578117442918,-0.033593750000000006
30c,F01,H4M5R1,0.5434760387753759,16.666666666666668,15.485073841167278,0.12399486453688761,-0.034
30c,G01,L1M2R2,0.5064756939293825,17.583333333333332,16.02272656954893,0.13223869074593142,-0.033593750000000006
30c,H01,L2M2R1,0.9608556203392045,15.333333333333334,14.616222733584475,0.2568817672929556,-0.034
30c,A02,H2M3R1,1.2343669091429963,11.333333333333334,10.780137825126818,0.25847679342887037,-0.033593750000000006
30c,B02,H2M3R2,1.0828913564735991,17.416666666666668,16.849855179201327,0.2933673872036152,-0.033593750000000006
30c,C02,H3M1R1,0.6170328651946929,19.5,18.365079465713,0.12796928059713683,-0.029593750000000002
30c,D02,H3M3R2,0.6759234235460322,18.666666666666668,17.69379111153695,0.13092065665846186,-0.032593750000000005
30c,E02,H3M4R1,0.36546038163841005,19.583333333333332,17.822546332137403,0.06981076085663637,-0.030593750000000003
30c,F02,H4M5R1,0.728606590564931,17.583333333333332,16.646403584983467,0.10259648907770533,-0.031593750000000004
30c,G02,L1M2R2,0.5465558824762948,17.083333333333332,15.881342617806638,0.12900105407907278,-0.033593750000000006
30c,H02,L2M2R1,1.0577653354507006,16.166666666666668,15.543631913128038,0.23535647092909406,-0.033593750000000006
30c,A03,L2M4R1,0.48110307361981636,15.916666666666666,14.51825945246492,0.14730044361491146,-0.030593750000000003
30c,B03,L3M5R1,0.5155681984783439,19.5,18.151351287128545,0.09382084923197806,-0.033593750000000006
30c,C03,L4M2R2,1.2752998813181187,10.166666666666666,9.579667484997282,0.14143985814855695,-0.033593750000000006
30c,D03,L4M3R3,0.2706402918156547,16.166666666666668,13.54765527353524,0.09198479045662063,-0.031593750000000004
30c,E03,L4M4R1,0.2790338129774876,18.416666666666668,16.186855369020797,0.08907712638240321,-0.030593750000000003
30c,F03,L4M7R1,0.442654874745841,14.833333333333334,13.455278402647535,0.13573986233273214,-0.030593750000000003
30c,G03,L3M1R1,0.7959675524411408,15.333333333333334,14.402203236784363,0.23182667848351704,-0.031593750000000004
30c,H03,src-2,1.0230713764001116,16.25,15.64778235435441,0.2187285808234025,-0.032593750000000005
30c,A04,L2M4R1,0.5331773617305664,18.5,17.264119628886224,0.1641186994821025,-0.030593750000000003
30c,B04,L3M5R1,0.5246318323268269,17.583333333333332,16.368571340889417,0.1349014120227858,-0.033593750000000006
30c,C04,L4M2R2,1.143700055742638,11.833333333333334,11.286142043058655,0.16651668138801262,-0.034
30c,D04,L4M3R3,0.2468142321253061,15.166666666666666,12.01237443722026,0.08740505236879222,-0.029593750000000002
30c,E04,L4M4R1,0.2990986092277718,17.75,15.28254138458175,0.08675688889796128,-0.033593750000000006
30c,F04,L4M7R1,0.40894653055764063,15.083333333333334,13.160759182102959,0.1313516885955789,-0.031593750000000004
30c,G04,L3M1R1,0.7024254014825714,14.083333333333334,13.036082149300654,0.22657480267600208,-0.030593750000000003
30c,H04,src-2,0.9620393000082545,16.166666666666668,15.39084465438589,0.23703281856976063,-0.033593750000000006
30c,A05,fp1-2,1.301100854976137,15,14.410775898482628,0.249029931949227,-0.034
30c,B05,fp1-3,0.9388353454362413,14.916666666666666,14.168262993046504,0.28132810361413546,-0.033593750000000006
30c,C05,fp2-2,0.5603638750266529,15.5,14.24922496419359,0.19889526775626282,-0.031593750000000004
30c,D05,crp1-2,0.48623535480470553,13.666666666666666,11.98502965061652,0.264184007043794,-0.031593750000000004
30c,E05,crp1-3,0.48121306709090356,11,9.729444324797687,0.26695003166184567,-0.031593750000000004
30c,F05,crp2-2,0.8452754728912708,15.166666666666666,14.32500125703812,0.2630636087569551,-0.031593750000000004
30c,G05,gp1-1,0.33674018769048897,16.333333333333332,14.586334334559497,0.08314675231557332,-0.030593750000000003
30c,H05,gp1-2,0.30413847339843614,24,21.126941387403622,0.08095256921276353,-0.033593750000000006
30c,A06,fp1-2,1.244920100139788,15.166666666666666,14.530414122055827,0.24643427011050995,-0.034
30c,B06,fp1-3,0.7192891063474023,13.666666666666666,12.710496269020728,0.2822803139275412,-0.034
30c,C06,fp2-2,0.5334888923229645,15,13.761069583528434,0.23190917144862022,-0.032593750000000005
30c,D06,crp1-2,0.5111260302725684,13.166666666666666,11.880517426109602,0.2659158294443348,-0.033593750000000006
30c,E06,crp1-3,0.4879767169744299,12.333333333333334,10.649351892551651,0.26004983634969037,-0.033593750000000006
30c,F06,crp2-2,0.692538989282319,14.833333333333334,13.95489716800569,0.24033023868989462,-0.032593750000000005
30c,G06,gp1-1,0.3928982544296806,18.916666666666668,17.361131089217224,0.0879694209586747,-0.031593750000000004
30c,H06,gp1-2,0.2911198745847142,22.083333333333332,19.518150725781194,0.081234414388252,-0.032593750000000005
30c,A07,gp1-3,0.493907351949801,18.5,17.172758023516572,0.08734588180414327,-0.030593750000000003
30c,B07,bg-2,0.7017147948799881,16.5,15.420300479904837,0.31116154768301924,-0.032593750000000005
30c,C07,bg-3,0.5162027962490079,16,14.750013693806839,0.28429062968598967,-0.030593750000000003
30c,D07,pms-1,0.6573133535099768,13.5,12.492173223044249,0.25208651911258784,-0.029593750000000002
30c,E07,pms-2,0.5755236717657694,15.833333333333334,14.708238651278108,0.2828306069672514,-0.030593750000000003
30c,F07,pms-3,0.81461883483317,13.833333333333334,12.927131130269908,0.32214909107741196,-0.031593750000000004
30c,G07,ppf-1,0.7914692723158997,13.833333333333334,12.906651859440226,0.2695710475223283,-0.031593750000000004
30c,H07,40th-1,1.0964594503742753,18.833333333333332,18.2314785257032,0.29178337123888615,-0.031593750000000004
30c,A08,gp1-3,0.3775888144800069,18.083333333333332,16.124364978936917,0.08187704860253883,-0.029593750000000002
30c,B08,bg-2,0.7299513543597451,16.75,15.69646688332765,0.29343450962601125,-0.032593750000000005
30c,C08,bg-3,0.5573636496444552,16.666666666666668,15.324068691321433,0.2564430615002722,-0.030593750000000003
30c,D08,pms-1,0.4206640338664437,14.416666666666666,12.685860832646751,0.21767375857037108,-0.031593750000000004
30c,E08,pms-2,0.6617015109981587,15.416666666666666,14.316047721013808,0.303283907928555,-0.029593750000000002
30c,F08,pms-3,0.6021064300932035,14.666666666666666,13.590348006760237,0.2722302123519832,-0.032593750000000005
30c,G08,ppf-1,0.9412445652974194,13.666666666666666,12.949497031026915,0.28216139510300003,-0.031593750000000004
30c,H08,40th-1,1.0643277158783715,18.916666666666668,18.271649950570755,0.30854090985791854,-0.034
