ii,gradient,trait_pre,st,term,statistic,df,p.value,siglab
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),157.77,1,0,p<0.001***
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,0.2,1,0.656,p=0.656 n.s.
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,41.26,3,0,p<0.001***
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,3.85,3,0.278,p=0.278 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),948.23,1,0,p<0.001***
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,1.79,1,0.181,p=0.181 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,82.48,2,0,p<0.001***
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,1.21,2,0.545,p=0.545 n.s.
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),148.73,1,0,p<0.001***
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,0.18,1,0.669,p=0.669 n.s.
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,31.81,3,0,p<0.001***
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,4.77,3,0.189,p=0.189 n.s.
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),339.33,1,0,p<0.001***
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,2.29,1,0.13,p=0.13 n.s.
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,33.8,3,0,p<0.001***
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,2.64,3,0.45,p=0.45 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),557.85,1,0,p<0.001***
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,3.55,1,0.06,p=0.06 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,27.64,2,0,p<0.001***
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,1.7,2,0.427,p=0.427 n.s.
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),648.82,1,0,p<0.001***
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,16.87,1,0,p<0.001***
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,15.52,3,0.001,p=0.001 **
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,2.36,3,0.501,p=0.501 n.s.
