gradient,trait_pre,st,term,statistic,trait_type,trait,trait_abr,trait_pre2,ii,chisq_perm2
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.015324470328598828,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,2.176560545608289,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,4.021859535588871,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.6880909330139838,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.518614032845222,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,1.168634784448974,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.11732793886164651,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.23157877527721163,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.48187731574976866,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
elevation,"shoot
biomass (mg)","mod <- lmer(value ~ population + (1|exp_id) + (1|exp_plantmaternal) + (1|exp_waterblock), data = d)",population,0.1644010854408062,shoot,shoot_biomass_mg,SB  ,"shoot
biomass
(mg)",1,
