gradient,population,site,year,yday,dayl_s,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,ydate,ymonth,latitude_dec,longitude_dec,elevation_m
elevation,high elevation,H1,2022,1,34111.41,19.79,178.49,0,20.76,7.74,1053.66,2022-01-01T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,2,34148.49,17.42,91.66,0,15.08,9.85,1215.28,2022-01-02T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,3,34188.61,9.74,75.79,0,2.49,-1.45,549.26,2022-01-03T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,4,34231.73,0,245.45,0,3.18,-8.68,317.2,2022-01-04T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,5,34277.84,0,266.52,0,6.79,-7.5,347.8,2022-01-05T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,6,34326.9,4.61,155.83,0,6.46,-2.59,505,2022-01-06T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,7,34378.86,0,132.73,0,-3.89,-9.01,309.23,2022-01-07T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,8,34433.71,0,279.68,0,2.26,-13.07,223.4,2022-01-08T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,9,34491.4,4.52,247.75,4.52,9.39,-10.58,273.05,2022-01-09T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,10,34551.9,0,180.65,3.93,1.8,-4.59,434.4,2022-01-10T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,11,34615.16,0,261.37,3.93,1.23,-9.04,308.37,2022-01-11T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,12,34681.15,0,330.39,3.93,10.06,-8.78,314.85,2022-01-12T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,13,34749.82,1.45,295.29,3.59,7.74,-5.21,414.67,2022-01-13T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,14,34821.12,0,243.16,2.08,6.81,-2.41,511.78,2022-01-14T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,15,34895.03,0,146.06,1.02,1.42,-3.47,472.62,2022-01-15T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,16,34971.48,33.21,149.25,34.23,-0.86,-7.48,348.42,2022-01-16T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,17,35050.44,0,218.22,34.23,-0.7,-8.05,333.21,2022-01-17T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,18,35131.85,0,209.62,33.72,2.21,-4.79,427.88,2022-01-18T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,19,35215.68,6.05,241.84,39.78,6.75,-6.61,372.46,2022-01-19T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,20,35301.86,0,254.03,39.46,3.53,-5.25,413.48,2022-01-20T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,21,35390.36,0,161.94,39.46,-4.05,-9.06,308,2022-01-21T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,22,35481.12,0,346.42,39.46,0.31,-14.41,200.17,2022-01-22T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,23,35574.1,0,362.18,39.46,4.84,-12.23,239.15,2022-01-23T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,24,35669.24,0,314.59,39.22,6.36,-5.43,407.6,2022-01-24T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,25,35766.49,0,320.47,38.33,8.32,-3.88,458.45,2022-01-25T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,26,35865.81,0,233.25,38.33,0.99,-6.36,379.59,2022-01-26T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,27,35967.14,0,360.31,38.33,3.8,-11.3,257.8,2022-01-27T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,28,36070.44,2.55,260.05,40.88,3.48,-9.76,291.37,2022-01-28T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,29,36175.65,0,146.77,40.88,-4.55,-8.75,315.61,2022-01-29T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,30,36282.72,0,364.88,40.88,1.69,-12.68,230.7,2022-01-30T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,31,36391.61,0,371.67,40.88,4.38,-10.67,271,2022-01-31T00:00:00Z,1,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,32,36502.26,0,320.77,40.88,4.45,-6.59,373.11,2022-02-01T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,33,36614.62,8.52,269.8,40.86,8.12,-5.95,391.92,2022-02-02T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,34,36728.65,21.14,283.56,39.62,13.36,-3.04,488.14,2022-02-03T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,35,36844.3,3.24,247.03,36.64,13.09,1.1,661.28,2022-02-04T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,36,36961.52,0,168.47,36.47,-0.77,-5.61,402.24,2022-02-05T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,37,37080.26,0,353.82,36.47,3.1,-9.59,295.35,2022-02-06T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,38,37200.47,0.99,339.47,37.46,2.37,-9.05,308.16,2022-02-07T00:00:00Z,2,37.4,-80.06,1091.18
