GCF_002197065.1,Sinorhizobium meliloti,usda1106, 
GCF_000006965.1,Sinorhizobium meliloti,em1021,
GCF_013315775.1,Sinorhizobium meliloti,em1022,
GCF_002197445.1,Sinorhizobium meliloti,usda1021,
GCF_000017145.1,Sinorhizobium medicae,wsm419,
GCF_021052565.1,Sinorhizobium medicae,wsm1115,
GCF_025200695.1,Sinorhizobium medicae,su277,
GCF_000697965.2,Sinorhizobium adhaerens,casidaa,
GCF_009883655.1,Sinorhizobium adhaerens,corn53,
GCF_020035495.1,Sinorhizobium adhaerens,w2a,
GCF_020035515.1,Sinorhizobium adhaerens,w2b,
GCF_013488225.1,Sinorhizobium mexicanum,ittgr7,
GCF_017488845.2,Sinorhizobium canadensis,t173,
GCF_000018545.1,Sinorhizobium fredii,ngr234,
GCF_000219415.3,Sinorhizobium fredii,gr64,
GCA_000283895.1,Sinorhizobium fredii,hh103,
GCF_000705595.2,Sinorhizobium americanum,ccgm7,
GCF_002288525.1,Sinorhizobium sojae,ccbau05684,
GCF_008932245.1,Sinorhizobium alkalisoli,yic4027,
