Number,Nitrogen,Rhizobia,Rstate,Fixstate,Mortality_End,Gall_Counter,Egg_sacs,Galls,Additional_nodules,Nod_Counter,S_white,L_white,S_yellow,L_yellow,S_pink,L_pink,S_brown,L_brown,Total_nod,Total_Small,Total_Large,Shoot_biomass,Seed_pods,Shoot_minus_seed_pods,Seed_pod_biomass,Root_biomass,Block,Nod_weigher,Nod_mass,masspnod,Sample,Run_date,Sample_weight_mg,N_Retention,N_Response,N_weight_mg,N_percent,C_Retention,C_Response,C_weight_mg,C_percent
2,0,R-,R-,R-,1,Nuri,0,0,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0138,0,NA,NA,0.0039,A,NA,0.0000,0.0000000,2,2/11,4.37,1.94,163.09,0.05,1.14,3.22,9650.05,1.25,28.69
5,0.625,R-,R-,R-,1,Nuri,10,9,0,Chig,3,1,2,6,0,6,0,0,18,5,13,0.0677,0,NA,NA,0.0133,A,Bethany,0.0021,0.0001167,5,2/8,4.89,1.94,324.14,0.10,2.00,3.16,13268.69,1.70,34.82
13,0,Rm41,R+,Fix-,1,Nuri,0,0,0,Nuri,5,3,2,1,0,0,0,0,11,7,4,0.0121,0,NA,NA,0.0051,A,Nova,0.0007,0.0000636,13,2/8,4.73,1.94,148.81,0.04,0.91,3.22,9399.49,1.20,25.44
14,0,Rm41,R+,Fix-,1,Nova,0,0,0,Nova,6,3,0,0,0,0,0,0,9,6,3,0.0155,0,NA,NA,0.0037,A,Nova,0.0004,0.0000444,14,2/9,0.36,1.87,30.66,0.01,1.39,3.35,922.85,0.10,27.95
17,0.625,Rm41,R+,Fix-,1,Nuri,8,8,2 large,Chig,10,4,5,33,0,0,0,0,52,15,37,0.0384,0,NA,NA,0.0135,A,Nova,0.0026,0.0000500,17,2/8,4.79,1.93,200.16,0.06,1.23,3.15,13204.23,1.70,35.37
21,2.5,Rm41,R+,Fix-,1,Nuri,22,22,"4 small, 1 large",Nuri,26,36,19,9,0,0,0,0,90,45,45,0.1927,0,NA,NA,0.0392,A,Bethany,0.0038,0.0000422,21,2/9,4.77,1.92,310.53,0.10,2.02,3.11,14596.00,1.82,38.16
22,2.5,Rm41,R+,Fix-,1,Nuri,23,23,"1 small, 6 large",Nuri,14,12,14,19,0,0,0,0,59,28,31,0.1744,0,NA,NA,0.0425,A,Bethany,0.0030,0.0000508,22,2/9,4.89,1.93,299.25,0.09,1.90,3.12,15068.34,1.88,38.41
23,2.5,Rm41,R+,Fix-,1,Nova,14,14,0,Nuri,4,0,0,1,0,0,0,0,5,4,1,0.1395,0,NA,NA,0.0233,A,Bethany,0.0040,0.0008000,23,2/23,4.44,1.85,435.00,0.14,3.05,3.07,13368.51,1.68,37.80
29,0.625,A145,R+,Fix-,1,Nuri,2,6,1 small,Nuri,4,0,1,13,0,1,0,0,19,5,14,0.0424,0,NA,NA,0.0068,A,Nova,0.0014,0.0000737,29,2/8,4.75,1.93,211.96,0.06,1.32,3.16,12567.07,1.61,33.97
37,0.625,Em1021,R+,Fix+,1,Nuri,0,0,0,Nuri,0,0,0,6,0,7,0,0,13,0,13,0.061,0,NA,NA,0.0087,A,Bethany,0.0026,0.0002000,37,2/9,4.60,1.93,420.87,0.13,2.88,3.14,13692.54,1.71,37.06
41,0,Em1021,R+,Fix+,1,Nuri,0,0,1 large,Nuri,9,8,4,9,0,11,0,0,41,13,28,0.0358,0,NA,NA,0.0085,A,Yasmeen,0.0013,0.0000317,41,2/9,4.43,1.93,278.67,0.09,1.94,3.15,12766.95,1.59,35.85
45,2.5,Em1021,R+,Fix+,1,Nuri,9,8,"5 small, 2 large",Nuri,20,7,11,12,0,2,0,0,52,31,21,0.2347,1,0.1804,0.056,0.0335,A,Bethany,0.0019,0.0000365,45,2/8,4.82,1.93,282.91,0.09,1.76,3.12,14924.88,1.92,39.76
46,2.5,Em1021,R+,Fix+,1,Nuri,9,10,"1 medium(large), 2 small",Nuri,2,4,1,8,7,24,0,0,46,10,36,0.2131,0,NA,NA,0.0453,A,Nova,0.0031,0.0000674,46,2/9,4.42,1.92,306.06,0.10,2.15,3.14,13185.25,1.64,37.19
49,0,Em1022,R+,Fix+,1,Nuri,0,0,0,Nuri,0,0,1,0,0,3,0,0,4,1,3,0.014,0,NA,NA,0.0022,A,Yasmeen,0.0003,0.0000750,49,2/9,3.72,1.92,219.88,0.07,1.80,3.20,9289.25,1.15,30.95
53,0.625,Em1022,R+,Fix+,1,Nova,10,9,0,Chig,6,2,10,46,0,0,0,0,64,16,48,0.0592,0,NA,NA,0.0194,A,Nova,0.0044,0.0000688,53,2/9,4.95,1.93,186.06,0.06,1.13,3.13,13992.73,1.74,35.23
59,2.5,Em1022,R+,Fix+,1,Nuri,0,0,0,Nuri,0,0,0,0,0,4,0,0,4,0,4,0.0685,0,NA,NA,0.0073,A,Yasmeen,0.0002,0.0000500,59,2/11,4.80,1.95,544.12,0.18,3.72,3.15,14614.28,1.90,39.53
61,0,R-,R-,R-,1,Nuri,3,3,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.0162,0,NA,NA,0.0073,B,NA,0.0000,0.0000000,61,2/8,4.287,1.93,145.33,0.04,0.98,3.18,11023.57,1.41,32.96
62,0,R-,R-,R-,1,Nuri,2,3,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,NA,NA,0.0040,B,NA,0.0000,0.0000000,62,2/8,0.00,2.08,17.20,0.00,70.58,3.42,130.66,0.01,190.11
66,0.625,R-,R-,R-,1,Nova,0,0,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.0319,0,NA,NA,0.0110,B,NA,0.0000,0.0000000,66,2/9,4.41,1.92,230.22,0.07,1.59,3.14,12586.26,1.57,35.54
69,2.5,R-,R-,R-,1,Nuri,13,14,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.1513,0,NA,NA,0.0255,B,NA,0.0000,0.0000000,69,2/9,4.98,1.94,356.00,0.11,2.24,3.11,15332.36,1.91,38.39
73,0,Rm41,R+,Fix-,1,Nuri,0,0,0,Chig,1,4,0,4,0,0,0,0,9,1,8,0.0105,0,NA,NA,0.0048,B,Nova,0.0003,0.0000333,73,2/11,4.91,1.95,235.71,0.07,1.51,3.18,12581.86,1.63,33.25
74,0,Rm41,R+,Fix-,1,Nova,4,3,1,Nuri,3,6,3,6,0,0,0,0,18,6,12,0.0124,0,NA,NA,0.0052,B,Nova,0.0007,0.0000389,74,2/8,4.10,1.93,139.86,0.04,0.98,3.21,10538.98,1.35,32.96
77,0.625,Rm41,R+,Fix-,1,Nuri,10,15,"5 small, 3 large",Nova,47,57,1,0,0,0,0,0,105,48,57,0.0448,0,NA,NA,0.0184,B,Bethany,0.0028,0.0000267,77,2/8,4.45,1.93,179.35,0.05,1.18,3.16,12847.90,1.65,37.04
78,0.625,Rm41,R+,Fix-,1,Nova,9,10,0,Yoon,1,0,2,39,0,0,0,0,42,3,39,0.0589,0,NA,NA,0.0139,B,Bethany,0.0029,0.0000690,78,2/8,4.49,1.94,223.02,0.07,1.48,3.15,13210.45,1.70,37.80
82,2.5,Rm41,R+,Fix-,1,Nova,0,0,2,Yoon,4,14,1,0,0,0,0,0,19,5,14,0.0739,0,NA,NA,0.0131,B,Bethany,0.0003,0.0000158,82,2/9,4.59,1.93,370.36,0.12,2.53,3.13,13771.80,1.72,37.41
85,0,A145,R+,Fix-,1,Nova,0,0,0,Nuri,4,3,0,0,0,0,0,0,7,4,3,0.0195,0,NA,NA,0.0015,B,Nova,0.0001,0.0000143,85,2/9,4.62,1.93,162.07,0.05,1.04,3.21,9113.30,1.13,24.47
89,0.625,A145,R+,Fix-,1,Nova ,6,8,0,Yoon,10,20,0,0,0,0,0,0,30,10,20,0.0308,0,NA,NA,0.0089,B,Bethany,0.0013,0.0000433,89,2/11,4.72,1.94,221.51,0.07,1.47,3.17,12365.93,1.61,34.04
97,0,Em1021,R+,Fix+,1,Nova,1,2,0,Nova,4,5,8,4,0,0,0,0,21,12,9,0.0191,0,NA,NA,0.0046,B,Nova,0.0016,0.0000762,97,2/11,4.97,1.94,180.75,0.06,1.12,3.19,11754.06,1.53,30.70
101,0.625,Em1021,R+,Fix+,1,Nova,5,6,0,Chig,15,14,6,35,0,0,0,0,70,21,49,0.0733,0,NA,NA,0.0218,B,Yasmeen,0.0044,0.0000629,101,2/8,4.98,1.95,207.71,0.06,1.23,3.13,15174.61,1.95,39.11
105,2.5,Em1021,R+,Fix+,1,Nova,6,5,0,Chig,18,2,5,21,0,0,0,0,46,23,23,0.1758,0,NA,NA,0.0418,B,Nova,0.0017,0.0000370,105,2/11,4.62,1.95,362.17,0.12,2.53,3.15,14496.10,1.88,40.76
