plant,block,rhizobia_strain,location,leaf_number,height_cm,shoot_weight,nodules,root_weight
1,1,40th_2b_c1,Urban,9,3.6,0.0192,11,0.0033
2,1,40th_2b_c1,Urban,9,3.3,0.024,8,0.0034
3,1,40th_2b_c1,Urban,9,2.2,0.0118,11,0.0028
4,1,40th_2b_c1,Urban,,,,,
5,2,fp1-2_c2,Suburban,,,,,
6,2,fp1-2_c2,Suburban,9,1.2,0.0038,3,0.0019
7,2,fp1-2_c2,Suburban,6,1.9,0.0035,3,0.0014
8,2,fp1-2_c2,Suburban,10,2.8,0.0333,24,0.0045
9,3,control_1,Control,3,0.8,0.0115,2,0.001
10,3,control_1,Control,10,1.3,0.0055,6,0.0016
11,3,control_1,Control,7,1.2,0.0075,3,0.0019
12,3,control_1,Control,8,0.8,0.0045,3,0.0014
13,4,ppf_2_c1,Urban,14,2.4,0.0085,0,0.0025
14,4,ppf_2_c1,Urban,8,1.6,0.0068,4,0.0018
15,4,ppf_2_c1,Urban,9,2.8,0.0159,18,0.0034
16,4,ppf_2_c1,Urban,10,4.7,0.0352,9,0.0063
17,4,ppf_2_c1,Urban,3,0.3,0.003,6,0.0006
18,5,crp_1-2_c1,Suburban,10,2.5,0.016,7,0.0025
19,5,crp_1-2_c1,Suburban,9,2.9,0.0178,11,0.0029
20,5,crp_1-2_c1,Suburban,11,3.8,0.0314,22,0.006
21,5,crp_1-2_c1,Suburban,7,2.3,0.0073,8,0.0024
22,6,control_3,Control,7,1,0.0012,0,0.0011
23,6,control_3,Control,7,3,0.0015,0,0.0013
24,6,control_3,Control,7,2.9,0.0026,0,0.001
25,6,control_3,Control,6,0.6,0.0025,0,0.0009
26,7,gp_1-1_c2,Suburban,,,,,
27,7,gp_1-1_c2,Suburban,10,4.5,0.0318,14,0.0062
28,7,gp_1-1_c2,Suburban,10,3.3,0.0404,12,0.0061
29,7,gp_1-1_c2,Suburban,10,3.3,0.0241,14,0.0052
30,7,gp_1-1_c2,Suburban,9,4.2,0.0267,14,0.005
31,8,pms_2_c1,Urban,7,1.9,0.0126,9,0.0029
32,8,pms_2_c1,Urban,9,1.5,0.0058,5,0.0014
33,8,pms_2_c1,Urban,9,2.2,0.0122,7,0.0033
34,8,pms_2_c1,Urban,10,4.3,0.0298,23,0.0051
35,9,gp_1-1_c2,Suburban,10,4,0.0314,28,0.0069
36,9,gp_1-1_c2,Suburban,7,1.2,0.0035,3,0.0015
37,9,gp_1-1_c2,Suburban,10,4.2,0.0344,8,0.0062
38,9,gp_1-1_c2,Suburban,9,2.6,0.0043,1,0.0026
39,10,40th_2b_c1,Urban,6,1,0.0058,5,0.0025
40,10,40th_2b_c1,Urban,10,4.1,0.0294,12,0.0048
41,10,40th_2b_c1,Urban,10,3.8,0.0464,25,0.0102
42,10,40th_2b_c1,Urban,9,3.7,0.0289,5,0.005
43,10,40th_2b_c1,Urban,9,3.3,0.0225,18,0.004
44,11,src_2b_c2,Suburban,10,5.4,0.0494,33,0.0114
45,11,src_2b_c2,Suburban,9,3.8,0.0295,13,0.0064
46,11,src_2b_c2,Suburban,10,4.3,0.0331,34,0.0066
47,11,src_2b_c2,Suburban,10,3.6,0.0187,11,0.005
48,12,control_2,Control,7,2.4,0.0141,13,0.0038
49,12,control_2,Control,8,3.1,0.0171,13,0.0028
50,12,control_2,Control,10,3.7,0.0455,17,0.0083
51,12,control_2,Control,6,2.1,0.0089,7,0.0033
52,13,crp_1-2_c1,Suburban,,,,,
53,13,crp_1-2_c1,Suburban,10,5.1,0.0521,27,0.0063
54,13,crp_1-2_c1,Suburban,8,3.7,0.0276,10,0.0039
55,13,crp_1-2_c1,Suburban,8,4,0.0255,14,0.0031
56,13,crp_1-2_c1,Suburban,9,3.4,0.0285,9,0.0036
57,14,ppf_2_c1,Urban,7,2,0.0081,7,0.002
58,14,ppf_2_c1,Urban,10,4,0.045,4,0.0055
59,14,ppf_2_c1,Urban,9,0.1,0.0191,5,0.0019
60,14,ppf_2_c1,Urban,10,3.7,0.026,9,0.0059
61,15,src_2b_c2,Suburban,10,2,0.015,7,0.0026
62,15,src_2b_c2,Suburban,9,2.5,0.0205,16,0.0032
63,15,src_2b_c2,Suburban,10,3.8,0.0428,12,0.0068
64,15,src_2b_c2,Suburban,10,2.5,0.0252,12,0.0041
65,16,bg_2b_c1,Urban,6,1.2,0.0072,5,0.0014
66,16,bg_2b_c1,Urban,10,2.2,0.0132,6,0.0021
67,16,bg_2b_c1,Urban,7,1.3,0.0082,5,0.0015
68,16,bg_2b_c1,Urban,9,2.8,0.0108,7,0.0012
69,17,pms_2_c1,Urban,10,3,0.0278,8,0.0034
70,17,pms_2_c1,Urban,13,3.1,0.0392,13,0.0031
71,17,pms_2_c1,Urban,10,4.9,0.048,19,0.0058
72,17,pms_2_c1,Urban,,,,,
73,18,control_4,Control,9,2.3,0.0083,8,0.0024
74,18,control_4,Control,7,2.9,0.0124,8,0.0023
75,18,control_4,Control,10,3.1,0.0089,7,0.0027
76,18,control_4,Control,6,0.9,,,
77,19,fp1-2_c2,Suburban,10,3.3,0.0259,8,0.0045
78,19,fp1-2_c2,Suburban,9,2.9,0.0248,12,0.0044
79,19,fp1-2_c2,Suburban,10,3,0.0262,23,0.0039
80,19,fp1-2_c2,Suburban,9,3.4,0.0257,13,0.0049
81,20,bg_2b_c1,Urban,9,3.7,0.0286,13,0.0034
82,20,bg_2b_c1,Urban,10,2.8,0.015,12,0.0028
83,20,bg_2b_c1,Urban,7,2.2,0.0095,6,0.0016
84,20,bg_2b_c1,Urban,10,4.4,0.0367,12,0.0043
