ID,RhizobiaSite,Rhizobia,PlantSite,Plant,TreatmentID,Waterblock,Label,DryWeight (mg),NoduleNumber,RootWeight (mg),NoduleWeight (mg)
1,H,H2M3R1,S,S5M4,1,1,ID001-H2M3R1-WB1-S5M4,1.2,0,0.2,
2,H,H2M3R1,S,S5M5,1,1,ID002-H2M3R1-WB1-S5M5,6.6,0,2.6,
3,H,H2M3R1,S,S5M3,1,1,ID003-H2M3R1-WB1-S5M3,3.4,0,1.9,
4,H,H2M3R1,S,S5M4,1,1,ID004-H2M3R1-WB1-S5M4,7.5,0,1.9,
5,H,H2M3R1,S,S5M1,1,1,ID005-H2M3R1-WB1-S5M1,5.2,0,2.7,
6,H,H2M3R1,S,S5M1,1,1,ID006-H2M3R1-WB1-S5M1,5,0,1.7,
7,H,H2M3R1,S,S5M6,1,2,ID007-H2M3R1-WB2-S5M6,5.3,0,2,
8,H,H2M3R1,S,S5M6,1,2,ID008-H2M3R1-WB2-S5M6,6.2,0,3,
9,H,H2M3R1,S,S5M3,1,2,ID009-H2M3R1-WB2-S5M3,7.4,0,3,
10,H,H2M3R1,S,S5M4,1,2,ID010-H2M3R1-WB2-S5M4,4.7,1,2.6,
11,H,H2M3R1,S,S5M4,1,2,ID011-H2M3R1-WB2-S5M4,9.7,18,3.7,
12,H,H2M3R1,S,S5M5,1,2,ID012-H2M3R1-WB2-S5M5,2.2,0,0.3,
13,H,H2M3R1,S,S5M7,1,3,ID013-H2M3R1-WB3-S5M7,5.5,0,2.5,
14,H,H2M3R1,S,S5M6,1,3,ID014-H2M3R1-WB3-S5M6,4.4,0,1.7,
15,H,H2M3R1,S,S5M3,1,3,ID015-H2M3R1-WB3-S5M3,13.8,0,3.9,
16,H,H2M3R1,S,S5M3,1,3,ID016-H2M3R1-WB3-S5M3,6.7,0,3.5,
17,H,H2M3R1,S,S5M4,1,3,ID017-H2M3R1-WB3-S5M4,4.4,0,3.5,
18,H,H3M1R1,H,H4M1,2,4,ID018-H3M1R1-WB4-H4M1,12.5,8,2,
19,H,H3M1R1,H,H2M3,2,4,ID019-H3M1R1-WB4-H2M3,6.3,11,1.4,
20,H,H3M1R1,H,H2M1,2,4,ID020-H3M1R1-WB4-H2M1,3.8,7,0.9,
21,H,H3M1R1,H,H4M1,2,4,ID021-H3M1R1-WB4-H4M1,5.6,6,1.1,
22,H,H3M1R1,H,H2M1,2,4,ID022-H3M1R1-WB4-H2M1,1.8,3,0.5,
23,H,H3M1R1,H,H4M3,2,4,ID023-H3M1R1-WB4-H4M3,11.1,13,4.2,
24,H,H3M1R1,H,H4M1,2,5,ID024-H3M1R1-WB5-H4M1,4.4,0,0.7,
25,H,H3M1R1,H,H2M2,2,5,ID025-H3M1R1-WB5-H2M2,9.5,7,2.3,
26,H,H3M1R1,H,H2M1,2,5,ID026-H3M1R1-WB5-H2M1,7.9,17,2,
27,H,H3M1R1,H,H4M3,2,5,ID027-H3M1R1-WB5-H4M3,NA,,NA,
28,H,H3M1R1,H,H2M1,2,5,ID028-H3M1R1-WB5-H2M1,8.4,14,2.2,
29,H,H3M1R1,H,H2M1,2,5,ID029-H3M1R1-WB5-H2M1,3.5,5,0.7,
30,H,H3M1R1,L,L3M2,3,7,ID030-H3M1R1-WB7-L3M2,15.8,14,3.1,
31,H,H3M1R1,L,L1M3,3,7,ID031-H3M1R1-WB7-L1M3,16.4,15,4,
32,H,H3M1R1,L,L1M1,3,7,ID032-H3M1R1-WB7-L1M1,8.1,4,1.5,
33,H,H3M1R1,L,L3M2,3,7,ID033-H3M1R1-WB7-L3M2,17.1,28,3.9,
