,,,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,avg BC,,,avg RT,,,BC/RT,,
,,,AMDIS TIC,223211,195956,196822,171038,,205627,235113,231261,247583,,,,,,,,,,,,,,,,,,x fold,p value,
174.1,9.0977,? NF07,Ethylbis,5594523,6688486,5697443,5475736,,6278180,6540484,6446800,5455311,,589.7637277,630.6459776,591.2480608,325.5957574,,244.5468178,192.502323,197.4832385,144.9125263,,534.3133809,140.4271036,,194.8612264,40.72660885,,2.742020004,0.003528536,"174.1(9.0977,? NF07_Ethylbis(trimethylsilyl)amine)"
171.1,9.1397,? NF07,Silanamine,2642366,1666756,1973015,2761921,,1600668,1698168,2153011,2644607,,278.5530817,157.1555905,204.7482165,164.2281074,,62.34900334,49.98120702,65.95265634,70.25019867,,201.171249,55.68637364,,62.13326634,8.721456655,,3.237738186,0.002621064,"171.1(9.1397,? NF07_Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-)"
221.1,9.5677,NF07,Boric Acid,8157718,6785094,9073136,4261199,,2486945,2673522,2447128,2088852,,859.9707567,639.7549818,941.5581806,253.3775032,,96.87114511,78.68824318,74.96227005,55.48736277,,673.6653556,307.8246581,,76.50225528,16.96729676,,8.805823477,0.008227557,"221.1(9.5677,NF07_Boric Acid, O,O,O-TMS)"
191.1,9.6979,? NF07,1,435752,356855,481614,224489,,130212,138018,130590,111912,,45.93612787,33.64725146,49.97914741,13.3484642,,5.072000204,4.062204817,4.000331346,2.972782055,,35.72774774,16.45675356,,4.026829606,0.857389717,,8.872426011,0.008485428,"191.1(9.6979,? NF07_1,2-Bis(trimethylsiloxy)ethane)"
160.1,9.7915,Golm,Glyoxylic acid ,228931,310972,548279,674671,,226524,266592,421310,536618,,24.13346052,29.32102137,56.89725997,40.11698432,,8.823532195,7.846449787,12.90588559,14.25448889,,37.61718154,14.47535197,,10.95758912,3.103696407,,3.43297975,0.011344842,"160.1(9.7915,Golm_Glyoxylic acid (1MEOX) (1TMS))"
205.1,10.0357,? NF07,3.6-Dioxa-2,4588,4428,5419,4450,,3178,3194,3939,4431,,0.483658032,0.417508594,0.562352838,0.264603904,,0.123789026,0.094007174,0.120662418,0.117703171,,0.432030842,0.126348545,,0.114040447,0.013584708,,3.788400098,0.0024409,"205.1(10.0357,? NF07_3.6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl-)"
152.1,11.2015,Golm,Pyridine,185310,198787,287776,177287,,162511,196526,194629,230371,,19.53501959,18.74328838,29.86374799,10.54176006,,6.330106481,5.784237302,5.962022279,6.119475792,,19.670954,7.918633574,,6.048960464,0.232129343,,3.251956121,0.013817634,"152.1(11.2015,Golm_Pyridine, 2-hydroxy- (1TMS))"
174.1,11.3521,Golm,Pyruvic acid ,260587,235269,325673,434702,,525882,547179,568541,448642,,27.47057444,22.18311416,33.79648198,25.8480553,,20.4840845,16.1048064,17.4159766,11.91753241,,27.32455647,4.848423311,,16.48059998,3.552727788,,1.657983114,0.011255361,"174.1(11.3521,Golm_Pyruvic acid (1MEOX) (1TMS))"
191.1,11.6139,NF07,Lactic Acid,1265616,482188,220414,195904,,504984,162160,93466,119337,,133.4187758,45.46468703,22.87330476,11.64875576,,19.67006843,4.772762489,2.863120986,3.17001655,,53.35138084,55.19966709,,7.618992115,8.077564759,,7.002419748,0.152216507,"191.1(11.6139,NF07_Lactic Acid, O,O-TMS)"
