replicon_type,genome_id1,genome_id2,gcv_dxy
pSymB,g21,g22,368
pSymB,g21,g23,353
pSymB,g21,g24,311
pSymB,g21,g25,174
pSymB,g21,g26,188
pSymB,g21,g27,214
pSymB,g21,g31,169
pSymB,g21,g32,168
pSymB,g21,g33,224
pSymB,g21,g34,176
pSymB,g21,g35,220
pSymB,g21,g36,207
pSymB,g21,g37,176
pSymB,g21,g39,55
pSymB,g21,g41,170
pSymB,g21,g43,191
pSymB,g21,g44,45
pSymB,g21,g45,170
pSymB,g22,g23,71
pSymB,g22,g24,285
pSymB,g22,g25,300
pSymB,g22,g26,292
pSymB,g22,g27,350
pSymB,g22,g31,309
pSymB,g22,g32,322
pSymB,g22,g33,354
pSymB,g22,g34,324
pSymB,g22,g35,342
pSymB,g22,g36,327
pSymB,g22,g37,316
pSymB,g22,g39,353
pSymB,g22,g41,328
pSymB,g22,g43,317
pSymB,g22,g44,347
pSymB,g22,g45,316
pSymB,g23,g24,280
pSymB,g23,g25,295
pSymB,g23,g26,293
pSymB,g23,g27,331
pSymB,g23,g31,298
pSymB,g23,g32,315
pSymB,g23,g33,351
pSymB,g23,g34,301
pSymB,g23,g35,319
pSymB,g23,g36,308
pSymB,g23,g37,307
pSymB,g23,g39,344
pSymB,g23,g41,319
pSymB,g23,g43,310
pSymB,g23,g44,342
pSymB,g23,g45,299
pSymB,g24,g25,289
pSymB,g24,g26,279
pSymB,g24,g27,325
pSymB,g24,g31,252
pSymB,g24,g32,265
pSymB,g24,g33,315
pSymB,g24,g34,261
pSymB,g24,g35,313
pSymB,g24,g36,298
pSymB,g24,g37,289
pSymB,g24,g39,298
pSymB,g24,g41,269
pSymB,g24,g43,294
pSymB,g24,g44,296
pSymB,g24,g45,245
pSymB,g25,g26,76
pSymB,g25,g27,138
pSymB,g25,g31,161
pSymB,g25,g32,162
pSymB,g25,g33,224
pSymB,g25,g34,170
pSymB,g25,g35,128
pSymB,g25,g36,93
pSymB,g25,g37,88
pSymB,g25,g39,169
pSymB,g25,g41,170
pSymB,g25,g43,95
pSymB,g25,g44,171
pSymB,g25,g45,162
pSymB,g26,g27,144
pSymB,g26,g31,175
pSymB,g26,g32,162
pSymB,g26,g33,240
pSymB,g26,g34,170
pSymB,g26,g35,130
pSymB,g26,g36,111
pSymB,g26,g37,90
pSymB,g26,g39,189
pSymB,g26,g41,176
pSymB,g26,g43,93
pSymB,g26,g44,187
pSymB,g26,g45,178
pSymB,g27,g31,175
pSymB,g27,g32,188
pSymB,g27,g33,248
pSymB,g27,g34,176
pSymB,g27,g35,66
pSymB,g27,g36,141
pSymB,g27,g37,146
pSymB,g27,g39,201
pSymB,g27,g41,194
pSymB,g27,g43,139
pSymB,g27,g44,211
pSymB,g27,g45,172
pSymB,g31,g32,63
pSymB,g31,g33,155
pSymB,g31,g34,57
pSymB,g31,g35,181
pSymB,g31,g36,158
pSymB,g31,g37,163
pSymB,g31,g39,156
pSymB,g31,g41,75
pSymB,g31,g43,174
pSymB,g31,g44,166
pSymB,g31,g45,45
pSymB,g32,g33,180
pSymB,g32,g34,62
pSymB,g32,g35,182
pSymB,g32,g36,189
pSymB,g32,g37,168
pSymB,g32,g39,163
pSymB,g32,g41,52
pSymB,g32,g43,171
pSymB,g32,g44,161
pSymB,g32,g45,66
pSymB,g33,g34,158
