gene,pi1,pi2,dxy
COQ3_2,0.5,0.8666666666666667,0.75
COQ5_1,1,0.8666666666666667,1
COQ5_4,0,0.5333333333333333,0.3333333333333333
COQ5_5~~~COQ5_2,0,11.333333333333332,5.666666666666665
IMPDH_1,4.5,3,3
IMPDH_2~~~hrp1,5.5,3.666666666666667,3.666666666666667
IMPDH_3,0,0.6,0.5
PSK,0,1.8,1.5
QRSL1~~~cnbH_1,0,0.9333333333333333,0.6666666666666667
Vejaci,5,8.8,10.25
aacA4,0,1.7333333333333334,1.3333333333333335
aaeA_2,1,11.866666666666667,7.833333333333334
aat,0.5,0,0.25
aatB_2,0,0.6,0.5
abaF,6,6.666666666666666,7.333333333333334
abgB_3,0,1.2,1
abgT,0.5,0.8666666666666667,0.5833333333333333
abo_2,27,30,26.5
abo_4~~~abo_5,0,1.2,1
accA,0,1.5333333333333334,1.1666666666666665
accA1_1,17.5,10.666666666666668,11.416666666666668
accC,0.5,0.6,0.5
accD,0.6666666666666666,0,0.5
acdA_1,6.5,1.2,3.75
acnA,0,0.6,0.5
acoA_2,0,1.5333333333333332,1.1666666666666665
acoB,0,1.8,1.5
acpP_1,0.5,0.8666666666666666,1.3333333333333335
acpS,0,0.5333333333333333,0.33333333333333337
acr3,2,2.8,2
acrB,0,2.4,1.6666666666666665
acsA_1,0,2.4,2
acsA_2,0,2.4,2
acsA_2~~~acsA_3,0,0.9333333333333333,0.6666666666666667
acsA_4,0,1.2,1
acsE,0,0.6,0.5
actIII,6.5,0,3.25
actP,17,24.2,30.333333333333336
acxA,4,0,2
acxC,4.5,0,2.25
acyP,2.5,0,1.25
ade2,22.5,15,15
adeC,0,0.33333333333333337,0.1666666666666667
adeP_1,7,5,4.833333333333334
adeP_2,2,1.3333333333333333,2.6666666666666665
adh1_1,1,2.333333333333333,1.5833333333333335
adhC2,0,0.6,0.5
adhT~~~tdh_3,0,1.1333333333333333,0.8333333333333333
adh_1,0,0.6,0.5
adh_2,0,0.6,0.5
adk,0,1.2,1
aes_1,0,0.5333333333333333,0.3333333333333333
aes_2,0.5,0.6,0.75
afr_1~~~iolG_16,12,15.8,15
