genome_id,gene,value
g21,group_6452,1
g21,glnQ_3~~~artM_1~~~tcyB_2~~~yecS_6~~~btuD_15~~~yecS_5,1
g21,rhaR_7~~~rhaS_8~~~ycaC_3,1
g21,phnN~~~phnM,1
g21,oatA_2~~~arnC_1~~~epsH,1
g21,menE_1~~~fadA_1,1
g21,vapC_2~~~vapB_1,1
g21,mtgA_1~~~mtgA_4~~~yfhM,1
g21,mamZ~~~msrP_3~~~msrP_2,1
g21,nadD~~~proA,1
g21,yehX~~~btuD_20~~~yehY,1
g21,wbiB~~~fcl_2~~~rfbE,1
g21,btuD_11~~~btuD_1~~~btuD_4,1
g21,group_6445,1
g21,ros_4~~~ros_2~~~ros_3,1
g21,ros_4~~~ros_5,1
g21,group_6348,1
g21,group_6343,1
g21,group_6337,1
g21,group_6307,1
g21,cheB_3~~~cheB_5~~~cheB_1,1
g21,group_6306,1
g21,comR_2~~~comR_4,1
g21,group_6295,1
g21,lutR_8,1
g21,group_6292,1
g21,group_6286,1
g21,group_6284,1
g21,cheB_4~~~cheB_2,1
g21,group_6271,1
g21,cckA_2,1
g21,group_6260,1
g21,kpsM_2~~~kpsM_1,1
g21,arg,1
g21,group_6247,1
g21,group_6239,1
g21,bepA_7,1
g21,group_6234,1
g21,group_6231,1
g21,group_6227,1
g21,vdh,1
g21,group_6216,1
g21,group_6212,1
g21,group_6209,1
g21,fixK_2~~~fixK_1~~~fixK_4~~~fixK_3,1
g21,group_6201,1
g21,group_6200,1
g21,dapA_7~~~dapA_2~~~dapA_1,1
g21,pucM_1,1
g21,btuD_16~~~bioM_2~~~ybiT~~~expZ~~~yheS_3~~~yheS_2,1
g21,group_6171,1
g21,group_6169,1
g21,group_6166,1
g21,group_6165,1
g21,group_6156,1
g21,group_6153,1
g21,group_6151,1
g21,group_6148,1
g21,fixN_1~~~fixN_3,1
g21,group_6145,1
g21,group_6144,1
g21,group_6132,1
g21,group_6131,1
g21,group_6127,1
g21,sasA_1~~~sasA_4,1
g21,group_6122,1
g21,copA_1~~~copA_2~~~kdpB_2~~~kdpB_1,1
g21,fnr~~~anr,1
g21,group_6113,1
g21,group_6110,1
g21,ohrB_2~~~ohrB_3,1
g21,group_6108,1
g21,group_6095,1
g21,group_6088,1
g21,fixP_1~~~petJ~~~ccoP_2,1
g21,glnQ_4~~~btuD_1~~~glnQ_6~~~glnQ_5,1
g21,group_6084,1
g21,group_6083,1
g21,group_6082,1
g21,yjgH,1
g21,group_6074,1
g21,selD,1
g21,group_6072,1
g21,group_6069,1
g21,fixK_3~~~fixK_4,1
g21,group_6064,1
g21,group_6062,1
g21,cbpA_2,1
g21,group_6060,1
g21,group_6059,1
g21,group_6057,1
g21,btuD_18~~~btuD_3~~~gsiA_6~~~gsiA_13,1
g21,nikA_2~~~nikA_1,1
g21,kipR,1
g21,group_6055,1
g21,rspR_2~~~rspR_4,1
g21,glnH_1~~~glnH_3,1
g21,ugpC_9~~~ugpC_2,1
g21,selA,1
g21,kdpB_3~~~kdpB_2~~~kdpB_1,1
g21,msbA_3~~~msbA_1,1
g21,group_6039,1
g21,group_6037,1
g21,group_6033,1
g21,group_6031,1
g21,des,1
g21,groL5_1~~~groL5_2,1
g21,group_6019,1
g21,group_6017,1
g21,group_6016,1
g21,panB_1~~~panB_3~~~panB_2,1
g21,group_6009,1
g21,group_6007,1
g21,bdcA_2~~~bdcA,1
g21,copA_1~~~copA_2~~~ctpV,1
g21,fliY_3~~~fliY_4,1
g21,yphB,1
g21,virB6,1
g21,fabG_15~~~fabG_1,1
g21,pgrR_15~~~hdfR_4~~~pgrR_16~~~pgrR_14,1
g21,group_5987,1
g21,group_5986,1
g21,arnC_2,1
g21,group_5984,1
g21,fixP_3~~~fixP_2,1
g21,galE_1~~~galE_4,1
g21,group_5983,1
g21,vapC_1~~~vapC_6,1
g21,xylG_1~~~xylG_2,1
g21,group_5977,1
g21,group_5976,1
g21,group_5974,1
g21,group_5969,1
g21,dtnK,1
g21,group_5964,1
g21,napA_1~~~fdoG_2~~~fdoG_3~~~fdoG_1~~~napA_3,1
g21,fmt_2~~~fmt_1,1
g21,pglA,1
g21,gudX,1
g21,bacC_2~~~bacC_3,1
g21,rstB~~~sasA_2,1
g21,group_5953,1
g21,lsrR_2~~~lsrR_1,1
g21,group_5951,1
g21,ade,1
g21,group_5950,1
g21,yesO_1,1
g21,group_5949,1
g21,group_5948,1
g21,group_5936,1
g21,fixN_3~~~fixN_2~~~fixN_1,1
g21,group_5934,1
g21,group_5933,1
g21,group_5931,1
g21,group_5929,1
g21,group_5925,1
g21,group_5924,1
g21,group_5920,1
g21,group_5919,1
g21,group_5918,1
g21,group_5915,1
g21,group_5912,1
g21,group_5911,1
g21,group_5910,1
g21,group_5909,1
g21,group_5908,1
g21,group_5906,1
g21,blaP_2~~~bla,1
g21,exsH_2~~~exsH_3~~~exsH_1,1
g21,group_5905,1
g21,group_5904,1
g21,mhqD_1,1
g21,fadD3~~~lcfB_1,1
g21,rclA~~~sthA_1~~~rclA_2,1
g21,group_5901,1
g21,group_5900,1
g21,mshA_15~~~mshA_6~~~mshA_5,1
g21,dinB_1~~~dinB_4~~~dinB_5~~~dinB_2,1
g21,virB5_1~~~virB5_2,1
g21,group_5896,1
g21,nifD_2,1
g21,group_5894,1
g21,group_5893,1
g21,group_5891,1
g21,group_5889,1
g21,dinB_2~~~dinB_3,1
g21,group_5885,1
g21,group_5884,1
g21,group_5883,1
g21,group_5879,1
g21,group_5878,1
g21,group_5877,1
g21,tag,1
g21,group_5876,1
g21,group_5872,1
g21,aacA4_2~~~aacA4,1
g21,fucU_2~~~fucU_1,1
g21,msrA3,1
g21,oppD_4~~~oppD_3~~~oppD_8~~~oppD_9~~~oppD_7,1
g21,gsiC_3~~~gsiC_12,1
g21,emrB_2,1
g21,dauP~~~rdmC,1
g21,yabJ_4~~~yabJ_3,1
g21,group_5869,1
g21,rpe_3~~~rpe_2~~~rpe_1,1
g21,rgtB~~~rgtA_2~~~rgtA_1,1
g21,group_5868,1
g21,nanR_1~~~lutR_9,1
g21,group_5864,1
g21,group_5862,1
g21,group_5861,1
g21,xdhA_1,1
g21,group_5860,1
g21,group_5858,1
g21,group_5857,1
g21,group_5856,1
g21,cysQ_3~~~cysQ_1,1
g21,group_5855,1
g21,ydjH_2~~~ydjH_1,1
g21,xylB_4~~~xylB_3~~~xylB_2,1
g21,group_5853,1
g21,group_5852,1
g21,ftsY,1
g21,dctD_2,1
g21,hmo~~~lldD_2,1
g21,fdhE_2~~~fdhE_1~~~fdhE,1
g21,group_5849,1
g21,ugpC_11~~~malK_8~~~lacZ_1~~~lacZ~~~lacZ_2,1
g21,purR_4~~~degA_1~~~purR_3,1
g21,iolG_14~~~iolG_11,1
g21,strE_2~~~hldD_2,1
g21,group_5844,1
g21,group_5842,1
g21,group_5841,1
g21,group_5839,1
g21,kdpC,1
g21,arcC2,1
g21,ydiK_3~~~ydiK_2,1
g21,mtgB_1~~~mtgB_5,1
g21,sbmA,1
g21,cyaA,1
g21,group_5838,1
g21,thlA_1~~~thlA_2~~~thlA,1
g21,siaM_1,1
g21,group_5837,1
g21,group_5835,1
g21,group_5833,1
g21,group_5832,1
g21,group_5829,1
g21,sfnC_2~~~sfnC,1
g21,fucK_2~~~fucK_1,1
g21,group_5828,1
g21,kdpA,1
g21,ade2~~~rihB~~~rihB_1~~~rihB_2~~~ade_2,1
g21,pbpF,1
g21,group_5825,1
g21,group_5824,1
g21,iorB_1~~~iorB_3,1
g21,group_5822,1
g21,group_5820,1
g21,thrB_3~~~tpa~~~argD_3~~~argD_4~~~argD_1,1
g21,prtC,1
g21,group_5819,1
g21,group_5818,1
g21,group_5804,1
g21,group_5785,1
g21,group_5784,1
g21,group_5783,1
g21,group_5773,1
g21,group_5772,1
g21,gsiA_13~~~gsiA_2~~~gsiA_8~~~gsiA_1~~~gsiA_5,1
g21,group_5771,1
g21,nuoF~~~nqo1_1~~~nuoF_1~~~nqo1_2,1
g21,sfrA_2~~~sfrA_1~~~sfrA,1
g21,group_5767,1
g21,rhaS_4~~~virS,1
g21,group_5764,1
g21,xthA_2,1
g21,group_5762,1
g21,group_5760,1
g21,group_5757,1
g21,group_5754,1
g21,groS1_3~~~groS1_4,1
g21,group_5753,1
g21,dusA,1
g21,group_5750,1
g21,group_5744,1
g21,group_5743,1
g21,group_5741,1
g21,group_5740,1
g21,arcA_2~~~arcA_3,1
g21,group_5739,1
g21,group_5737,1
g21,qorA_3~~~qorA_2~~~qorA_1,1
g21,flhA_1~~~flhA_3,1
g21,group_5736,1
g21,group_5735,1
g21,group_5733,1
