gene,genome_id1,genome_id2,dxy
COQ3_2,g4,g5,0
COQ3_2,g4,g6,1
COQ3_2,g4,g8,0
COQ3_2,g4,g9,0
COQ3_2,g5,g6,1
COQ3_2,g5,g8,0
COQ3_2,g5,g9,0
COQ3_2,g6,g8,1
COQ3_2,g6,g9,1
COQ3_2,g8,g9,0
COQ3_2,g11,g4,0
COQ3_2,g11,g5,0
COQ3_2,g11,g6,1
COQ3_2,g11,g8,0
COQ3_2,g11,g9,0
COQ3_2,g11,g13,1
COQ3_2,g11,g16,1
COQ3_2,g11,g17,1
COQ3_2,g11,g19,2
COQ3_2,g13,g4,1
COQ3_2,g13,g5,1
COQ3_2,g13,g6,0
COQ3_2,g13,g8,1
COQ3_2,g13,g9,1
COQ3_2,g13,g16,0
COQ3_2,g13,g17,0
COQ3_2,g13,g19,1
COQ3_2,g16,g4,1
COQ3_2,g16,g5,1
COQ3_2,g16,g6,0
COQ3_2,g16,g8,1
COQ3_2,g16,g9,1
COQ3_2,g16,g17,0
COQ3_2,g16,g19,1
COQ3_2,g17,g4,1
COQ3_2,g17,g5,1
COQ3_2,g17,g6,0
COQ3_2,g17,g8,1
COQ3_2,g17,g9,1
COQ3_2,g17,g19,1
COQ3_2,g19,g4,2
COQ3_2,g19,g5,2
COQ3_2,g19,g6,1
COQ3_2,g19,g8,2
COQ3_2,g19,g9,2
COQ5_1,g4,g5,0
COQ5_1,g4,g6,2
COQ5_1,g4,g8,0
COQ5_1,g4,g9,1
COQ5_1,g5,g6,2
COQ5_1,g5,g8,0
COQ5_1,g5,g9,1
COQ5_1,g6,g8,2
COQ5_1,g6,g9,3
COQ5_1,g8,g9,1
COQ5_1,g11,g4,0
COQ5_1,g11,g5,0
COQ5_1,g11,g6,2
COQ5_1,g11,g8,0
COQ5_1,g11,g9,1
COQ5_1,g11,g13,0
COQ5_1,g11,g16,1
COQ5_1,g11,g17,0
COQ5_1,g11,g19,1
COQ5_1,g13,g4,0
COQ5_1,g13,g5,0
COQ5_1,g13,g6,2
COQ5_1,g13,g8,0
COQ5_1,g13,g9,1
COQ5_1,g13,g16,1
COQ5_1,g13,g17,0
COQ5_1,g13,g19,1
COQ5_1,g16,g4,1
COQ5_1,g16,g5,1
COQ5_1,g16,g6,3
COQ5_1,g16,g8,1
COQ5_1,g16,g9,0
COQ5_1,g16,g17,1
COQ5_1,g16,g19,2
COQ5_1,g17,g4,0
COQ5_1,g17,g5,0
COQ5_1,g17,g6,2
COQ5_1,g17,g8,0
COQ5_1,g17,g9,1
COQ5_1,g17,g19,1
COQ5_1,g19,g4,1
COQ5_1,g19,g5,1
COQ5_1,g19,g6,3
COQ5_1,g19,g8,1
COQ5_1,g19,g9,2
COQ5_4,g4,g5,0
COQ5_4,g4,g6,0
COQ5_4,g4,g8,0
COQ5_4,g4,g9,0
COQ5_4,g5,g6,0
COQ5_4,g5,g8,0
COQ5_4,g5,g9,0
COQ5_4,g6,g8,0
COQ5_4,g6,g9,0
COQ5_4,g8,g9,0
COQ5_4,g11,g4,1
COQ5_4,g11,g5,1
COQ5_4,g11,g6,1
COQ5_4,g11,g8,1
COQ5_4,g11,g9,1
COQ5_4,g11,g13,0
COQ5_4,g11,g16,1
COQ5_4,g11,g17,1
COQ5_4,g11,g19,1
COQ5_4,g13,g4,1
COQ5_4,g13,g5,1
COQ5_4,g13,g6,1
COQ5_4,g13,g8,1
COQ5_4,g13,g9,1
COQ5_4,g13,g16,1
COQ5_4,g13,g17,1
COQ5_4,g13,g19,1
COQ5_4,g16,g4,0
COQ5_4,g16,g5,0
COQ5_4,g16,g6,0
COQ5_4,g16,g8,0
COQ5_4,g16,g9,0
COQ5_4,g16,g17,0
COQ5_4,g16,g19,0
COQ5_4,g17,g4,0
COQ5_4,g17,g5,0
COQ5_4,g17,g6,0
COQ5_4,g17,g8,0
COQ5_4,g17,g9,0
COQ5_4,g17,g19,0
COQ5_4,g19,g4,0
COQ5_4,g19,g5,0
COQ5_4,g19,g6,0
COQ5_4,g19,g8,0
COQ5_4,g19,g9,0
COQ5_5~~~COQ5_2,g4,g5,0
COQ5_5~~~COQ5_2,g4,g6,0
COQ5_5~~~COQ5_2,g4,g8,0
COQ5_5~~~COQ5_2,g4,g9,0
COQ5_5~~~COQ5_2,g5,g6,0
COQ5_5~~~COQ5_2,g5,g8,0
COQ5_5~~~COQ5_2,g5,g9,0
COQ5_5~~~COQ5_2,g6,g8,0
COQ5_5~~~COQ5_2,g6,g9,0
COQ5_5~~~COQ5_2,g8,g9,0
COQ5_5~~~COQ5_2,g11,g4,0
COQ5_5~~~COQ5_2,g11,g5,0
COQ5_5~~~COQ5_2,g11,g6,0
COQ5_5~~~COQ5_2,g11,g8,0
COQ5_5~~~COQ5_2,g11,g9,0
COQ5_5~~~COQ5_2,g11,g13,0
COQ5_5~~~COQ5_2,g11,g16,0
COQ5_5~~~COQ5_2,g11,g17,0
COQ5_5~~~COQ5_2,g11,g19,34
COQ5_5~~~COQ5_2,g13,g4,0
COQ5_5~~~COQ5_2,g13,g5,0
COQ5_5~~~COQ5_2,g13,g6,0
COQ5_5~~~COQ5_2,g13,g8,0
COQ5_5~~~COQ5_2,g13,g9,0
COQ5_5~~~COQ5_2,g13,g16,0
COQ5_5~~~COQ5_2,g13,g17,0
COQ5_5~~~COQ5_2,g13,g19,34
COQ5_5~~~COQ5_2,g16,g4,0
COQ5_5~~~COQ5_2,g16,g5,0
COQ5_5~~~COQ5_2,g16,g6,0
COQ5_5~~~COQ5_2,g16,g8,0
COQ5_5~~~COQ5_2,g16,g9,0
COQ5_5~~~COQ5_2,g16,g17,0
COQ5_5~~~COQ5_2,g16,g19,34
COQ5_5~~~COQ5_2,g17,g4,0
COQ5_5~~~COQ5_2,g17,g5,0
COQ5_5~~~COQ5_2,g17,g6,0
COQ5_5~~~COQ5_2,g17,g8,0
COQ5_5~~~COQ5_2,g17,g9,0
COQ5_5~~~COQ5_2,g17,g19,34
COQ5_5~~~COQ5_2,g19,g4,34
COQ5_5~~~COQ5_2,g19,g5,34
COQ5_5~~~COQ5_2,g19,g6,34
COQ5_5~~~COQ5_2,g19,g8,34
COQ5_5~~~COQ5_2,g19,g9,34
IMPDH_1,g4,g5,0
IMPDH_1,g4,g6,9
IMPDH_1,g4,g8,0
IMPDH_1,g4,g9,0
IMPDH_1,g5,g6,9
IMPDH_1,g5,g8,0
IMPDH_1,g5,g9,0
IMPDH_1,g6,g8,9
IMPDH_1,g6,g9,9
IMPDH_1,g8,g9,0
IMPDH_1,g11,g4,0
IMPDH_1,g11,g5,0
IMPDH_1,g11,g6,9
IMPDH_1,g11,g8,0
IMPDH_1,g11,g9,0
IMPDH_1,g11,g13,0
IMPDH_1,g11,g16,0
IMPDH_1,g11,g17,0
IMPDH_1,g11,g19,9
IMPDH_1,g13,g4,0
IMPDH_1,g13,g5,0
IMPDH_1,g13,g6,9
IMPDH_1,g13,g8,0
IMPDH_1,g13,g9,0
IMPDH_1,g13,g16,0
IMPDH_1,g13,g17,0
IMPDH_1,g13,g19,9
IMPDH_1,g16,g4,0
IMPDH_1,g16,g5,0
IMPDH_1,g16,g6,9
IMPDH_1,g16,g8,0
IMPDH_1,g16,g9,0
IMPDH_1,g16,g17,0
IMPDH_1,g16,g19,9
IMPDH_1,g17,g4,0
IMPDH_1,g17,g5,0
IMPDH_1,g17,g6,9
IMPDH_1,g17,g8,0
IMPDH_1,g17,g9,0
IMPDH_1,g17,g19,9
IMPDH_1,g19,g4,9
IMPDH_1,g19,g5,9
IMPDH_1,g19,g6,0
IMPDH_1,g19,g8,9
IMPDH_1,g19,g9,9
IMPDH_2~~~hrp1,g4,g5,0
IMPDH_2~~~hrp1,g4,g6,11
IMPDH_2~~~hrp1,g4,g8,0
IMPDH_2~~~hrp1,g4,g9,0
IMPDH_2~~~hrp1,g5,g6,11
IMPDH_2~~~hrp1,g5,g8,0
IMPDH_2~~~hrp1,g5,g9,0
IMPDH_2~~~hrp1,g6,g8,11
IMPDH_2~~~hrp1,g6,g9,11
IMPDH_2~~~hrp1,g8,g9,0
IMPDH_2~~~hrp1,g11,g4,0
IMPDH_2~~~hrp1,g11,g5,0
IMPDH_2~~~hrp1,g11,g6,11
IMPDH_2~~~hrp1,g11,g8,0
IMPDH_2~~~hrp1,g11,g9,0
IMPDH_2~~~hrp1,g11,g13,0
IMPDH_2~~~hrp1,g11,g16,0
IMPDH_2~~~hrp1,g11,g17,0
