gene,g21,g22,g23,g24,g25,g26,g27,g31,g32,g33,g34,g35,g36,g37,g39,g41,g43,g44,g45
COQ3_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ3_2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COQ3_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COQ3_3~~~COQ3_2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
COQ5_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_3~~~COQ5_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COQ5_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FCS1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1
GATC~~~gatC,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
IMPDH_1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
IMPDH_2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
IMPDH_3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
OSGEPL1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAD1~~~ubiX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PGdx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSK~~~xylB_6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
PURA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
QRSL1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
aacA4_1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1
aacA4_2~~~aacA4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aaeA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aam,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1
aam_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aarA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aatA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aatB_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aatB_2,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
abaF,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
abfA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abgB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abgT,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
abo_1~~~abo_5~~~abo_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abo_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abo_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abo_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abo_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abo_5~~~thiO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
accA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
accA1_1~~~accA1_2~~~liuE,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2
accB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
accC,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1
accD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdA_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdA_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdA_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acdS,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
ackA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ackA_1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
ackA_2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
acnA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acn~~~citB,1,0,0,0,0,0,0,1,2,0,1,1,0,0,2,2,0,1,1
acoA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acoR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acpP_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acpP_3~~~acpP_4,1,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,1,1,0
acpP_5~~~acpP_1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
acpP_5~~~acpP_2~~~acpP_1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
acpP_5~~~acpP_4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acpS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acpXL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acr1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acrB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acsA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acsA_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acsA_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acsA_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acsE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actIII,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actP_1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
actP_2~~~actP_3,0,0,0,0,1,1,1,2,1,0,2,0,1,0,0,1,0,0,1
acxA,1,1,1,0,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1
acxB,1,1,2,0,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1
acxC,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acyP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
addA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
addA_1~~~rep_1~~~uvrD_1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
