From	Entry	Entry Name	Gene Names	Organism	Gene Ontology (GO)
ccoP	A0A2J0YXG9	A0A2J0YXG9_RHIML	ccoP CEJ86_23020	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A2J0YXV6	A0A2J0YXV6_RHIML	ccoP CEJ86_23065	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A3S2Q4G1	A0A3S2Q4G1_RHIML	ccoP CN211_33030	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A3S5W8P9	A0A3S5W8P9_RHIML	ccoP CN070_25595	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A437GDL4	A0A437GDL4_RHIML	ccoP CN070_28455	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A437GF40	A0A437GF40_RHIML	ccoP CN070_25550	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A6A7ZMJ6	A0A6A7ZMJ6_RHIML	ccoP GHK45_01025 GHK45_05980	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A6A7ZX07	A0A6A7ZX07_RHIML	ccoP GHK45_26535	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A8B3MML3	A0A8B3MML3_RHIML	ccoP CN211_15330	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0AAP6TMR5	A0AAP6TMR5_RHIML	ccoP GHK56_09705	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	
