From	Entry	Entry Name	Gene Names	Organism	Gene Ontology (GO)
fixN	A0A2L0HBH2	A0A2L0HBH2_RHIFR	fixN NXT3_PB00165	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane respiratory chain complex IV [GO:0045278]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]
fixN	O52522	O52522_RHIFR	fixN	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]
ccoP	A0A2A6M354	A0A2A6M354_RHIFR	ccoP CO661_07490	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A2A6M4B2	A0A2A6M4B2_RHIFR	ccoP CO661_05745	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A844A5X2	A0A844A5X2_RHIFR	ccoP GHK48_09555	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A844AMK1	A0A844AMK1_RHIFR	ccoP GHK48_34035	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
thiC	A0A2A6LR53	A0A2A6LR53_RHIFR	thiC CO661_25640	Rhizobium fredii (Sinorhizobium fredii)	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
thiC	A0A2L0HDL3	A0A2L0HDL3_RHIFR	thiC NXT3_PC00091	Rhizobium fredii (Sinorhizobium fredii)	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
thiC	A0A844A6I2	A0A844A6I2_RHIFR	thiC GHK48_05915	Rhizobium fredii (Sinorhizobium fredii)	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
rluB	A0A2L0HCT4	A0A2L0HCT4_RHIFR	rluB NXT3_PC00036	Rhizobium fredii (Sinorhizobium fredii)	23S rRNA pseudouridine(2604) synthase activity [GO:0160138]; RNA binding [GO:0003723]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]
trpF	A0A2A6LUJ9	A0A2A6LUJ9_RHIFR	trpF CO661_21180 GHK48_25455	Rhizobium fredii (Sinorhizobium fredii)	phosphoribosylanthranilate isomerase activity [GO:0004640]; tryptophan biosynthetic process [GO:0000162]
trpF	A0A2L0H1D5	A0A2L0H1D5_RHIFR	trpF NXT3_CH00027	Rhizobium fredii (Sinorhizobium fredii)	phosphoribosylanthranilate isomerase activity [GO:0004640]; tryptophan biosynthetic process [GO:0000162]
glgX	A0A2A6LZL8	A0A2A6LZL8_RHIFR	glgX CO661_11015	Rhizobium fredii (Sinorhizobium fredii)	glycogen debranching enzyme activity [GO:0004133]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen catabolic process [GO:0005980]
glgX	A0A2A6M611	A0A2A6M611_RHIFR	glgX CO661_00845	Rhizobium fredii (Sinorhizobium fredii)	glycogen debranching enzyme activity [GO:0004133]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen catabolic process [GO:0005980]
glgX	A0A844A4Y6	A0A844A4Y6_RHIFR	glgX GHK48_07540	Rhizobium fredii (Sinorhizobium fredii)	glycogen debranching enzyme activity [GO:0004133]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen catabolic process [GO:0005980]
glgX	A0A844AHI8	A0A844AHI8_RHIFR	glgX GHK48_27405	Rhizobium fredii (Sinorhizobium fredii)	glycogen debranching enzyme activity [GO:0004133]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen catabolic process [GO:0005980]
rbsC	A0A2A6LWF7	A0A2A6LWF7_RHIFR	rbsC CO661_17165	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
ampC	A0A2L0H9W8	A0A2L0H9W8_RHIFR	ampC NXT3_CH03693	Rhizobium fredii (Sinorhizobium fredii)	outer membrane-bounded periplasmic space [GO:0030288]; beta-lactamase activity [GO:0008800]; peptidase activity [GO:0008233]; antibiotic catabolic process [GO:0017001]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]
ampC	A0A844AF47	A0A844AF47_RHIFR	ampC GHK48_18960	Rhizobium fredii (Sinorhizobium fredii)	outer membrane-bounded periplasmic space [GO:0030288]; beta-lactamase activity [GO:0008800]; peptidase activity [GO:0008233]; antibiotic catabolic process [GO:0017001]; proteolysis [GO:0006508]; response to antibiotic [GO:0046677]
dapA	A0A2A6LXJ3	A0A2A6LXJ3_RHIFR	dapA CO661_14320	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]
dapA	A0A2L0H2J9	A0A2L0H2J9_RHIFR	dapA NXT3_CH01111	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]
dapA	A0A844A4G3	A0A844A4G3_RHIFR	dapA GHK48_03325	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]
dapA	A0A844A9W6	A0A844A9W6_RHIFR	dapA GHK48_13840	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]
rnhB	A0A2A6LVI2	A0A2A6LVI2_RHIFR	rnhB CO661_18845	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA catabolic process [GO:0006401]
rnhB	A0A2L0H1T9	A0A2L0H1T9_RHIFR	rnhB NXT3_CH00846	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA catabolic process [GO:0006401]
rnhB	A0A844ACE1	A0A844ACE1_RHIFR	rnhB GHK48_17350	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA catabolic process [GO:0006401]
tdh	A0A2A6LXS3	A0A2A6LXS3_RHIFR	tdh CO661_14810 GHK48_23315	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; L-threonine 3-dehydrogenase activity [GO:0008743]; zinc ion binding [GO:0008270]; L-threonine catabolic process to glycine [GO:0019518]
tdh	A0A2L0H7C5	A0A2L0H7C5_RHIFR	tdh NXT3_CH02531	Rhizobium fredii (Sinorhizobium fredii)	cytoplasm [GO:0005737]; L-threonine 3-dehydrogenase activity [GO:0008743]; zinc ion binding [GO:0008270]; L-threonine catabolic process to glycine [GO:0019518]
slyX	A0A2A6M1S7	A0A2A6M1S7_RHIFR	slyX CO661_08275 GHK48_30700	Rhizobium fredii (Sinorhizobium fredii)	
slyX	A0A2L0H001	A0A2L0H001_RHIFR	slyX NXT3_CH00188	Rhizobium fredii (Sinorhizobium fredii)	
rssA	A0A2L0H3J6	A0A2L0H3J6_RHIFR	rssA NXT3_CH01484	Rhizobium fredii (Sinorhizobium fredii)	hydrolase activity [GO:0016787]; lipid catabolic process [GO:0016042]
paaD	A0A2A6M3K1	A0A2A6M3K1_RHIFR	paaD paaI CO661_07595 GHK48_00655	Rhizobium fredii (Sinorhizobium fredii)	acyl-CoA hydrolase activity [GO:0016289]
uppS	A0A2L0H3Y4	A0A2L0H3Y4_RHIFR	uppS NXT3_CH01566	Rhizobium fredii (Sinorhizobium fredii)	magnesium ion binding [GO:0000287]; prenyltransferase activity [GO:0004659]
kpsT	A0A2L0HG54	A0A2L0HG54_RHIFR	kpsT NXT3_PC01293	Rhizobium fredii (Sinorhizobium fredii)	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
putA	A0A2A6LNP2	A0A2A6LNP2_RHIFR	putA CO661_30515	Rhizobium fredii (Sinorhizobium fredii)	cytoplasmic side of plasma membrane [GO:0009898]; 1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; proline dehydrogenase activity [GO:0004657]; proline biosynthetic process [GO:0006561]; proline catabolic process to glutamate [GO:0010133]
putA	A0A2L0H0U9	A0A2L0H0U9_RHIFR	putA NXT3_CH00449	Rhizobium fredii (Sinorhizobium fredii)	cytoplasmic side of plasma membrane [GO:0009898]; 1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; proline dehydrogenase activity [GO:0004657]; proline biosynthetic process [GO:0006561]; proline catabolic process to glutamate [GO:0010133]
putA	A0A844ACN1	A0A844ACN1_RHIFR	putA GHK48_22330	Rhizobium fredii (Sinorhizobium fredii)	cytoplasmic side of plasma membrane [GO:0009898]; 1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; proline dehydrogenase activity [GO:0004657]; proline biosynthetic process [GO:0006561]; proline catabolic process to glutamate [GO:0010133]
yheS	A0A2L0H2U3	A0A2L0H2U3_RHIFR	yheS NXT3_CH01197	Rhizobium fredii (Sinorhizobium fredii)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]
metH	A0A2L0H952	A0A2L0H952_RHIFR	metH NXT3_CH03455	Rhizobium fredii (Sinorhizobium fredii)	cobalamin binding [GO:0031419]; methionine synthase activity [GO:0008705]; zinc ion binding [GO:0008270]; methylation [GO:0032259]; pteridine-containing compound metabolic process [GO:0042558]
metH	A0A844AEP6	A0A844AEP6_RHIFR	metH GHK48_20425	Rhizobium fredii (Sinorhizobium fredii)	cobalamin binding [GO:0031419]; methionine synthase activity [GO:0008705]; zinc ion binding [GO:0008270]; methylation [GO:0032259]; pteridine-containing compound metabolic process [GO:0042558]
metH	Q6R7M2	Q6R7M2_RHIFR	metH	Rhizobium fredii (Sinorhizobium fredii)	cobalamin binding [GO:0031419]; methionine synthase activity [GO:0008705]; zinc ion binding [GO:0008270]; methylation [GO:0032259]; pteridine-containing compound metabolic process [GO:0042558]
ccmF	A0A2L0H2H9	A0A2L0H2H9_RHIFR	ccmF cycK NXT3_CH01042	Rhizobium fredii (Sinorhizobium fredii)	plasma membrane [GO:0005886]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; cytochrome complex assembly [GO:0017004]
