genome_id,species,query_containment_ani,name
g2,E. sp.,0.9355400904378914,"GCF_014851895.1 Ensifer sp. ENS11 strain=ENS11, ASM1485189v1"
g2,E. sp.,0.9206948088334412,"GCF_001270265.1 Ensifer adhaerens strain=SD006, SD006_V1"
g2,E. sp.,0.916127923519375,"GCF_003355565.1 Ensifer sp. M14 strain=M14, ASM335556v1"
g2,E. sp.,0.9133809939846528,"GCF_013371465.1 Ensifer sp. HO-A22 strain=HO-A22, ASM1337146v1"
g2,E. sp.,0.918526816763786,"GCF_001695855.1 Ensifer sp. LC163 strain=LC163, LC163_v1"
g2,E. sp.,0.9062900180647886,"GCA_900469215.1 Rhizobiales bacterium, AFS045205"
g2,E. sp.,0.91309217554947,"GCF_013283195.1 Ensifer adhaerens strain=Lc04, ASM1328319v1"
g3,E. sp.,0.9870775527439604,"GCF_003355565.1 Ensifer sp. M14 strain=M14, ASM335556v1"
g3,E. sp.,0.9863987887807798,"GCF_002002725.1 Sinorhizobium sp. A49 strain=A49, ASM200272v1"
g3,E. sp.,0.9134274464273844,"GCF_014852205.1 Ensifer sp. ENS06 strain=ENS06, ASM1485220v1"
g3,E. sp.,0.9359176824079484,"GCF_013283195.1 Ensifer adhaerens strain=Lc04, ASM1328319v1"
g4,E. medicae,0.9943092412032796,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1"
g4,E. medicae,0.990819952935159,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g4,E. medicae,0.9936229966048992,"GCF_004004695.1 Sinorhizobium medicae strain=3082, ASM400469v1"
g4,E. medicae,0.9917714704298948,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1"
g4,E. medicae,0.9119825331907244,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1"
g5,E. medicae,0.9943063981160882,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1"
g5,E. medicae,0.9908213432316682,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g5,E. medicae,0.993620951305314,"GCF_004004695.1 Sinorhizobium medicae strain=3082, ASM400469v1"
g5,E. medicae,0.9917716617361968,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1"
g5,E. medicae,0.9119461420322228,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1"
g6,E. medicae,0.9923924379893804,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g6,E. medicae,0.9921244908031728,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g6,E. medicae,0.9906809894359464,"GCF_004002565.1 Sinorhizobium medicae strain=USDA1652, ASM400256v1"
g6,E. medicae,0.9137246233299836,"GCF_004001735.1 Sinorhizobium meliloti strain=USDA1787, ASM400173v1"
g6,E. medicae,0.989306060254366,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1"
g6,E. medicae,0.9113133044840652,"GCF_004003495.1 Sinorhizobium meliloti strain=USDA1211, ASM400349v1"
g8,E. medicae,0.99452607614059,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1"
g8,E. medicae,0.9913908746407114,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g8,E. medicae,0.994039007905711,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g8,E. medicae,0.9896765719234978,"GCA_000372345.1 Sinorhizobium medicae WSM1369 strain=WSM1369, ASM37234v1"
g8,E. medicae,0.9157751273907158,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1"
g9,E. medicae,0.995998974080722,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1"
g9,E. medicae,0.995690444914518,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g9,E. medicae,0.9922172872472604,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g9,E. medicae,0.9959565884340474,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1"
g10,E. meliloti,0.9971848377607612,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1"
g10,E. meliloti,0.990592468334099,"GCF_023733835.1 Sinorhizobium meliloti strain=CE52G, ASM2373383v1"
g10,E. meliloti,0.991239447665669,"GCF_004002915.1 Sinorhizobium meliloti strain=USDA1508, ASM400291v1"
g11,E. medicae,0.9935646256425744,"GCF_002864945.1 Sinorhizobium medicae strain=Str18, ASM286494v1"
g11,E. medicae,0.9930614046220592,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g11,E. medicae,0.9192761788186266,"GCF_004001385.1 Sinorhizobium meliloti strain=USDA1883, ASM400138v1"
g11,E. medicae,0.9923972725503318,"GCF_009601285.1 Sinorhizobium medicae strain=M1, ASM960128v1"
g13,E. medicae,0.9933779075441248,"GCF_007827705.1 Sinorhizobium medicae strain=SF3.41, ASM782770v1"
g13,E. medicae,0.9932183169418052,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g13,E. medicae,0.9180848658584964,"GCF_004001385.1 Sinorhizobium meliloti strain=USDA1883, ASM400138v1"
g13,E. medicae,0.993278941895292,"GCF_004004025.1 Sinorhizobium medicae strain=USDA1149, ASM400402v1"
g13,E. medicae,0.9916249347100498,"GCA_002864955.1 Sinorhizobium medicae strain=Str17, ASM286495v1"
g15,E. sp.,0.9881845612704934,"GCF_014852195.1 Ensifer sp. ENS08 strain=ENS08, ASM1485219v1"
g15,E. sp.,0.9868514541865248,"GCF_023821965.1 Ensifer adhaerens strain=M8, ASM2382196v1"
g15,E. sp.,0.9861110879107996,"GCA_900470665.1 Rhizobiales bacterium, AFS061958"
g15,E. sp.,0.9857913121792112,"GCF_003269115.1 Ensifer adhaerens strain=AG1206, ASM326911v1"
g15,E. sp.,0.986686319054515,"GCF_014852035.1 Ensifer sp. ENS03 strain=ENS03, ASM1485203v1"
g15,E. sp.,0.9877362665463576,"GCF_014851775.1 Ensifer sp. ENS01 strain=ENS01, ASM1485177v1"
g15,E. sp.,0.9849489080787392,"GCF_019265955.1 Ensifer adhaerens strain=E-60, ASM1926595v1"
g16,E. medicae,0.994541395588722,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1"
g16,E. medicae,0.9909656730499472,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g16,E. medicae,0.9939937534440922,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g16,E. medicae,0.9918837537476316,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1"
g17,E. medicae,0.994581819250324,"GCF_004002265.1 Sinorhizobium medicae strain=USDA1624, ASM400226v1"
g17,E. medicae,0.9909997933965272,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g17,E. medicae,0.9940385725669868,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g17,E. medicae,0.9919195567919006,"GCF_009599705.1 Sinorhizobium medicae strain=M58, ASM959970v1"
g19,E. medicae,0.9951051543893764,"GCA_002864985.1 Sinorhizobium medicae strain=Str16, ASM286498v1"
g19,E. medicae,0.99476692279219,"GCF_004002305.1 Sinorhizobium medicae strain=USDA1629, ASM400230v1"
g19,E. medicae,0.9939277315329724,"GCF_004017565.1 Sinorhizobium medicae strain=USDA1638, ASM401756v1"
g19,E. medicae,0.99231456087475,"GCF_004002155.1 Sinorhizobium medicae strain=USDA1664, ASM400215v1"
g20,E. meliloti,0.996934683866881,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1"
g20,E. meliloti,0.991704561979002,"GCF_004003495.1 Sinorhizobium meliloti strain=USDA1211, ASM400349v1"
g21,E. meliloti,0.9938595867269356,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1"
g21,E. meliloti,0.9896797943909597,"GCF_004001675.1 Sinorhizobium meliloti strain=USDA1791, ASM400167v1"
g21,E. meliloti,0.9930601651666912,"GCF_004002805.1 Sinorhizobium meliloti strain=USDA1530, ASM400280v1"
