gene,Hs,Ht,Gst_est,Gprime_st,D_het,D_mean,n_snps,sequence_length,tops
yhdY_3,0.01464254952627045,0.49111757105943155,0.9701852460813328,0.9995022919664066,0.967111013986014,0.7812272868860974,36,1155,1
yhdY_2,0.01464254952627045,0.49111757105943155,0.9701852460813328,0.9995022919664066,0.967111013986014,0.7812272868860974,36,1155,1
fdxB,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,0.8027522935779816,1,318,1
livK,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,0.8027522935779816,1,1173,1
purU_4,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,0.8027522935779816,1,886,1
purU_3,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,0.8027522935779816,1,886,1
btuC_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,83,978,1
yfhA_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,83,978,1
yfhA_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,83,978,1
cimA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1617,1
crcB,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,387,1
degQ_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1554,1
eltP,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1446,1
hemA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1215,1
ilvC,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1020,1
puuB_6,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1281,1
radA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,1404,1
ubiJ,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,0.6838235294117647,1,507,1
kdsD_1,0.19822812846068655,0.4264950166112956,0.5352158390133074,0.8696383726770468,0.5694060773480663,0.2262608391336471,7,990,1
crt_2,0.2441860465116279,0.4345930232558139,0.4381270903010034,0.8061538461538461,0.5038461538461538,0.4232335329341318,2,792,1
deoR_4,0.2441860465116279,0.4345930232558139,0.4381270903010034,0.8061538461538461,0.5038461538461538,0.4232335329341318,2,987,1
echA8_2,0.2441860465116279,0.4345930232558139,0.4381270903010034,0.8061538461538461,0.5038461538461538,0.4232335329341318,2,771,1
echA8_4,0.2441860465116279,0.4345930232558139,0.4381270903010034,0.8061538461538461,0.5038461538461538,0.4232335329341318,2,771,1
galE_4,0.27777777777777773,0.45833333333333326,0.3939393939393939,0.7826086956521737,0.49999999999999983,0.236561559061062,18,987,1
acpP_1,0.3062015503875969,0.48643410852713176,0.3705179282868526,0.7793296089385475,0.5195530726256983,0.5129704055535258,2,252,1
argH_1,0.29273765809873514,0.4720267237862096,0.3798282102533629,0.7784158283148765,0.5069945197577155,0.2828197244683785,38,1467,1
rbsB_4,0.3191214470284237,0.4928940568475452,0.3525557011795544,0.7656546489563568,0.5104364326375711,0.3210455343702961,30,991,1
