gene,Hs,Ht,Gst,Gprime_st,D,location,sequence_length,tops
COQ5_3,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,870,1179,1
COQ5_7,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,623,786,1
COQ5_8,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,33,612,1
aaeA,0.2774845226458129,0.4998533724340176,0.44486815944721503,0.8522871554349863,0.6155407233697124,332,1230,1
abo_4,0.16891495601173012,0.4844574780058651,0.6513317191283294,0.9491884262526464,0.7593507410021172,591,2421,1
abo_5,0.2346041055718475,0.4506353861192571,0.4793926247288504,0.8467432950191571,0.5644955300127714,255,1326,1
ackA,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,149,1179,1
actP,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,1443,2484,1
ade,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,1181,1788,1
adiC,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,508,1327,1
afr_1,0.3259693711306615,0.4907624633431085,0.33578992796202234,0.7458987245938873,0.4889780527893261,192,1020,1
agpA,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,69,2082,1
amiC_1,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,413,1293,1
ampR,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,566,931,1
araQ_3,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,471,849,1
arcA_2,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,124,1230,1
arcA_3,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,124,1230,1
arcB,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,523,1006,1
arcB_2,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,523,1006,1
arcC2,0.26067122841316387,0.40811339198435975,0.36127744510978055,0.7179374173644779,0.3988541207580433,98,975,1
aroE_1,0.2346041055718475,0.4506353861192571,0.4793926247288504,0.8467432950191571,0.5644955300127714,535,861,1
artI_1,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,216,777,1
asnB_2,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,267,1782,1
bacC_2,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,168,786,1
bacC_3,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,168,786,1
bdcA,0.35138481590094484,0.5090257412838058,0.3096914607604663,0.7291268964131421,0.4860845976087615,588,747,1
bdcA_2,0.35138481590094484,0.5090257412838058,0.3096914607604663,0.7291268964131421,0.4860845976087615,588,747,1
bdhA,0.2533724340175953,0.4266862170087977,0.4061855670103094,0.7737627651217599,0.464257659073056,90,777,1
