replicon_type,gene,n
chromosome,AAH1,10
chromosome,COQ3_3,10
chromosome,COQ5_4,10
chromosome,COQ5_5,10
chromosome,FCS1,10
chromosome,IMPDH_2,10
chromosome,IMPDH_3,10
chromosome,NADK,10
chromosome,OSGEPL1,10
chromosome,PGdx,10
chromosome,PSK,10
chromosome,QRSL1~~~cnbH_1,10
chromosome,RBKS_2~~~psuK,10
chromosome,aacA4,10
chromosome,aarA,10
chromosome,aat,10
chromosome,aatB_2,10
chromosome,abgB_2,10
chromosome,abgB_3,10
chromosome,abo_4~~~abo_5,10
chromosome,abo_6,10
chromosome,accA,10
chromosome,accB,10
chromosome,accC,10
chromosome,accD,10
chromosome,acdA_2,10
chromosome,acnA,10
chromosome,acoA_1,10
chromosome,acoA_2,10
chromosome,acoB,10
chromosome,acpP_5~~~acpP_4,10
chromosome,acpS,10
chromosome,acpXL,10
chromosome,acrB,10
chromosome,acsA_1,10
chromosome,acsA_2,10
chromosome,acsA_2~~~acsA_3,10
chromosome,acsA_4,10
chromosome,acsE,10
chromosome,ada,10
chromosome,adhC2,10
chromosome,adhT~~~tdh_3,10
chromosome,adh_1,10
chromosome,adh_2,10
chromosome,adk,10
chromosome,aes_1,10
chromosome,aes_2,10
chromosome,afr_2,10
chromosome,agaAII,10
chromosome,ahcY,10
chromosome,aidB,10
chromosome,alaC,10
chromosome,ald2_2,10
chromosome,aldA,10
chromosome,ald_3,10
chromosome,ald_4,10
chromosome,algE5,10
chromosome,alkB,10
chromosome,alkJ_1~~~alkJ_2~~~alkJ_7,10
chromosome,alkJ_6,10
chromosome,alr,10
chromosome,alsB,10
chromosome,amiC_2,10
chromosome,amiC_3,10
chromosome,amiR,10
chromosome,amn,10
chromosome,amtB,10
chromosome,andAa_2,10
chromosome,anmK,10
chromosome,apaG,10
chromosome,apbC,10
chromosome,apc3_3,10
chromosome,aplK,10
chromosome,appA_1,10
chromosome,appA_2,10
chromosome,apt,10
chromosome,aptA,10
chromosome,aptB,10
chromosome,apxIB,10
chromosome,aqpZ2,10
chromosome,araA,10
chromosome,araB_1,10
chromosome,araB_1~~~araB_2,10
chromosome,araC_2,10
chromosome,araC_3,10
chromosome,araG_3,10
chromosome,araH_2,10
chromosome,araQ_4,10
chromosome,arcA_2,10
chromosome,arcA_3,10
chromosome,arfB,10
chromosome,argB,10
