gene,Hs,Ht,Gst,Gprime_st,D,location,sequence_length,tops
Vejaci,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,348,1113,1
abaF,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,432,1338,1
acpP_1,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,66,252,1
actP,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,232,2484,1
adhD,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,17,1126,1
ampC,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,321,1161,1
ant1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,489,783,1
argH_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,104,1467,1
aruH_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,890,1181,1
btuC_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,438,978,1
btuD_5,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,384,1173,1
cimA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,663,1617,1
cmpR_2,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,90,870,1
cntI_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,261,915,1
comC,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,186,996,1
cpo_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,406,828,1
cpo_4,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,406,828,1
crcB,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,241,387,1
crt_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,543,792,1
dadA_3,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,1077,1131,1
dapA_3,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,480,963,1
dapL,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,890,1181,1
dasC_4,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,618,867,1
degQ_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,1413,1554,1
deoR_4,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,102,987,1
dhmA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,770,1047,1
dhmA_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,770,1047,1
dmlR_1,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,507,948,1
doxA_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,36,318,1
dppB_4,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,744,969,1
echA8_2,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,663,771,1
echA8_4,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,663,771,1
eltP,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,756,1446,1
expZ,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,22,1521,1
exsH,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,260,1398,1
fdxB,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,285,318,1
frcA_3,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,21,741,1
fruK,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,120,1518,1
galE_4,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,45,987,1
gcvA_2,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,159,903,1
gcvA_5,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,159,903,1
gcvA_7,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,708,936,1
glpR_1,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,58,912,1
greA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,399,477,1
gshB_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,378,1047,1
gtaB_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,45,906,1
gudX,0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,577,1248,1
hdfR_9,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,865,891,1
hemA,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,880,1215,1
hisC_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,348,1113,1
hisC_3,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,890,1181,1
hisC_5,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,890,1181,1
hyuA_1,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,423,726,1
ilvC,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,789,1020,1
ilvG,0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,1321,1648,1
kdsD_1,0.15503875968992242,0.49418604651162784,0.6862745098039217,0.963302752293578,0.8027522935779816,115,990,1
