From	Entry	Entry Name	Gene Names	Organism	Gene Ontology (GO)
ccoP	A0A069Q0W4	A0A069Q0W4_PSEAI	ccoP ccoP2 ALP65_03331 CAZ10_35905 GNQ48_01820 GUL26_35180 IPC737_11870 L4V69_23040 PAERUG_P19_London_7_VIM_2_05_10_05545	Pseudomonas aeruginosa	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A069Q965	A0A069Q965_PSEAI	ccoP ccoP1 ALP65_03423 CAZ10_28445 GNQ48_01800 GUL26_35160 IPC1295_04490 IPC737_11850 L4V69_23020 PAERUG_P19_London_7_VIM_2_05_10_05541	Pseudomonas aeruginosa	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A367M2C0	A0A367M2C0_PSEAI	ccoP DT376_28420	Pseudomonas aeruginosa	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A643IS51	A0A643IS51_PSEAI	ccoP F7O97_27210	Pseudomonas aeruginosa	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A7M3A0J1	A0A7M3A0J1_PSEAI	ccoP IPC1295_04470	Pseudomonas aeruginosa	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
narL	A0A069Q3K2	A0A069Q3K2_PSEAI	narL ALP65_03100 CAZ10_29370 GNQ48_14845 GUL26_00730 IPC1295_14010 IPC737_18370 L4V69_08960 PAERUG_P19_London_7_VIM_2_05_10_06653	Pseudomonas aeruginosa	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
narL	A0A2R4KR62	A0A2R4KR62_PSEAI	narL MFLONPJD_00146	Pseudomonas aeruginosa	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
narL	O54039	O54039_PSEAI	narL	Pseudomonas aeruginosa	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
lasI	A0A0M3Q0K5	A0A0M3Q0K5_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
lasI	A0A0M3Q187	A0A0M3Q187_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
lasI	A0A0M3Q188	A0A0M3Q188_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
lasI	A0A0M4BMQ0	A0A0M4BMQ0_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
lasI	A0A0M4BQA3	A0A0M4BQA3_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
lasI	A0A0M4BSD8	A0A0M4BSD8_PSEAI	lasI	Pseudomonas aeruginosa	N-acyl homoserine lactone synthase activity [GO:0061579]; quorum sensing [GO:0009372]
