genome_id,species,sseqid,pident,length
g2,S. fredii,NR_115519.1,98.785,1481
g3,S. fredii,NR_115519.1,98.65,1481
g4,S. meliloti,NR_043399.1,99.527,1479
g5,S. meliloti,NR_043399.1,99.527,1479
g6,S. meliloti,NR_043399.1,99.527,1479
g8,S. meliloti,NR_043399.1,99.527,1479
g9,S. meliloti,NR_043399.1,99.527,1479
g10,S. meliloti,NR_043399.1,99.662,1479
g11,S. meliloti,NR_043399.1,99.527,1479
g13,S. meliloti,NR_043399.1,99.527,1479
g15,S. fredii,NR_115519.1,98.92,1481
g16,S. meliloti,NR_043399.1,99.527,1479
g17,S. meliloti,NR_043399.1,99.527,1479
g19,S. meliloti,NR_043399.1,99.527,1479
g20,S. meliloti,NR_043399.1,99.662,1479
g21,S. meliloti,NR_043399.1,99.662,1479
g22,S. meliloti,NR_043399.1,99.662,1479
g23,S. meliloti,NR_043399.1,99.662,1479
g24,S. meliloti,NR_043399.1,99.662,1479
g25,S. meliloti,NR_043399.1,99.662,1479
g26,S. meliloti,NR_043399.1,99.662,1479
g27,S. meliloti,NR_043399.1,99.662,1479
g29,S. meliloti,NR_043399.1,99.527,1479
g30,S. meliloti,NR_043399.1,99.527,1479
g31,S. meliloti,NR_043399.1,99.662,1479
g32,S. meliloti,NR_043399.1,99.662,1479
g33,S. meliloti,NR_043399.1,99.662,1479
g34,S. meliloti,NR_043399.1,99.662,1479
g35,S. meliloti,NR_043399.1,99.662,1479
g36,S. meliloti,NR_043399.1,99.662,1479
g37,S. meliloti,NR_043399.1,99.662,1479
g39,S. meliloti,NR_043399.1,99.662,1479
g40,S. meliloti,NR_043399.1,99.527,1479
g41,S. meliloti,NR_043399.1,99.662,1479
g42,S. meliloti,NR_043399.1,99.662,1479
g43,S. meliloti,NR_043399.1,99.662,1479
g44,S. meliloti,NR_043399.1,99.662,1479
g45,S. meliloti,NR_043399.1,99.662,1479
