gene,Hs,Ht,Gst_est,Gprime_st,D_het,D_mean,n_snps
COQ3_2,0.3062015503875969,0.3406007751937984,0.10099573257467981,0.264432029795158,0.09916201117318421,0.025982678214523457,2
COQ5_1,0.20542635658914726,0.22771317829457366,0.09787234042553208,0.22439024390243933,0.05609756097560985,0.03323860570524105,4
COQ5_4,0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567045,0.11340206185567045,1
COQ5_5~~~COQ5_2,0.15503875968992242,0.16085271317829447,0.036144578313252754,0.08256880733944898,0.013761467889908148,0.013761467889908148,34
IMPDH_1,0.36434108527131776,0.3488372093023254,-0.0444444444444447,-0.14634146341463505,-0.04878048780487831,NA,9
IMPDH_2~~~hrp1,0.36434108527131776,0.3488372093023254,-0.0444444444444447,-0.14634146341463505,-0.04878048780487831,NA,11
IMPDH_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
PSK,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3
QRSL1~~~cnbH_1,0.21705426356589144,0.27519379844961234,0.21126760563380273,0.4455445544554454,0.14851485148514842,0.026340110905729932,2
Vejaci,0.3255813953488372,0.4325275397796818,0.2472585779978777,0.5878889823380995,0.31715063520871156,NA,19
aacA4,0.268733850129199,0.3565891472868218,0.24637681159420302,0.540636042402827,0.24028268551236764,0.19550982226379832,3
aaeA_2,0.22838401908169348,0.26483303518187246,0.13763017168589953,0.3135749284751231,0.09447449768160764,0.03537172136406819,26
aat,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,1
aatB_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
abaF,0.330141358869129,0.3807569539443683,0.1329341317365268,0.3503310848443589,0.1511232130701155,NA,17
abgB_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
abgT,0.3062015503875969,0.29893410852713176,-0.0243111831442464,-0.0718276137270552,-0.0209497206703911,NA,2
abo_2,0.44308445532435736,0.45399836801305593,0.02403954167602803,0.08430437487041319,0.03919413919413947,NA,57
abo_4~~~abo_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
accA,0.23772609819121446,0.31330749354005166,0.24123711340206186,0.5099273607748185,0.1983050847457627,0.03788214443952122,3
accA1_1,0.3510520487264673,0.33862126245847163,-0.03670999918240562,-0.11744849405844482,-0.038310580204778406,NA,35
accC,0.4883720930232558,0.4941860465116279,0.011764705882352962,0.04545454545454553,0.022727272727272766,0.022727272727272766,1
accD,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
acdA_1,0.23421926910299,0.25103820598006643,0.06699751861042186,0.1639913232104122,0.04392624728850327,NA,14
acnA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
acoA_2,0.23772609819121446,0.31330749354005166,0.24123711340206186,0.5099273607748185,0.1983050847457627,0.03788214443952122,3
acoB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3
acpP_1,0.3062015503875969,0.48643410852713176,0.3705179282868526,0.7793296089385475,0.5195530726256983,0.5129704055535258,2
acpS,0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567045,0.11340206185567045,1
acr3,0.3565891472868217,0.3449612403100776,-0.03370786516853906,-0.10843373493975814,-0.036144578313252726,NA,6
acrB,0.22325581395348834,0.27829457364341087,0.19777158774373274,0.4251497005988027,0.1417165668662676,0.031118169636210016,5
acsA_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4
acsA_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4
acsA_2~~~acsA_3,0.21705426356589144,0.27519379844961234,0.21126760563380273,0.4455445544554454,0.14851485148514842,0.026340110905729932,2
acsA_4,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
acsE,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
actIII,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,13
actP,0.3113914071738273,0.41275785047956903,0.24558332007003036,0.5726425835183707,0.2944094638427782,NA,59
acxA,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,8
acxC,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,9
acyP,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,5
ade2,0.36434108527131776,0.3488372093023254,-0.0444444444444447,-0.14634146341463505,-0.04878048780487831,NA,45
adeC,0.15503875968992242,0.16085271317829447,0.036144578313252754,0.08256880733944898,0.013761467889908148,0.013761467889908148,1
adeP_1,0.3503875968992247,0.33630490956072334,-0.041874759892432084,-0.13455682659863477,-0.043357199681782276,NA,15
adeP_2,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,4
adh1_1,0.18798449612403095,0.19295058139534874,0.025737602008788222,0.06180128124607407,0.01223150357995215,NA,8
adhC2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
adhT~~~tdh_3,0.26356589147286824,0.3401162790697675,0.22507122507122512,0.4989473684210527,0.20789473684210533,0.1655445544554459,2
adh_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
adh_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
adk,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
aes_1,0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567045,0.11340206185567045,1
aes_2,0.2441860465116279,0.30959302325581395,0.21126760563380284,0.46153846153846156,0.1730769230769231,0.08813783962889335,2
afr_1~~~iolG_16,0.3749119097956307,0.41472868217054265,0.09600679694137644,0.2802705749718153,0.12739571589627968,NA,33
agpA_2,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,26
alaC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
ald2_1,0.22325581395348837,0.2616279069767442,0.14666666666666675,0.3293413173652696,0.0988023952095809,0.06174558960074283,5
ald2_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
aldHT_1,0.2318534178999295,0.2522903453136011,0.08100558659217885,0.19510703363914392,0.05321100917431198,0.033998769033155726,11
aldHT_2,0.4585127763422337,0.4422193511340799,-0.036844668073364506,-0.14129282124579193,-0.06018027571580029,NA,27
ald_1,0.38648947951273527,0.3866971207087486,5.369608018616291e-4,0.001749514023882792,6.768953068594137e-4,NA,14
ald_3,0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567045,0.11340206185567045,1
ald_4,0.27596899224806204,0.3796511627906977,0.2730985196528841,0.5925570405375471,0.2864025695931478,0.2618719458714449,10
algE5,0.18217054263565888,0.19525193798449608,0.06699751861042183,0.15355450236966825,0.03199052132701421,0.02171664943123048,2
alkJ_1~~~alkJ_2~~~alkJ_7,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,7
allA_1,0.15503875968992242,0.16085271317829447,0.036144578313252754,0.08256880733944898,0.013761467889908148,0.013761467889908148,1
allA_1~~~allA_2,0.1604651162790697,0.1677325581395348,0.043327556325823156,0.09893153937475252,0.01731301939058168,0.014849384811200567,10
alsB,0.19961240310077516,0.2352228682170542,0.15139031925849636,0.32855280312907414,0.08898305084745757,0.02380597237552563,4
alsT_2~~~alsT_1,0.27648578811369506,0.3549095607235142,0.220968329086276,0.5002747252747254,0.21678571428571433,0.06792352832355268,15
alsT_3,0.36408268733850124,0.37648578811369515,0.03294440631434483,0.10030765658559322,0.03900853311661961,NA,30
amiC_1,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,8
amiD_2,0.24289405684754517,0.24644702842377253,0.014416775884665674,0.03754266211604065,0.009385665529010156,NA,12
amn,0.20930232558139533,0.22965116279069767,0.0886075949367089,0.20588235294117654,0.051470588235294136,0.05147058823529414,1
ampC,0.297157622739018,0.4346899224806201,0.3163917372566504,0.6839306110793834,0.39136029411764706,0.13760344207515487,45
ampR,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
amtB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1
andAa_2,0.15503875968992242,0.16085271317829447,0.036144578313252754,0.08256880733944898,0.013761467889908148,0.013761467889908148,1
anmK,0.21705426356589144,0.27519379844961234,0.21126760563380273,0.4455445544554454,0.14851485148514842,0.026340110905729932,2
ant1,0.17312661498708007,0.26711886304909555,0.3518742442563482,0.6295673076923076,0.22734374999999993,0.0204365660709052,3
apbC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2
apc3_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,9
aplK,0.21447028423772607,0.26001291989664077,0.1751552795031055,0.3794856459330142,0.11595394736842098,0.031460260723296704,3
