gene,Hs,Ht,Gst_est,Gprime_st,D_het,D_mean,n_snps
COQ3_1,0.22577386770935154,0.2531647116324535,0.10819376739546632,0.25220210670534665,0.07075670215900001,0.05869554630491617,4
COQ5_1,0.2892581731291408,0.3335179754534593,0.13270589767805394,0.3296789237410177,0.12454537119105112,0.07130295839953357,3
COQ5_2,0.2060750877955179,0.22772890192245038,0.09508592868157931,0.21873517097708287,0.05454877103379107,NA,9
COQ5_3,0.25141319542984475,0.29810803140667874,0.15663729607181542,0.36181437175261977,0.12475463284086755,NA,31
COQ5_3~~~COQ5_7,0.3762209912747547,0.3800858042793527,0.010168264536808178,0.032273967360882505,0.012391609690412914,NA,18
COQ5_4,0.3458734813573523,0.37928594702788254,0.08809307577133614,0.24753919066715313,0.10215903106898384,NA,7
COQ5_5,0.0950146627565982,0.0975073313782992,0.025563909774437298,0.05508749189890079,0.00550874918989009,0.00550874918989009,1
COQ5_8,0.2134810470294341,0.24007385684805038,0.1107692864510759,0.2535807597341981,0.06762153592911949,NA,15
OSGEPL1,0.10426849136526554,0.10768980123818836,0.031770045385779475,0.06875227355402037,0.007639141506002268,0.007639141506002267,3
PAD1~~~ubiX,0.4669707830998153,0.4566335396980558,-0.022637941594467425,-0.08690813706169666,-0.038786779688646106,NA,12
PGdx,0.1564027370478983,0.17079396111654177,0.08426073131955505,0.1842410196987258,0.034118707351615894,0.017438219786004197,3
aacA4_2~~~aacA4,0.22417725643532094,0.26764418377321614,0.16240564889213577,0.3601727965440698,0.1120537589248218,0.09694530245644087,5
aaeA,0.34969944157930805,0.4083746250042134,0.14367979750039556,0.38637331702647193,0.1804555836993369,NA,29
aarA,0.161762789182144,0.1774091723688498,0.08819376685989788,0.19337250263539155,0.03733163592544365,0.018355881318527063,8
aatA,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,1
abfA,0.25865445627754624,0.3568126082557322,0.27509720706908075,0.5820391543839747,0.2648107965559838,NA,38
abgB,0.2085659462003548,0.251196553347091,0.16971015954916926,0.3666442194667277,0.10773002991738422,0.029027751543435006,9
abo_1~~~abo_5~~~abo_6,0.204778972520908,0.2236857825567503,0.08452396848711458,0.19601209263065206,0.04755108173076931,NA,6
abo_2,0.1793852503529923,0.19524818073205177,0.08124495869607573,0.18313147933231502,0.03866109008126653,NA,3
abo_4,0.2378659258115964,0.30738325530345906,0.22615847900768965,0.4840217592179256,0.18242808410289657,NA,38
abo_5,0.2829285409930571,0.379925808958067,0.2553058141299257,0.5672555106164426,0.27053724352476494,NA,26
abo_5~~~thiO,0.40042655291922147,0.41687994312627746,0.03946793430182388,0.12665458152341283,0.05488365199347891,NA,11
accD,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,3
acdA_1,0.17204301075268816,0.19713261648745525,0.1272727272727276,0.2727272727272733,0.060606060606060774,0.01678527995517196,5
acdA_2,0.1865537091343543,0.19235092864125128,0.030138765369359003,0.0719334416317749,0.014253478249259106,NA,12
acdA_3,0.4386504339583518,0.43700198465594364,-0.0037721780684954833,-0.013490564538503922,-0.005873164965752719,NA,11
ackA,0.29217690097455495,0.3193207737196007,0.08500503249087424,0.22136968626456052,0.07669677008964067,NA,11
acnA,0.2533724340175953,0.3266862170087975,0.22441651705565502,0.4909662215239587,0.19638648860958335,0.19638648860958335,1
acoA,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,3
acoR,0.44255699166093426,0.44946779624198985,0.015375527766031237,0.05432914405120084,0.02479465874600072,0.003484162103753391,27
acpP_3,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,1
acpS,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,4
acr1,0.23996415770609317,0.29845430107526894,0.1959768820836152,0.43119923445116615,0.1539141711860414,0.11546060985949279,8
acrB,0.12339524275008146,0.12419762137504078,0.00646049913094854,0.014645206854255194,0.001830650856781901,NA,4
acsA_1,0.2005163295485876,0.23701030152643066,0.15397631133671777,0.33379314669091203,0.09129385208640337,0.026912208873505875,13
acsA_2,0.1816286027429722,0.21051127106845582,0.13720247936791613,0.2948517537579418,0.07058572286932548,0.02566846589694743,11
acsA_3,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,12
acsE,0.19115890083632017,0.22520908004778983,0.15119363395225513,0.324752057396076,0.0841949778434272,0.020490443911314552,3
actP,0.2491365265558814,0.3193213496976938,0.21979370689826228,0.4799520850486262,0.1869442997936316,NA,18
acyP,0.1853662068715832,0.20996705405307559,0.1171652728683509,0.2574832931401883,0.060397315674859,0.033357652912697613,9
ada,0.21543173672205929,0.2571603128054742,0.16226678070258835,0.355895956727232,0.10637334706625053,0.03786232529451771,10
addA,0.18359829191747695,0.20364125122189639,0.09842288428379253,0.21950913914001513,0.0491007284918455,0.011111903284196669,38
ade,0.473967633322472,0.4811504833279028,0.014928489639561875,0.05592396511208354,0.027309536296400812,NA,60
adeC_1,0.2303030303030303,0.2355218855218855,0.02215868477483912,0.05632949727437903,0.013560804899387543,NA,3
adeC_2,0.3907896165960682,0.4139133268165527,0.055866068382796875,0.17370086211325067,0.07591371010875403,NA,30
adh1,0.25429663200924196,0.2564412452975503,0.008362981102435108,0.022243755511595572,0.005751920617139867,NA,11
adhC2,0.19318996415770606,0.2452060931899642,0.2121322857664903,0.4338258800865248,0.12894269213682824,0.014718367372851487,4
adhT_1,0.1668295861844249,0.18341479309221245,0.09042458696038376,0.1990614000782167,0.039812280015643346,0.02345578191432888,5
adh_2,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,1
adh_2~~~adh_1,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,2
adiC,0.29850579527998883,0.31909416748126423,0.06452130530553889,0.1728043597087126,0.05869862377407062,NA,14
adk,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,3
afr_1,0.3022110505981474,0.4058674300609786,0.2553946727069417,0.5830925074417356,0.2970995156965035,0.03528857211985048,7
agpA,0.21363496718335426,0.260627007401201,0.18030380153776107,0.3885231308136682,0.11951711547887128,NA,35
agpA_1,0.2637015314434669,0.32120261757358537,0.17901811188367833,0.41243222778885474,0.15618961219040894,0.04422686479103426,12
ahcY,0.16303537163752216,0.17904855001629197,0.08943483975331126,0.19616809054253917,0.03826488679718666,0.017750854686631363,9
aidB,0.19396111654176168,0.22568426197458463,0.1405642784094331,0.3057941724020672,0.07871368511830995,0.024398378178085094,6
alaC,0.22626262626262628,0.26868686868686875,0.15789473684210542,0.35248041775456945,0.10966057441253277,0.06190539852400188,4
alaS_2,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,3
alaS_2~~~alaS_1,0.19062126642771804,0.20850507765830345,0.08577158614762019,0.19520151126087668,0.0441914532437818,NA,24
alc,0.4155305173980895,0.4267711066522612,0.026338683849398196,0.08781557045300428,0.03846424694111125,NA,19
aldHT,0.19328085609919224,0.201903585944333,0.042707165426562256,0.10154207216744736,0.021377278351041556,NA,19
ald_1,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,1
ald_2,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,8
algE2,0.09809927229282064,0.10090148799826225,0.02777179763186312,0.05992093120877723,0.006214022495725054,0.006073322180952343,3
alkB,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,2
alkJ_3,0.10426849136526554,0.10768980123818836,0.031770045385779475,0.06875227355402037,0.007639141506002268,0.007639141506002267,1
alkJ_4~~~alkJ_2,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,1
allA_1,0.12744961132057903,0.139121631057115,0.08389795064826508,0.1774199435638992,0.02675380101360388,0.007478911277091529,7
allA_2,0.433161104128846,0.4530884885723595,0.04398121988555231,0.14864316260631577,0.07031057532806681,0.03524006935589562,7
alsT_3,0.2491515652805975,0.2732937313582475,0.08833779669100138,0.21620242801828077,0.06430636320543738,NA,26
amiC_1,0.31818353312411035,0.33394556773164585,0.04719941251084866,0.13221164624316076,0.04623541780901178,NA,19
amiC_2,0.17129823581436482,0.18882372108178558,0.09281400221866146,0.20497409684625334,0.04229624220636973,0.027526737803755114,7
amiD_1,0.10426849136526554,0.10768980123818836,0.031770045385779475,0.06875227355402037,0.007639141506002268,0.007639141506002267,1
amiD_1~~~amiD_2,0.3233077806931796,0.3555135394693969,0.09058940152964161,0.24550194117195312,0.09518584034912572,NA,19
amn,0.10426849136526554,0.10768980123818836,0.031770045385779475,0.06875227355402037,0.007639141506002268,0.007639141506002267,1
ampC,0.2769909111707327,0.3802212239068794,0.2715006586834537,0.5906640473701525,0.2855574413408894,NA,47
ampR,0.3387628406304127,0.3775685548181304,0.10277792918006613,0.28189316229129474,0.11737305938678477,0.0671979342072421,19
andAa_1~~~andAa_3,0.2957817809430712,0.306740096820742,0.03572508449742967,0.09796061636067328,0.031121932324744066,NA,140
andAa_2~~~andAa_1,0.10426849136526554,0.10768980123818836,0.031770045385779475,0.06875227355402037,0.007639141506002268,0.007639141506002267,1
anmK,0.1706962094058868,0.19460736396220274,0.12286870378121985,0.2638934703342112,0.05766561018414248,0.014296098646179695,3
ant1,0.3071600800633058,0.3427863892380021,0.10393151622470156,0.27177044388780225,0.10284138702040008,0.02576386776468071,35
apbC,0.18648018648018647,0.2086247086247086,0.10614525139664804,0.23591212989493793,0.054441260744985676,0.051072651297620175,13
apnO,0.4317801672640382,0.43163082437275985,-3.4599681682917054e-4,-0.0012182488259686907,-5.256518082420462e-4,NA,6
apsD_1,0.2747539915281851,0.3854325513196481,0.2871541581335582,0.6152182271077622,0.3052165982262398,NA,20
aqpZ,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,16
aqpZ2_1,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,1
aqpZ2_1~~~aqpZ2_2,0.3768292241410521,0.39520473552731616,0.046496182192113406,0.1425944305637957,0.05897423980107599,NA,9
araA_1,0.2630954708374063,0.28265884652981427,0.06921197030479091,0.17568560171375724,0.053096092962379965,NA,10
araA_2~~~araA_1,0.22591506462474203,0.27036493971977854,0.16440694988450374,0.3648016243118554,0.11484495580188049,0.10113277130221526,6
araB_1,0.27156017654551373,0.2862851387778074,0.05143460221217448,0.1343103359154375,0.04042876778060645,NA,22
araB_3,0.17129823581436482,0.18882372108178558,0.09281400221866146,0.20497409684625334,0.04229624220636973,0.027526737803755114,7
araC_1,0.40671228413163896,0.42627280873248613,0.04588733834327836,0.14790150781006187,0.06593942223198591,NA,16
araC_2,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,7
araC_3,0.3394899761623021,0.3533707190753031,0.03928096518388393,0.11444577387749524,0.04203037777489299,NA,19
araD,0.3588829471182412,0.3827094474153298,0.0622574134451174,0.18283274080740525,0.07432808155699744,NA,17
araF,0.2595416530900402,0.3260671228413164,0.20402384997168652,0.45769399167834146,0.17968727080705257,0.02693750037730334,6
araH_1,0.318475073313783,0.32590420332355813,0.022795440911817517,0.06540447504302893,0.021801491681009637,NA,4
araH_2~~~rbsC_13,0.3426957749538394,0.380607146736179,0.09960761931939809,0.2756248634575778,0.11535410952113445,NA,6
araQ_1,0.2715914909463296,0.3766687613461807,0.2789646532521419,0.5988880146996308,0.2885119245418063,NA,14
araQ_2,0.45814597588791134,0.45337854349951123,-0.01051534629672047,-0.03922493290067791,-0.017596740731831897,NA,24
araQ_3,0.21049201694362982,0.2908015640273705,0.27616614564075,0.5481970437993188,0.20344201403219164,0.013375481225709028,5
arcA_1~~~arcA_3,0.2774845226458129,0.2776311502117954,5.281380200695641e-4,0.001461170740507783,4.058807612521621e-4,4.058807612521621e-4,4
arcA_2~~~arcA_3,0.23460989826581222,0.3231074182687086,0.2738950423270642,0.5618206243467336,0.23124814340395186,0.06933384792450985,45
arcB_2~~~arcB,0.23004235907461712,0.28029895731508636,0.1792964152341651,0.39492242093621216,0.1305438002539146,NA,16
arcC2,0.2594938633648311,0.38993211686760076,0.3345152857646225,0.6770079193113752,0.3522948617157341,0.011693266955260746,90
arfB,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,1
arg,0.4724405343760182,0.4762202671880092,0.007936942361377475,0.029852344129589033,0.014329125182202742,NA,30
argB,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,2
argC,0.22591506462474203,0.2722167915716304,0.1700913697482349,0.375581232195941,0.11962957766241095,0.06264632736767273,15
argD_1,0.14105571847507328,0.15247230368198111,0.07487645251769762,0.1622003228961125,0.02658283069686289,0.01131332673211808,4
argD_2~~~dgdA,0.2169436298468556,0.29458292603453895,0.26355667394851107,0.5327411709760124,0.1982981025299602,0.01502493736155282,2
argF,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,5
argH_1,0.11683784374902355,0.12067158549703849,0.03177004538577999,0.06973077059147767,0.008681852411541676,NA,73
argP_1,0.368198110133594,0.434099055066797,0.1518108463126291,0.4172253739040745,0.20861268695203725,0.20861268695203725,3
argS,0.14763301214914118,0.1603244425825071,0.07916092037453734,0.17211867716035537,0.02977926319123609,0.013318081449810996,7
argT,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,7
arnB,0.245504902396398,0.2884090168547648,0.14876134916396241,0.34326843248802397,0.1137293392485575,NA,22
arnC_2,0.18219322919783748,0.20198096834041532,0.09796833486424283,0.21821027921561717,0.048392211581150466,0.048329029236840224,49
aroA,0.28211143695014657,0.38272238514174006,0.26288231913670934,0.5799244985350467,0.280296840958606,0.20080827045416708,2
aroB,0.1328554360812425,0.133094384707288,0.0017953321364458563,0.004133370074402072,5.511160099202769e-4,NA,3
aroC,0.1912852868864599,0.21786486566545218,0.12200029912031439,0.26890728880370446,0.06573289281868332,0.03449217372390265,11
aroE_1,0.24092538286086673,0.2815738025415445,0.1443615113116937,0.33237909719590775,0.10709993131868142,NA,16
aroE_2,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,2
aroE_2~~~aroE_3,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,8
aroH,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,3
aroQ,0.14771369610079285,0.16644944064298908,0.11256117455138705,0.23741557283038184,0.043965846820441114,0.01112916512896586,3
arsC_2,0.2346041055718475,0.28396871945259056,0.17383820998278873,0.3869731800766292,0.12899106002554317,0.12899106002554317,6
arsH,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,4
artI_1,0.28621700879765394,0.343108504398827,0.16581196581196594,0.3985209531635171,0.15940838126540685,NA,4
artI_2,0.3102173811851231,0.422569008052879,0.265877583842345,0.6089866368519699,0.3257595184430378,0.3280069336776499,7
artJ_2,0.12416639513413703,0.13245356793743895,0.06256662566625729,0.13446057167771358,0.018924080458344896,0.007820149138363704,3
artM_3~~~occP_1,0.11062114574659376,0.1133352642313216,0.023947696272081945,0.05259314771933602,0.00610340232792295,NA,27
artQ,0.17266068822871067,0.1870549817955148,0.07695220639747366,0.17273127596683993,0.03479659037592864,0.009651539191541393,23
aruC,0.21179537308569565,0.2517310198761813,0.1586441226437995,0.34742809897832716,0.10133319553534553,0.04040706335024287,8
aruI,0.22461594703923576,0.2705735561754446,0.16985255242906708,0.37450194834440875,0.11854153812094034,0.05199366243962301,41
asd2_1,0.18246985988921471,0.20234604105571846,0.09822866344605476,0.2188122758070945,0.04862495017935432,0.04862495017935432,2
asnB_2,0.2645126064480903,0.37962867559641755,0.30323333443521766,0.6327170302166241,0.31303342561017666,NA,74
asnC,0.22611367127496157,0.24639016897081412,0.08229426433915217,0.19650655021834074,0.05240174672489086,0.0519741891886929,7
aspC_1,0.19689366786140977,0.2347431302270013,0.16123778501628713,0.34578218180407055,0.09425766141029487,0.016134016714943303,15
