genome_id1,genome_id2,gcv_dxy
g21,g22,2268
g21,g23,2279
g21,g24,2356
g21,g25,2220
g21,g26,2230
g21,g27,1964
g21,g31,1686
g21,g32,1686
g21,g33,2116
g21,g34,1729
g21,g35,1645
g21,g36,2096
g21,g37,1909
g21,g39,78
g21,g41,1681
g21,g43,1907
g21,g44,78
g21,g45,1674
g22,g23,65
g22,g24,2082
g22,g25,1870
g22,g26,1860
g22,g27,2030
g22,g31,1918
g22,g32,1922
g22,g33,1846
g22,g34,1961
g22,g35,1843
g22,g36,1804
g22,g37,1967
g22,g39,2240
g22,g41,1923
g22,g43,1971
g22,g44,2238
g22,g45,1916
g23,g24,2091
g23,g25,1881
g23,g26,1873
g23,g27,2045
g23,g31,1921
g23,g32,1925
g23,g33,1865
g23,g34,1968
g23,g35,1852
g23,g36,1815
g23,g37,1992
g23,g39,2245
g23,g41,1930
g23,g43,1976
g23,g44,2241
g23,g45,1911
g24,g25,1628
g24,g26,1626
g24,g27,1816
g24,g31,2116
g24,g32,2108
g24,g33,1614
g24,g34,2111
g24,g35,2057
g24,g36,1526
g24,g37,1389
g24,g39,2330
g24,g41,2117
g24,g43,1381
g24,g44,2332
g24,g45,2104
g25,g26,62
g25,g27,1324
g25,g31,1654
g25,g32,1664
g25,g33,1468
g25,g34,1693
g25,g35,1657
g25,g36,326
g25,g37,1299
g25,g39,2192
g25,g41,1671
g25,g43,1289
g25,g44,2190
g25,g45,1660
g26,g27,1328
g26,g31,1670
g26,g32,1658
g26,g33,1482
g26,g34,1693
g26,g35,1655
g26,g36,324
g26,g37,1307
g26,g39,2212
g26,g41,1673
g26,g43,1291
g26,g44,2208
g26,g45,1658
g27,g31,1036
g27,g32,1034
g27,g33,1290
g27,g34,1131
g27,g35,1231
g27,g36,1212
g27,g37,1399
g27,g39,1930
g27,g41,1037
g27,g43,1391
g27,g44,1928
g27,g45,1034
g31,g32,56
g31,g33,1808
g31,g34,423
g31,g35,547
g31,g36,1552
g31,g37,1649
g31,g39,1650
g31,g41,49
g31,g43,1649
g31,g44,1654
g31,g45,48
g32,g33,1806
g32,g34,419
g32,g35,543
g32,g36,1550
g32,g37,1651
g32,g39,1658
g32,g41,51
g32,g43,1649
g32,g44,1652
g32,g45,48
g33,g34,1851
g33,g35,1871
g33,g36,1366
g33,g37,1325
g33,g39,2080
g33,g41,1799
g33,g43,1333
g33,g44,2076
g33,g45,1800
g34,g35,660
g34,g36,1579
g34,g37,1724
g34,g39,1697
g34,g41,414
g34,g43,1726
g34,g44,1695
g34,g45,421
g35,g36,1585
g35,g37,1566
g35,g39,1619
g35,g41,544
g35,g43,1568
g35,g44,1615
g35,g45,541
g36,g37,1215
g36,g39,2076
g36,g41,1559
g36,g43,1199
g36,g44,2068
g36,g45,1538
g37,g39,1893
g37,g41,1644
g37,g43,48
g37,g44,1885
g37,g45,1647
g39,g41,1659
g39,g43,1889
g39,g44,66
g39,g45,1644
g41,g43,1650
g41,g44,1649
g41,g45,55
g43,g44,1879
g43,g45,1637
g44,g45,1644
